X Lag Time,Record 1: JJ1_10mg_300rpm_10-00min_ST_No2_230802 1,Record 2: JJ1_10mg_300rpm_10-00min_ST_No2_230802 2,Record 3: JJ1_10mg_300rpm_10-00min_ST_No2_230802 3,X Intensity,Record 1: JJ1_10mg_300rpm_10-00min_ST_No2_230802 1,Record 2: JJ1_10mg_300rpm_10-00min_ST_No2_230802 2,Record 3: JJ1_10mg_300rpm_10-00min_ST_No2_230802 3
0.5,0.835,0.822,0.83,0.4,0,0,0
1,0.831,0.822,0.831,0.463,0,0,0
1.5,0.825,0.819,0.823,0.536,0,0,0
2,0.818,0.812,0.817,0.621,0,0,0
2.5,0.814,0.805,0.811,0.719,0,0,0
3,0.81,0.801,0.803,0.833,0,0,0
3.5,0.8,0.794,0.796,0.965,0,0,0
4,0.797,0.788,0.793,1.12,0,0,0
4.5,0.792,0.784,0.786,1.29,0,0,0
5.5,0.781,0.774,0.775,1.5,0,0,0
6.5,0.771,0.765,0.766,1.74,0,0,0
7.5,0.761,0.753,0.755,2.01,0,0,0
8.5,0.752,0.745,0.744,2.33,0,0,0
9.5,0.743,0.738,0.737,2.7,0,0,0
10.5,0.734,0.728,0.727,3.12,0,0,0
11.5,0.727,0.72,0.719,3.62,0,0,0
12.5,0.718,0.712,0.71,4.19,0,0,0
14.5,0.702,0.697,0.694,4.85,0,0,0
16.5,0.687,0.682,0.678,5.61,0,0,0
18.5,0.673,0.67,0.664,6.5,0,0,0
20.5,0.658,0.657,0.65,7.53,0,0,0
22.5,0.646,0.644,0.638,8.72,0,0,0
24.5,0.635,0.633,0.625,10.1,2.25,2.18,2.88
26.5,0.625,0.623,0.613,11.7,5.81,6.32,6.77
28.5,0.613,0.612,0.602,13.5,8.24,8.94,8.76
32.5,0.593,0.593,0.582,15.7,7.87,7.85,7.49
36.5,0.575,0.576,0.564,18.2,4.98,3.99,3.95
40.5,0.559,0.56,0.547,21,1.59,0.531,0.764
44.5,0.544,0.545,0.532,24.4,0,0,0
48.5,0.531,0.532,0.519,28.2,0,0,0
52.5,0.518,0.52,0.507,32.7,0,0,0
56.5,0.507,0.509,0.496,37.8,0,0,0
60.5,0.498,0.5,0.485,43.8,0,0,0
68.5,0.48,0.483,0.468,50.7,0,0,0
76.5,0.464,0.468,0.453,58.8,0,0,0
84.5,0.452,0.456,0.44,68.1,0,0,0
92.5,0.44,0.445,0.429,78.8,0,0,0
101,0.431,0.436,0.419,91.3,0,0,0
109,0.422,0.428,0.41,106,0,0,0
117,0.414,0.42,0.403,122,0,0,0
125,0.407,0.415,0.396,142,0,0,0
141,0.395,0.403,0.385,164,0,0,0
157,0.385,0.394,0.375,190,0,0,0
173,0.376,0.384,0.367,220,0,0,0
189,0.369,0.376,0.359,255,0,0,1.09
205,0.362,0.369,0.351,295,0.821,1.63,3.32
221,0.355,0.363,0.344,342,3.55,4.93,6.03
237,0.349,0.356,0.338,396,7.31,8.65,8.44
253,0.343,0.35,0.332,459,10.6,11.4,9.92
285,0.332,0.339,0.32,531,12.4,12.2,10.2
317,0.322,0.328,0.31,615,12,11,9.18
349,0.311,0.318,0.299,712,9.78,8.31,7.29
381,0.301,0.308,0.29,825,6.5,5.02,4.97
413,0.292,0.299,0.28,955,3.24,2.15,2.75
445,0.283,0.289,0.271,1.11E+03,0.934,0.45,1.08
477,0.274,0.28,0.261,1.28E+03,0,0,0.194
509,0.266,0.272,0.253,1.48E+03,0,0,0
573,0.25,0.255,0.235,1.72E+03,0,0,0
637,0.235,0.241,0.221,1.99E+03,0,0,0
701,0.22,0.227,0.207,2.30E+03,0,0,0
765,0.207,0.214,0.195,2.67E+03,0,0,0
829,0.196,0.202,0.184,3.09E+03,0,0,0
893,0.184,0.191,0.173,3.58E+03,0,0,0.156
957,0.175,0.18,0.164,4.15E+03,0,0.363,0.707
1.02E+03,0.165,0.17,0.154,4.80E+03,0.503,1.35,1.59
1.15E+03,0.148,0.152,0.136,5.56E+03,1.6,2.7,2.53
1.28E+03,0.132,0.138,0.122,6.44E+03,0,0,0
1.40E+03,0.117,0.123,0.11,7.46E+03,0,0,0
1.53E+03,0.106,0.112,0.0994,8.63E+03,0,0,0
1.66E+03,0.0944,0.101,0.0904,,,,
1.79E+03,0.0846,0.0912,0.0823,,,,
1.92E+03,0.0765,0.083,0.0754,,,,
2.04E+03,0.0719,0.0771,0.069,,,,
2.30E+03,0.0604,0.0655,0.0577,,,,
2.56E+03,0.0514,0.0566,0.0494,,,,
2.81E+03,0.0461,0.0497,0.0417,,,,
3.07E+03,0.0411,0.0453,0.0354,,,,
3.32E+03,0.0353,0.0423,0.031,,,,
3.58E+03,0.032,0.0401,0.0273,,,,
3.84E+03,0.0288,0.0367,0.0233,,,,
4.09E+03,0.0261,0.033,0.0212,,,,
4.60E+03,0.0224,0.0259,0.019,,,,
5.12E+03,0.0196,0.0232,0.0148,,,,
5.63E+03,0.0182,0.0215,0.0152,,,,
6.14E+03,0.0167,0.018,0.014,,,,
6.65E+03,0.0127,0.0174,0.0131,,,,
7.16E+03,0.0104,0.0146,0.0135,,,,
7.68E+03,0.00987,0.0119,0.0143,,,,
8.19E+03,0.00882,0.00815,0.0129,,,,
9.21E+03,0.00848,0.00596,0.0109,,,,
1.02E+04,0.00696,0.00643,0.00665,,,,
1.13E+04,0.00428,0.00667,0.00596,,,,
1.23E+04,0.000125,0.00608,0.00483,,,,
1.33E+04,0.00201,0.00468,0.00413,,,,
1.43E+04,0.00431,0.00449,0.00589,,,,
1.54E+04,0.00564,0.00408,0.00466,,,,
1.64E+04,0.0068,0.00281,0.00435,,,,
1.84E+04,0.00807,0.00286,0.00529,,,,
2.05E+04,0.00923,0.00315,0.00191,,,,
2.25E+04,0.0102,0.00315,0.00559,,,,
2.46E+04,0.0089,0.00303,0.00923,,,,
2.66E+04,0.00746,0.0065,0.00834,,,,
2.87E+04,0.00428,0.00875,0.00707,,,,
3.07E+04,0.00469,0.0062,0.0046,,,,
3.28E+04,0.000911,0.00485,0.00367,,,,
3.69E+04,0.00209,0.00233,0.00329,,,,
4.10E+04,0.00168,0.00275,0.00356,,,,
4.51E+04,0.00144,0.00232,0.00258,,,,
4.91E+04,0.0013,0.00701,0,,,,
5.32E+04,0.000575,0.00595,0.00174,,,,
5.73E+04,0.00181,0.00439,0.00117,,,,
6.14E+04,0,0.00553,0,,,,
6.55E+04,0.000428,0.00416,0.00133,,,,
7.37E+04,0.00111,0.00593,0.00255,,,,
8.19E+04,0.000158,0.0031,0.0021,,,,
9.01E+04,0.00305,0.00161,0.00253,,,,
9.83E+04,0.00243,0.00241,0.00462,,,,
1.06E+05,0.0029,0.00384,0.00551,,,,
1.15E+05,0.00232,0.00169,0.00306,,,,
1.23E+05,0.00223,0.00157,0.00341,,,,
1.31E+05,0.00192,0.00169,0.00203,,,,
1.47E+05,0.00155,0.00115,0.00133,,,,
1.64E+05,0,2.08E-05,0,,,,
1.80E+05,0.0015,0.00242,0,,,,
1.97E+05,0.00252,0.00206,0.00096,,,,
2.13E+05,0.00232,0.00186,0.00169,,,,
2.29E+05,0.00175,0.00192,0.00104,,,,
2.46E+05,0.000903,0.00116,0.00193,,,,
2.62E+05,2.52E-05,0.000667,0.00344,,,,
2.95E+05,0,0.00266,0.00481,,,,
3.28E+05,0.000672,0.00209,0.00167,,,,
3.60E+05,0.00116,0.00192,0.00327,,,,
3.93E+05,0,8.13E-05,0.00414,,,,
4.26E+05,0.000117,0.00187,0.00278,,,,
4.59E+05,9.79E-05,0.00154,0.00274,,,,
4.92E+05,0.00115,0.00117,0.00218,,,,
5.24E+05,0.000527,0.00376,8.27E-05,,,,
5.90E+05,0.0017,0.000997,0,,,,
6.55E+05,0.00135,0.00154,0,,,,
7.21E+05,0.00235,0.000766,0.000716,,,,
7.86E+05,0.00207,0.000375,0.00114,,,,
8.52E+05,0.00134,0.00183,0.000744,,,,
9.18E+05,0.00131,8.25E-05,0.000463,,,,
9.83E+05,0.00268,0,0.000324,,,,
1.05E+06,0.00101,0.00242,0.00316,,,,
1.18E+06,0.000524,0.00822,0.00116,,,,
1.31E+06,0.000314,0.00784,0.00192,,,,
1.44E+06,0.000423,0.0062,0.000479,,,,
1.57E+06,0.00051,0.00627,0.00223,,,,
1.70E+06,0.000276,0.00717,0.00196,,,,
1.84E+06,0.00103,0.00854,0.00248,,,,
1.97E+06,0,0.00683,0.00243,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
