X Lag Time,Record 1: JJ1_10mg_400rpm_10-00min_PF_No2_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No2_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No2_230802 3,X Intensity,Record 1: JJ1_10mg_400rpm_10-00min_PF_No2_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No2_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No2_230802 3
0.5,0.789,0.833,0.81,0.4,0,0,0
1,0.786,0.827,0.798,0.463,0,0,0
1.5,0.778,0.814,0.795,0.536,0,0,0
2,0.771,0.811,0.783,0.621,0,0,0
2.5,0.765,0.811,0.782,0.719,0,0,0
3,0.765,0.804,0.78,0.833,0,0,0
3.5,0.751,0.792,0.772,0.965,0,0,0
4,0.749,0.789,0.768,1.12,0,0,0
4.5,0.751,0.785,0.766,1.29,0,0,0
5.5,0.745,0.779,0.757,1.5,0,0,0
6.5,0.731,0.772,0.749,1.74,0,0,0
7.5,0.723,0.761,0.744,2.01,0,0,0
8.5,0.714,0.758,0.726,2.33,0,0,0
9.5,0.707,0.747,0.721,2.7,0,0,0
10.5,0.699,0.739,0.716,3.12,0,0,0
11.5,0.696,0.734,0.713,3.62,0,0,0
12.5,0.687,0.727,0.703,4.19,0,0,0
14.5,0.674,0.713,0.691,4.85,0,0,0
16.5,0.662,0.703,0.679,5.61,0,0,0
18.5,0.652,0.691,0.666,6.5,0,0,0
20.5,0.645,0.679,0.657,7.53,0,0,0
22.5,0.636,0.671,0.646,8.72,0,0,0
24.5,0.623,0.665,0.634,10.1,2.11,1.95,2.98
26.5,0.619,0.652,0.625,11.7,6.68,6.76,8
28.5,0.61,0.643,0.618,13.5,9.21,9.28,9.39
32.5,0.592,0.627,0.602,15.7,7.07,6.69,5.37
36.5,0.58,0.617,0.589,18.2,2.39,1.78,0.286
40.5,0.566,0.603,0.577,21,0,0,0
44.5,0.556,0.592,0.565,24.4,0,0,0
48.5,0.546,0.581,0.554,28.2,0,0,0
52.5,0.534,0.571,0.545,32.7,0,0,0
56.5,0.526,0.564,0.536,37.8,0,0,0
60.5,0.519,0.555,0.529,43.8,0,0,0
68.5,0.505,0.541,0.514,50.7,0,0,0
76.5,0.496,0.531,0.503,58.8,0,0,0
84.5,0.486,0.52,0.494,68.1,0,0,0
92.5,0.478,0.513,0.487,78.8,0,0,0
101,0.472,0.505,0.48,91.3,0,0,0
109,0.465,0.499,0.475,106,0,0,0
117,0.46,0.495,0.47,122,0,0,0
125,0.456,0.49,0.464,142,0,0,0
141,0.447,0.481,0.456,164,0,0,0
157,0.441,0.475,0.448,190,0,0,0
173,0.435,0.471,0.444,220,0,0,0
