X Lag Time,Record 1: JJ1_10mg_400rpm_10-00min_PM_No2_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PM_No2_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PM_No2_230802 3,X Intensity,Record 1: JJ1_10mg_400rpm_10-00min_PM_No2_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PM_No2_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PM_No2_230802 3
0.5,0.855,0.87,0.844,0.4,0,0,0
1,0.854,0.868,0.845,0.463,0,0,0
1.5,0.847,0.863,0.84,0.536,0,0,0
2,0.842,0.857,0.832,0.621,0,0,0
2.5,0.837,0.849,0.829,0.719,0,0,0
3,0.832,0.842,0.823,0.833,0,0,0
3.5,0.827,0.839,0.82,0.965,0,0,0
4,0.823,0.834,0.816,1.12,0,0,0
4.5,0.817,0.829,0.81,1.29,0,0,0
5.5,0.808,0.819,0.802,1.5,0,0,0
6.5,0.798,0.809,0.794,1.74,0,0,0
7.5,0.79,0.799,0.786,2.01,0,0,0
8.5,0.782,0.79,0.778,2.33,0,0,0
9.5,0.775,0.782,0.769,2.7,0,0,0
10.5,0.767,0.774,0.762,3.12,0,0,0
11.5,0.76,0.765,0.755,3.62,0,0,0
12.5,0.754,0.757,0.748,4.19,0,0,0
14.5,0.739,0.742,0.736,4.85,0,0,0
16.5,0.726,0.729,0.723,5.61,0,0,0
18.5,0.714,0.714,0.711,6.5,0,0,0
20.5,0.702,0.703,0.701,7.53,0,0,0
22.5,0.691,0.69,0.689,8.72,0,0,0
24.5,0.681,0.679,0.68,10.1,0.806,1.71,2.53
26.5,0.671,0.668,0.671,11.7,6.81,7.16,6.9
28.5,0.662,0.659,0.661,13.5,10.4,10.6,9.09
32.5,0.645,0.64,0.644,15.7,6.93,8.3,6.96
36.5,0.629,0.623,0.63,18.2,0.818,2.75,2.47
40.5,0.614,0.608,0.616,21,0,0,0
44.5,0.602,0.593,0.604,24.4,0,0,0
48.5,0.59,0.581,0.593,28.2,0,0,0
52.5,0.58,0.57,0.583,32.7,0,0,0
56.5,0.57,0.559,0.575,37.8,0,0,0
60.5,0.562,0.55,0.566,43.8,0,0,0
68.5,0.546,0.534,0.553,50.7,0,0,0
76.5,0.534,0.521,0.541,58.8,0,0,0
84.5,0.524,0.509,0.531,68.1,0,0,0
92.5,0.514,0.5,0.522,78.8,0,0,0
101,0.507,0.492,0.515,91.3,0,0,0
109,0.5,0.485,0.509,106,0,0,0
117,0.494,0.478,0.504,122,0,0,0
125,0.489,0.473,0.499,142,0,0,0
141,0.481,0.464,0.49,164,0,0,0
157,0.475,0.457,0.484,190,0,0,0
173,0.469,0.452,0.477,220,0,0,0
189,0.464,0.447,0.472,255,0,0,0
205,0.459,0.442,0.468,295,0,0,0
221,0.455,0.438,0.463,342,0,0,0
237,0.451,0.433,0.46,396,0,0,0
253,0.448,0.43,0.455,459,0,0,0
285,0.44,0.422,0.448,531,0,0,0.632
317,0.433,0.416,0.442,615,0,2.24,4.36
349,0.426,0.409,0.436,712,2.4,6.98,9.26
381,0.419,0.403,0.429,825,8.32,11.9,12.7
413,0.413,0.397,0.422,955,14.4,14.6,13.3
445,0.406,0.389,0.416,1.11E+03,17.3,14,11
477,0.4,0.383,0.41,1.28E+03,15.6,10.7,7.12
509,0.393,0.377,0.403,1.48E+03,10.6,6.03,3.22
573,0.379,0.365,0.391,1.72E+03,4.78,2.02,0.712
637,0.368,0.353,0.382,1.99E+03,0.883,0,0
701,0.356,0.341,0.371,2.30E+03,0,0,0
765,0.345,0.33,0.358,2.67E+03,0,0,0
829,0.334,0.32,0.348,3.09E+03,0,0,0
893,0.323,0.31,0.339,3.58E+03,0,0,0
957,0.312,0.299,0.328,4.15E+03,0,0,0.971
1.02E+03,0.301,0.29,0.319,4.80E+03,0,0,3.05
1.15E+03,0.281,0.272,0.3,5.56E+03,0,1.09,5.6
1.28E+03,0.262,0.255,0.282,6.44E+03,0,0,0
1.40E+03,0.246,0.239,0.265,7.46E+03,0,0,0
1.53E+03,0.23,0.224,0.25,8.63E+03,0,0,0
1.66E+03,0.216,0.21,0.237,,,,
1.79E+03,0.203,0.2,0.224,,,,
1.92E+03,0.19,0.188,0.213,,,,
2.04E+03,0.179,0.177,0.203,,,,
