X Lag Time,Record 1: EVs_3e10_300rpm_02-00min_ST_No4_230912 1,Record 2: EVs_3e10_300rpm_02-00min_ST_No4_230912 2,Record 3: EVs_3e10_300rpm_02-00min_ST_No4_230912 3,X Intensity,Record 1: EVs_3e10_300rpm_02-00min_ST_No4_230912 1,Record 2: EVs_3e10_300rpm_02-00min_ST_No4_230912 2,Record 3: EVs_3e10_300rpm_02-00min_ST_No4_230912 3
0.5,0.884,0.874,0.889,0.4,0,0,0
1,0.893,0.879,0.894,0.463,0,0,0
1.5,0.888,0.877,0.889,0.536,0,0,0
2,0.888,0.874,0.889,0.621,0,0,0
2.5,0.885,0.874,0.89,0.719,0,0,0
3,0.885,0.869,0.886,0.833,0,0,0
3.5,0.882,0.87,0.884,0.965,0,0,0
4,0.879,0.866,0.885,1.12,0,0,0
4.5,0.877,0.866,0.884,1.29,0,0,0
5.5,0.875,0.863,0.879,1.5,0,0,0
6.5,0.872,0.86,0.876,1.74,0,0,0
7.5,0.868,0.858,0.873,2.01,0,0,0
8.5,0.865,0.854,0.869,2.33,0,0,0
9.5,0.862,0.851,0.867,2.7,0,0,0
10.5,0.858,0.848,0.864,3.12,0,0,0
11.5,0.855,0.845,0.861,3.62,0,0,0
12.5,0.852,0.842,0.857,4.19,0,0,0
14.5,0.845,0.836,0.851,4.85,0,0,0
16.5,0.84,0.83,0.845,5.61,0,0,0
18.5,0.833,0.823,0.839,6.5,0,0,0
20.5,0.827,0.817,0.834,7.53,0,0,0
22.5,0.821,0.812,0.828,8.72,0,0,0
24.5,0.814,0.806,0.823,10.1,0,0,0
26.5,0.811,0.8,0.816,11.7,0,0,0
28.5,0.804,0.795,0.81,13.5,0,0,0
32.5,0.793,0.784,0.8,15.7,0,0,0
36.5,0.781,0.772,0.789,18.2,0,0,0
40.5,0.771,0.762,0.779,21,0,0,0
44.5,0.76,0.751,0.769,24.4,0,0,0
48.5,0.75,0.742,0.759,28.2,0,0,0
52.5,0.74,0.731,0.749,32.7,0.165,0,0.0332
56.5,0.73,0.722,0.739,37.8,0.484,0,0.248
60.5,0.72,0.712,0.731,43.8,0.833,0,0.605
68.5,0.7,0.694,0.713,50.7,1.11,0,0.991
76.5,0.682,0.676,0.695,58.8,1.32,0,1.32
84.5,0.664,0.658,0.677,68.1,1.51,0,1.58
92.5,0.647,0.642,0.661,78.8,1.83,0.463,1.85
101,0.63,0.625,0.645,91.3,2.39,1.63,2.23
109,0.615,0.61,0.63,106,3.25,3.46,2.84
117,0.599,0.594,0.614,122,4.39,5.72,3.74
125,0.584,0.58,0.6,142,5.72,8.04,4.9
141,0.555,0.552,0.573,164,7.07,10,6.22
157,0.528,0.526,0.547,190,8.27,11.4,7.55
173,0.503,0.502,0.523,220,9.13,11.9,8.67
189,0.479,0.478,0.5,255,9.53,11.5,9.4
