X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230901 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230901 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230901 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230901 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230901 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230901 3
0.5,0.889,0.892,0.904,0.4,0,0,0
1,0.895,0.899,0.911,0.463,0,0,0
1.5,0.893,0.895,0.908,0.536,0,0,0
2,0.892,0.894,0.908,0.621,0,0,0
2.5,0.891,0.893,0.906,0.719,0,0,0
3,0.892,0.893,0.903,0.833,0,0,0
3.5,0.891,0.891,0.904,0.965,0,0,0
4,0.887,0.891,0.903,1.12,0,0,0
4.5,0.887,0.889,0.9,1.29,0,0,0
5.5,0.884,0.887,0.898,1.5,0,0,0
6.5,0.882,0.884,0.896,1.74,0,0,0
7.5,0.879,0.88,0.892,2.01,0,0,0
8.5,0.876,0.878,0.89,2.33,0,0,0
9.5,0.874,0.876,0.888,2.7,0,0,0
10.5,0.871,0.874,0.887,3.12,0,0,0
11.5,0.87,0.871,0.882,3.62,0,0,0
12.5,0.867,0.869,0.88,4.19,0,0,0
14.5,0.862,0.865,0.875,4.85,0,0,0
16.5,0.858,0.858,0.87,5.61,0,0,0
18.5,0.852,0.855,0.867,6.5,0,0,0
20.5,0.848,0.85,0.86,7.53,0,0,0
22.5,0.844,0.845,0.857,8.72,0,0,0
24.5,0.839,0.84,0.852,10.1,0,0,0
26.5,0.834,0.836,0.845,11.7,0,0,0
28.5,0.83,0.831,0.842,13.5,0,0,0
32.5,0.821,0.822,0.833,15.7,0,0,0
36.5,0.813,0.814,0.824,18.2,0,0,0
40.5,0.805,0.806,0.816,21,0,0,0
44.5,0.797,0.797,0.806,24.4,0,0,0
48.5,0.789,0.789,0.799,28.2,0,0,0
52.5,0.78,0.781,0.791,32.7,0,0,0
56.5,0.774,0.773,0.782,37.8,0,0,0
60.5,0.765,0.766,0.775,43.8,0,0,0
68.5,0.75,0.75,0.759,50.7,0,0,0
76.5,0.736,0.735,0.744,58.8,0,0,0
84.5,0.722,0.722,0.729,68.1,0,0,0
92.5,0.708,0.707,0.715,78.8,0,0,0.0613
101,0.695,0.694,0.701,91.3,0.0276,0.236,0.432
109,0.682,0.681,0.688,106,0.5,0.894,1.22
117,0.669,0.669,0.675,122,1.57,1.97,2.43
125,0.657,0.656,0.662,142,3.19,3.37,3.95
141,0.634,0.632,0.638,164,5.18,4.96,5.62
157,0.611,0.61,0.614,190,7.27,6.59,7.23
173,0.59,0.588,0.592,220,9.17,8.1,8.6
189,0.569,0.568,0.571,255,10.6,9.34,9.57
205,0.549,0.548,0.551,295,11.4,10.2,10
221,0.531,0.528,0.532,342,11.5,10.5,10
237,0.512,0.51,0.513,396,10.8,10.2,9.45
253,0.495,0.493,0.496,459,9.4,9.41,8.48
285,0.463,0.461,0.463,531,7.57,8.1,7.19
317,0.432,0.431,0.432,615,5.53,6.44,5.73
349,0.404,0.403,0.403,712,3.55,4.64,4.24
381,0.379,0.377,0.378,825,1.89,2.93,2.86
413,0.355,0.353,0.354,955,0.729,1.5,1.7
445,0.333,0.33,0.331,1.11E+03,0.136,0.534,0.836
477,0.312,0.309,0.311,1.28E+03,0,0.0702,0.295
509,0.293,0.29,0.292,1.48E+03,0,0,0.0463
573,0.258,0.255,0.257,1.72E+03,0,0,0
637,0.227,0.226,0.228,1.99E+03,0,0,0
701,0.201,0.201,0.202,2.30E+03,0,0,0
765,0.178,0.179,0.179,2.67E+03,0,0,0
829,0.159,0.159,0.159,3.09E+03,0,0,0
893,0.142,0.142,0.142,3.58E+03,0,0,0
957,0.127,0.127,0.127,4.15E+03,0,0,0
1.02E+03,0.115,0.114,0.114,4.80E+03,0,0,0
1.15E+03,0.0929,0.0914,0.0924,5.56E+03,0,0,0
1.28E+03,0.0754,0.0731,0.0753,6.44E+03,0,0,0
1.40E+03,0.0608,0.0586,0.062,7.46E+03,0,0,0
1.53E+03,0.0488,0.0477,0.0517,8.63E+03,0,0,0
1.66E+03,0.0398,0.0389,0.0435,,,,
1.79E+03,0.0325,0.0313,0.0368,,,,
1.92E+03,0.0281,0.0252,0.0309,,,,
2.04E+03,0.0241,0.0207,0.0268,,,,
2.30E+03,0.0174,0.0128,0.0198,,,,
2.56E+03,0.0137,0.00735,0.0133,,,,
2.81E+03,0.0107,0.00523,0.00895,,,,
3.07E+03,0.00782,0.00526,0.00728,,,,
3.32E+03,0.00694,0.00443,0.00529,,,,
3.58E+03,0.00573,0.0036,0.00437,,,,
3.84E+03,0.00472,0.00184,0.00318,,,,
4.09E+03,0.00538,0.00222,0.00311,,,,
4.60E+03,0.00478,0.00278,0.00223,,,,
5.12E+03,0.00414,0.00322,0.00224,,,,
5.63E+03,0.00266,0.00311,0.00193,,,,
6.14E+03,0.0044,0.00355,0.00245,,,,
6.65E+03,0.00471,0.00486,0.00291,,,,
7.16E+03,0.00507,0.00379,0.00311,,,,
7.68E+03,0.00452,0.00166,0.003,,,,
8.19E+03,0.00342,0.00172,0.0022,,,,
9.21E+03,0.00302,0.00481,0.00352,,,,
1.02E+04,0.00409,0.00472,0.00234,,,,
1.13E+04,0.00444,0.00305,0.00179,,,,
1.23E+04,0.0059,0.00318,0.00345,,,,
1.33E+04,0.00566,0.00538,0.00274,,,,
1.43E+04,0.00309,0.00402,0.00372,,,,
1.54E+04,0.00462,0.00432,0.00372,,,,
1.64E+04,0.00664,0.00243,0.00319,,,,
1.84E+04,0.00416,0.00178,0.00169,,,,
2.05E+04,0.00122,0.00325,0.00338,,,,
2.25E+04,0.00388,0.00176,0.00332,,,,
2.46E+04,0.00457,0.00136,0.00268,,,,
2.66E+04,0.009,0.00309,0.000934,,,,
2.87E+04,0.00426,0.00138,0.00113,,,,
3.07E+04,0.00386,0.00321,0.00283,,,,
3.28E+04,0.00392,0.00349,0.00161,,,,
3.69E+04,0.00364,0.00347,0.00201,,,,
4.10E+04,0.00508,0.00277,0.00309,,,,
4.51E+04,0.0024,0.00286,0.00193,,,,
4.91E+04,0.00263,0.00248,0.00285,,,,
5.32E+04,0.00239,0.0032,0.00282,,,,
5.73E+04,0.000698,0.00143,0.00112,,,,
6.14E+04,0.00184,0.00328,0.000688,,,,
6.55E+04,0.002,0.00248,0.00109,,,,
7.37E+04,0.00188,0.00216,0.00103,,,,
8.19E+04,0.0017,0.0024,0.000951,,,,
9.01E+04,0.00223,0.00152,0.00203,,,,
9.83E+04,0.00176,0.00305,0.00183,,,,
1.06E+05,0.00163,0.00285,0.00178,,,,
1.15E+05,0.00152,0.00184,0.0001,,,,
1.23E+05,0.00169,0.00325,0.00291,,,,
1.31E+05,0.00107,0.00125,0.00192,,,,
1.47E+05,0.00172,0.0026,0.000918,,,,
1.64E+05,0.00152,0.00258,0.00142,,,,
1.80E+05,0.00121,0.0014,0.00242,,,,
1.97E+05,0.0025,0.00205,0.0017,,,,
2.13E+05,0.00133,0.00317,0.00198,,,,
2.29E+05,0.00164,0.00124,0.00204,,,,
2.46E+05,0.00205,0.00319,0.000649,,,,
2.62E+05,0.00264,0.00199,0.000717,,,,
2.95E+05,0.00194,0.00297,0.00182,,,,
3.28E+05,0.00205,0.00168,0.00167,,,,
3.60E+05,0.00189,0.00157,0.00156,,,,
3.93E+05,0.000929,0.00228,0.00226,,,,
4.26E+05,0.00205,0.00263,0.00328,,,,
4.59E+05,0.00296,0.00208,0.00127,,,,
4.92E+05,0.00199,0.00159,0.00119,,,,
5.24E+05,0.00407,0.00236,0.00101,,,,
5.90E+05,0.00335,0.00214,0.0013,,,,
6.55E+05,0.00275,0.000911,0.00139,,,,
7.21E+05,0.00276,0.00165,0.00145,,,,
7.86E+05,0.0032,0.00201,0.00149,,,,
8.52E+05,0.00256,0.00321,0.00143,,,,
9.18E+05,0.00252,0.0024,0.000756,,,,
9.83E+05,0.00316,0.0029,0.000574,,,,
1.05E+06,0.00227,0.000181,0.00118,,,,
1.18E+06,0.00281,0.00131,0.000995,,,,
1.31E+06,0.00198,0.000674,0.00168,,,,
1.44E+06,0.00235,0.00107,0.00177,,,,
1.57E+06,0.00211,0.000817,0.000712,,,,
1.70E+06,0.00222,0.000168,0.000667,,,,
1.84E+06,0.00205,0.00181,0.00161,,,,
1.97E+06,0.00182,0.000667,0.000724,,,,
2.10E+06,0.00188,0.00236,0.00206,,,,
2.36E+06,0.00215,0.00287,0.000508,,,,
2.62E+06,0.000739,0.00221,0.000419,,,,
2.88E+06,0.00213,0.00224,0.000224,,,,
3.15E+06,0.000399,0.00168,0.000338,,,,
3.41E+06,0.00209,0.0035,0.000707,,,,
3.67E+06,0.000535,0.00175,0.000263,,,,
3.93E+06,0.00121,0.00183,0.00051,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
