X Lag Time,Record 1: EVs_3e10_PO1_050ug_000rpm_00-00min_NA_No1_230925 1,Record 2: EVs_3e10_PO1_050ug_000rpm_00-00min_NA_No1_230925 2,Record 3: EVs_3e10_PO1_050ug_000rpm_00-00min_NA_No1_230925 3,X Intensity,Record 1: EVs_3e10_PO1_050ug_000rpm_00-00min_NA_No1_230925 1,Record 2: EVs_3e10_PO1_050ug_000rpm_00-00min_NA_No1_230925 2,Record 3: EVs_3e10_PO1_050ug_000rpm_00-00min_NA_No1_230925 3
0.5,0.902,0.91,0.903,0.4,0,0,0
1,0.906,0.916,0.908,0.463,0,0,0
1.5,0.901,0.913,0.907,0.536,0,0,0
2,0.9,0.911,0.904,0.621,0,0,0
2.5,0.897,0.91,0.9,0.719,0,0,0
3,0.895,0.907,0.899,0.833,0,0,0
3.5,0.895,0.906,0.896,0.965,0,0,0
4,0.89,0.901,0.894,1.12,0,0,0
4.5,0.888,0.898,0.893,1.29,0,0,0
5.5,0.885,0.895,0.889,1.5,0,0,0
6.5,0.881,0.892,0.884,1.74,0,0,0
7.5,0.874,0.887,0.88,2.01,0,0,0
8.5,0.872,0.883,0.876,2.33,0,0,0
9.5,0.866,0.878,0.871,2.7,0,0,0
10.5,0.862,0.874,0.868,3.12,0,0,0
11.5,0.856,0.87,0.862,3.62,0,0,0
12.5,0.853,0.866,0.858,4.19,0,0,0
14.5,0.844,0.856,0.85,4.85,0,0,0
16.5,0.836,0.848,0.842,5.61,0,0,0
18.5,0.827,0.84,0.834,6.5,0,0,0
20.5,0.82,0.832,0.825,7.53,0,0,0
22.5,0.812,0.823,0.817,8.72,0,0,0
24.5,0.802,0.817,0.809,10.1,0,0,0
26.5,0.796,0.809,0.802,11.7,0,0,0
28.5,0.787,0.802,0.794,13.5,0,0,0
32.5,0.772,0.786,0.779,15.7,0.00163,0,0
36.5,0.756,0.772,0.765,18.2,0.134,0,0
40.5,0.742,0.757,0.75,21,0.339,0,0
44.5,0.728,0.744,0.736,24.4,0.51,0,0
48.5,0.713,0.73,0.723,28.2,0.572,0,0
52.5,0.7,0.717,0.71,32.7,0.523,0,0
56.5,0.686,0.704,0.697,37.8,0.443,0,0
60.5,0.674,0.691,0.684,43.8,0.472,0,0
68.5,0.649,0.666,0.659,50.7,0.767,0,0.372
76.5,0.625,0.643,0.636,58.8,1.45,0.488,1.38
84.5,0.602,0.62,0.614,68.1,2.58,1.88,3.07
92.5,0.58,0.599,0.592,78.8,4.11,4.14,5.28
101,0.559,0.579,0.571,91.3,5.89,6.93,7.67
109,0.54,0.559,0.551,106,7.71,9.7,9.88
117,0.52,0.54,0.533,122,9.31,11.9,11.5
125,0.502,0.522,0.515,142,10.5,13.2,12.3
141,0.468,0.488,0.481,164,11,13.2,12.1
157,0.436,0.457,0.449,190,10.8,12,10.9
173,0.407,0.429,0.42,220,9.83,9.91,8.94
189,0.38,0.402,0.393,255,8.3,7.22,6.55
205,0.354,0.378,0.369,295,6.4,4.47,4.13
221,0.332,0.355,0.346,342,4.4,2.16,2.08
237,0.311,0.333,0.324,396,2.57,0.636,0.678
253,0.291,0.314,0.305,459,1.17,0,0.0446
285,0.256,0.278,0.27,531,0.315,0,0
317,0.226,0.247,0.24,615,0,0,0
349,0.2,0.22,0.213,712,0,0,0
381,0.177,0.196,0.19,825,0,0,0
413,0.157,0.176,0.171,955,0,0,0
445,0.139,0.158,0.153,1.11E+03,0,0,0
477,0.124,0.142,0.138,1.28E+03,0,0,0
509,0.111,0.129,0.125,1.48E+03,0,0,0
573,0.0883,0.106,0.102,1.72E+03,0,0,0
637,0.0702,0.0886,0.0845,1.99E+03,0,0,0
701,0.0565,0.0741,0.0708,2.30E+03,0,0,0
765,0.0461,0.0622,0.0597,2.67E+03,0,0,0
829,0.0378,0.0532,0.0507,3.09E+03,0,0,0
893,0.0309,0.0455,0.0436,3.58E+03,0,0,0.0899
957,0.0255,0.0392,0.0381,4.15E+03,0,0.186,0.442
1.02E+03,0.0209,0.0344,0.0335,4.80E+03,0,0.658,1.01
1.15E+03,0.014,0.028,0.0268,5.56E+03,0,1.28,1.62
1.28E+03,0.0105,0.025,0.0228,6.44E+03,0,0,0
1.40E+03,0.00933,0.0208,0.02,7.46E+03,0,0,0
1.53E+03,0.0076,0.0162,0.0161,8.63E+03,0,0,0
1.66E+03,0.00584,0.0138,0.0136,,,,
1.79E+03,0.00388,0.0131,0.0124,,,,
1.92E+03,0.00339,0.0122,0.0121,,,,
2.04E+03,0.0033,0.0119,0.0125,,,,
2.30E+03,0.00271,0.013,0.0119,,,,
2.56E+03,0.00209,0.0114,0.0101,,,,
2.81E+03,0.00186,0.00955,0.00856,,,,
3.07E+03,0.00146,0.00797,0.00642,,,,
3.32E+03,0.00245,0.00885,0.00666,,,,
3.58E+03,0.00388,0.00909,0.00594,,,,
3.84E+03,0.00296,0.00989,0.00598,,,,
4.09E+03,0.00302,0.00967,0.00628,,,,
