X Lag Time,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No2_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No2_230918 3
0.5,0.897,0.899,0.896,0.4,0,0,0
1,0.898,0.902,0.903,0.463,0,0,0
1.5,0.894,0.899,0.895,0.536,0,0,0
2,0.893,0.896,0.893,0.621,0,0,0
2.5,0.89,0.894,0.888,0.719,0,0,0
3,0.886,0.891,0.886,0.833,0,0,0
3.5,0.882,0.888,0.884,0.965,0,0,0
4,0.879,0.884,0.878,1.12,0,0,0
4.5,0.877,0.881,0.878,1.29,0,0,0
5.5,0.871,0.876,0.87,1.5,0,0,0
6.5,0.865,0.868,0.865,1.74,0,0,0
7.5,0.858,0.863,0.86,2.01,0,0,0
8.5,0.854,0.856,0.854,2.33,0,0,0
9.5,0.847,0.851,0.849,2.7,0,0,0
10.5,0.843,0.846,0.841,3.12,0,0,0
11.5,0.836,0.84,0.838,3.62,0,0,0
12.5,0.831,0.834,0.832,4.19,0,0,0
14.5,0.82,0.824,0.821,4.85,0,0,0
16.5,0.809,0.814,0.81,5.61,0,0.132,0
18.5,0.798,0.803,0.8,6.5,0,0.409,0
20.5,0.789,0.792,0.791,7.53,0,0.53,0
22.5,0.78,0.784,0.781,8.72,0,0.419,0
24.5,0.77,0.774,0.772,10.1,0,0.226,0
26.5,0.761,0.765,0.764,11.7,0,0.15,0
28.5,0.752,0.756,0.754,13.5,0,0.277,0
32.5,0.735,0.739,0.737,15.7,0,0.534,0
36.5,0.718,0.722,0.721,18.2,0,0.76,0
40.5,0.702,0.707,0.705,21,0,0.807,0
44.5,0.687,0.69,0.69,24.4,0,0.636,0.0758
48.5,0.672,0.676,0.675,28.2,0,0.342,0.214
52.5,0.658,0.661,0.66,32.7,0,0.0901,0.341
56.5,0.645,0.649,0.647,37.8,0,0,0.44
60.5,0.631,0.635,0.634,43.8,0.0859,0,0.587
68.5,0.606,0.609,0.609,50.7,0.689,0,0.932
76.5,0.581,0.585,0.584,58.8,1.92,0.508,1.64
84.5,0.558,0.562,0.562,68.1,3.69,1.84,2.81
92.5,0.536,0.54,0.54,78.8,5.76,3.96,4.44
101,0.516,0.519,0.52,91.3,7.83,6.56,6.38
109,0.497,0.499,0.501,106,9.61,9.16,8.38
117,0.477,0.48,0.483,122,10.9,11.3,10.1
125,0.459,0.462,0.464,142,11.4,12.5,11.3
141,0.426,0.429,0.431,164,11.3,12.7,11.8
157,0.395,0.399,0.401,190,10.4,11.7,11.3
173,0.366,0.371,0.372,220,8.89,9.75,9.98
189,0.34,0.345,0.346,255,7.03,7.21,8.01
205,0.315,0.321,0.323,295,5.04,4.55,5.71
221,0.294,0.299,0.301,342,3.17,2.25,3.46
237,0.274,0.278,0.28,396,1.64,0.68,1.62
253,0.255,0.26,0.262,459,0.603,0,0.453
285,0.221,0.227,0.229,531,0.0971,0,0
317,0.192,0.197,0.2,615,0,0,0
349,0.168,0.172,0.175,712,0,0,0
381,0.147,0.15,0.154,825,0,0,0
413,0.129,0.131,0.136,955,0,0,0
445,0.113,0.115,0.12,1.11E+03,0,0,0
477,0.0987,0.101,0.105,1.28E+03,0,0,0
509,0.087,0.0889,0.0927,1.48E+03,0,0,0
573,0.0677,0.0692,0.0722,1.72E+03,0,0,0
637,0.0522,0.0539,0.0564,1.99E+03,0,0,0
701,0.0412,0.0422,0.0441,2.30E+03,0,0,0
765,0.0333,0.033,0.0343,2.67E+03,0,0,0
829,0.0267,0.0261,0.0272,3.09E+03,0,0,0
893,0.022,0.0213,0.0212,3.58E+03,0,0,0
957,0.0169,0.0167,0.0174,4.15E+03,0,0,0
1.02E+03,0.013,0.0134,0.0145,4.80E+03,0,0,0
1.15E+03,0.00828,0.00708,0.0101,5.56E+03,0,0,0
1.28E+03,0.00548,0.00397,0.00714,6.44E+03,0,0,0
1.40E+03,0.00374,0.00243,0.00532,7.46E+03,0,0,0
1.53E+03,0.0026,0.00223,0.00421,8.63E+03,0,0,0
1.66E+03,0.00261,0.00279,0.00325,,,,
1.79E+03,0.00289,0.00303,0.00405,,,,
1.92E+03,0.00318,0.00282,0.00398,,,,
2.04E+03,0.00255,0.00275,0.00307,,,,
2.30E+03,0.00245,0.00289,0.00175,,,,
2.56E+03,0.00326,0.00154,0.00344,,,,
2.81E+03,0.00261,0.000265,0.00337,,,,
3.07E+03,0.00107,0.000245,0.00311,,,,
3.32E+03,0.000989,0.000206,0.00299,,,,
3.58E+03,0.00157,0.000506,0.00258,,,,
3.84E+03,0.00261,0.00127,0.00269,,,,
4.09E+03,0.00255,0.00126,0.0015,,,,
4.60E+03,0.00157,0.000789,0.00339,,,,
5.12E+03,0.000611,0.000794,0.00504,,,,
5.63E+03,0.00104,0.00168,0.00438,,,,
6.14E+03,0.00104,0.00192,0.00447,,,,
6.65E+03,0.00103,0.00185,0.0027,,,,
7.16E+03,0.00348,0.00337,0.000449,,,,
7.68E+03,0.00237,0.00268,3.65E-05,,,,
8.19E+03,0.000674,0.00191,0.00111,,,,
9.21E+03,0.000894,0.00122,0.000707,,,,
1.02E+04,0.000989,0.00133,0.000618,,,,
1.13E+04,0.00113,0.00129,0.000799,,,,
1.23E+04,0.00115,0.00137,0.000686,,,,
1.33E+04,0.00226,0.000676,0.00139,,,,
1.43E+04,0.00166,0.00222,0.00131,,,,
1.54E+04,0.000688,0.000686,0.00138,,,,
1.64E+04,0.00052,0.00066,0.00106,,,,
1.84E+04,0.0013,0.00138,0.00128,,,,
2.05E+04,0.00168,0.000922,0.00114,,,,
2.25E+04,0.00122,0.000964,0.000812,,,,
2.46E+04,0.00233,0.000879,0.00129,,,,
2.66E+04,0.000561,0.00178,0.00161,,,,
2.87E+04,0.00167,0.00133,0.000642,,,,
3.07E+04,0.00237,0.00205,0.00144,,,,
3.28E+04,0.000937,0.000404,0.00142,,,,
3.69E+04,0.000623,0.000312,0.00104,,,,
4.10E+04,0.000551,0.000332,0.000486,,,,
4.51E+04,0.00172,0.000171,0.000439,,,,
4.91E+04,0.000368,0.00121,0.00137,,,,
5.32E+04,0.000428,0.000754,0.00203,,,,
5.73E+04,0.000574,0.00128,0.00128,,,,
6.14E+04,0.000683,0.000422,0.000902,,,,
6.55E+04,0.000424,0.00098,0.000443,,,,
7.37E+04,0.000356,0.000212,0.00108,,,,
8.19E+04,0.000406,0.000378,0.000856,,,,
9.01E+04,0.000776,0.00118,0.000259,,,,
9.83E+04,0.00114,0.00132,0.00114,,,,
1.06E+05,0.000398,0.000896,0.000188,,,,
1.15E+05,0.000828,0.00117,0.00151,,,,
1.23E+05,0.00106,0.000778,0.000557,,,,
1.31E+05,0.0012,0.000882,0.000764,,,,
1.47E+05,0.000797,0.00032,0.000428,,,,
1.64E+05,0.000874,0.00025,0.000899,,,,
1.80E+05,0.000582,0.00027,0.000847,,,,
1.97E+05,0.000511,0.000891,0.000505,,,,
2.13E+05,0.00128,0.00051,0.000547,,,,
2.29E+05,0.000592,0.00102,0.000242,,,,
