X Lag Time,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No3_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No3_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No3_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No3_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No3_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No3_230918 3
0.5,0.876,0.873,0.876,0.4,0,0,0
1,0.882,0.878,0.882,0.463,0,0,0
1.5,0.879,0.875,0.878,0.536,0,0,0
2,0.875,0.871,0.875,0.621,0,0,0
2.5,0.874,0.869,0.874,0.719,0,0,0
3,0.87,0.866,0.869,0.833,0,0,0
3.5,0.866,0.865,0.868,0.965,0,0,0
4,0.864,0.861,0.865,1.12,0,0,0
4.5,0.861,0.858,0.862,1.29,0,0,0
5.5,0.857,0.854,0.857,1.5,0,0,0
6.5,0.851,0.848,0.851,1.74,0,0,0
7.5,0.846,0.843,0.846,2.01,0,0,0
8.5,0.84,0.838,0.84,2.33,0,0,0
9.5,0.835,0.833,0.836,2.7,0,0,0
10.5,0.83,0.827,0.831,3.12,0,0,0
11.5,0.825,0.822,0.826,3.62,0,0,0
12.5,0.82,0.817,0.821,4.19,0,0,0
14.5,0.81,0.806,0.811,4.85,0,0,0
16.5,0.8,0.797,0.801,5.61,0,0,0
18.5,0.79,0.787,0.791,6.5,0,0,0
20.5,0.781,0.778,0.782,7.53,0,0,0
22.5,0.771,0.768,0.773,8.72,0,0,0.0324
24.5,0.762,0.759,0.764,10.1,0,0,0.112
26.5,0.753,0.75,0.755,11.7,0,0,0.148
28.5,0.744,0.741,0.746,13.5,0,0,0.118
32.5,0.727,0.724,0.728,15.7,0,0,0.0655
36.5,0.709,0.707,0.712,18.2,0,0,0.0548
40.5,0.692,0.691,0.696,21,0,0,0.124
44.5,0.677,0.675,0.68,24.4,0,0,0.281
48.5,0.661,0.659,0.664,28.2,0,0,0.513
52.5,0.646,0.644,0.649,32.7,0,0,0.819
56.5,0.631,0.629,0.635,37.8,0.0855,0,1.22
60.5,0.617,0.615,0.621,43.8,0.695,0.532,1.75
68.5,0.59,0.588,0.594,50.7,1.94,1.86,2.46
76.5,0.564,0.563,0.568,58.8,3.71,3.86,3.37
84.5,0.54,0.538,0.545,68.1,5.77,6.2,4.47
92.5,0.516,0.515,0.521,78.8,7.81,8.46,5.7
101,0.494,0.493,0.5,91.3,9.52,10.3,6.96
109,0.473,0.473,0.479,106,10.7,11.4,8.11
117,0.453,0.453,0.459,122,11.1,11.7,9.01
125,0.435,0.434,0.441,142,10.8,11.1,9.51
141,0.4,0.399,0.406,164,9.89,9.85,9.53
157,0.368,0.367,0.374,190,8.45,8.06,9.03
173,0.339,0.339,0.346,220,6.7,6.04,8.05
189,0.312,0.312,0.32,255,4.87,4.04,6.7
205,0.288,0.288,0.296,295,3.17,2.31,5.12
221,0.267,0.266,0.274,342,1.77,1.03,3.5
237,0.247,0.246,0.255,396,0.773,0.279,2.05
253,0.229,0.228,0.237,459,0.204,0,0.94
285,0.198,0.196,0.205,531,0,0,0.259
317,0.171,0.169,0.178,615,0,0,0
349,0.147,0.146,0.155,712,0,0,0
381,0.128,0.128,0.136,825,0,0,0
413,0.111,0.112,0.118,955,0,0,0
445,0.0969,0.0987,0.104,1.11E+03,0,0,0
477,0.0849,0.087,0.0915,1.28E+03,0,0,0
509,0.0754,0.0769,0.0809,1.48E+03,0,0,0
573,0.0594,0.0596,0.0631,1.72E+03,0,0,0
637,0.0472,0.0472,0.0498,1.99E+03,0,0,0
701,0.0383,0.0377,0.0399,2.30E+03,0.0158,0,0
765,0.0313,0.0306,0.0321,2.67E+03,0.0711,0.0521,0
829,0.0261,0.0255,0.0257,3.09E+03,0.167,0.184,0
893,0.0216,0.021,0.0207,3.58E+03,0.289,0.382,0
957,0.0171,0.0172,0.0164,4.15E+03,0.413,0.608,0
1.02E+03,0.0141,0.0145,0.0135,4.80E+03,0.513,0.809,0
1.15E+03,0.0107,0.0106,0.00997,5.56E+03,0.562,0.931,0
1.28E+03,0.00845,0.00923,0.00772,6.44E+03,0,0,0
1.40E+03,0.0073,0.00865,0.0051,7.46E+03,0,0,0
1.53E+03,0.00505,0.00711,0.00304,8.63E+03,0,0,0
1.66E+03,0.00405,0.00677,0.00203,,,,
1.79E+03,0.0036,0.0064,0.00185,,,,
1.92E+03,0.00363,0.00509,0.00119,,,,
2.04E+03,0.00354,0.0048,0.000648,,,,
2.30E+03,0.00253,0.00362,0.000811,,,,
2.56E+03,0.0024,0.00222,0.00135,,,,
2.81E+03,0.003,0.00218,0.00254,,,,
3.07E+03,0.0032,0.00292,0.00336,,,,
3.32E+03,0.0028,0.0023,0.00493,,,,
3.58E+03,0.00209,0.00286,0.00399,,,,
3.84E+03,0.00214,0.00445,0.00308,,,,
4.09E+03,0.00203,0.00456,0.0019,,,,
4.60E+03,0.00138,0.00384,0.00164,,,,
5.12E+03,0.000561,0.0023,0.000954,,,,
5.63E+03,0.00104,0.00246,0.00163,,,,
6.14E+03,0.00156,0.00193,0.00333,,,,
6.65E+03,0.00249,0.00143,0.00184,,,,
7.16E+03,0.00196,0.00147,0.0048,,,,
7.68E+03,0.00301,0.00187,0.00278,,,,
8.19E+03,0.00154,0.00339,0.00247,,,,
9.21E+03,0.00256,0.00187,0.00353,,,,
1.02E+04,0.00307,0.000737,0.00276,,,,
1.13E+04,0.00352,0.000746,0.00174,,,,
1.23E+04,0.00323,0.0027,0.00204,,,,
1.33E+04,0.00177,0.00186,0.00301,,,,
1.43E+04,0.000543,0.00163,0.00246,,,,
1.54E+04,0.00195,0.0011,0.00295,,,,
1.64E+04,0.00242,0.00172,0.00315,,,,
1.84E+04,0.00198,0.00139,0.00317,,,,
2.05E+04,0.00188,0.00289,0.00387,,,,
2.25E+04,0.00222,0.000629,0.00374,,,,
2.46E+04,0.00297,0.00136,0.002,,,,
2.66E+04,0.00138,0.00134,0.00152,,,,
2.87E+04,0.00125,0.000722,0.00096,,,,
3.07E+04,0.00162,0.000378,0.00248,,,,
3.28E+04,0.00273,0.000466,0.00179,,,,
3.69E+04,0.00271,0.00118,0.00126,,,,
4.10E+04,0.000763,0.00149,0.00169,,,,
4.51E+04,0.00215,0.00149,0.00205,,,,
4.91E+04,0.00178,0.00142,0.00226,,,,
5.32E+04,0.0031,0.00107,0.00229,,,,
5.73E+04,0.00135,0.00151,0.00224,,,,
6.14E+04,0.0015,0.00106,0.00214,,,,
6.55E+04,0.00132,0.000816,0.00231,,,,
7.37E+04,0.00242,0.00127,0.00231,,,,
8.19E+04,0.00233,0.000739,0.00217,,,,
9.01E+04,0.00188,0.00164,0.00234,,,,
9.83E+04,0.0013,0.00152,0.00212,,,,
1.06E+05,0.00181,0.00184,0.0017,,,,
1.15E+05,0.0016,0.000139,0.00128,,,,
1.23E+05,0.00163,0.000473,0.002,,,,
1.31E+05,0.000904,0.000927,0.00166,,,,
1.47E+05,0.00121,0.000732,0.00181,,,,
1.64E+05,0.00124,0.000545,0.00128,,,,
1.80E+05,0.00129,0.000787,0.0018,,,,
1.97E+05,0.00122,0.00121,0.00151,,,,
2.13E+05,0.00139,0.00117,0.00225,,,,
2.29E+05,0.00113,0.00056,0.00171,,,,
2.46E+05,0.00154,0.000527,0.00185,,,,
2.62E+05,0.00149,0.000981,0.00122,,,,
2.95E+05,0.00115,0.000664,0.00196,,,,
3.28E+05,0.0019,0.000829,0.00147,,,,
3.60E+05,0.00172,0.000616,0.000793,,,,
3.93E+05,0.00166,0.00117,0.00121,,,,
4.26E+05,0.00193,0.00093,0.000781,,,,
4.59E+05,0.00216,0.00117,0.000734,,,,
4.92E+05,0.0014,0.000337,0.000839,,,,
5.24E+05,0.00162,0.000801,0.00119,,,,
5.90E+05,0.00229,0.000736,0.000884,,,,
6.55E+05,0.00225,0.000725,0.00118,,,,
7.21E+05,0.00232,0.0005,0.000701,,,,
7.86E+05,0.00225,0.000819,0.000673,,,,
8.52E+05,0.00209,0.000329,0.000395,,,,
9.18E+05,0.00167,0.000319,0.000662,,,,
9.83E+05,0.00182,0.000437,0.000602,,,,
1.05E+06,0.00183,0.00138,0.00086,,,,
1.18E+06,0.00261,0.00106,0.000288,,,,
1.31E+06,0.0021,0.000771,0.00064,,,,
1.44E+06,0.00211,0.000778,0.000791,,,,
1.57E+06,0.00237,0.00127,0.000655,,,,
1.70E+06,0.00177,0.00113,0.00019,,,,
1.84E+06,0.00118,0.000986,0.000343,,,,
1.97E+06,0.00165,0.000717,0.000627,,,,
2.10E+06,0.00151,0.000855,0.000289,,,,
2.36E+06,0.00141,0.000531,0.000633,,,,
2.62E+06,0.00174,0.000615,0.000713,,,,
2.88E+06,0.00238,0.000213,0.000696,,,,
3.15E+06,0.00252,0.000306,0.000346,,,,
3.41E+06,0.00267,1.30E-06,0,,,,
3.67E+06,0.00274,5.52E-06,0.000691,,,,
3.93E+06,0.00356,0.00026,0.000173,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
