X Lag Time,Record 3: PBS_00mg_BSA_001mg_000rpm_00-00min_NA_No1_230920 1,Record 4: PBS_00mg_BSA_001mg_000rpm_00-00min_NA_No1_230920 2,Record 5: PBS_00mg_BSA_001mg_000rpm_00-00min_NA_No1_230920 3,X Intensity,Record 3: PBS_00mg_BSA_001mg_000rpm_00-00min_NA_No1_230920 1,Record 4: PBS_00mg_BSA_001mg_000rpm_00-00min_NA_No1_230920 2,Record 5: PBS_00mg_BSA_001mg_000rpm_00-00min_NA_No1_230920 3
0.5,0.363,0.189,0.203,0.4,0,0,0
1,0.36,0.192,0.208,0.463,0,0,0
1.5,0.353,0.189,0.204,0.536,0,0,0
2,0.35,0.185,0.199,0.621,0,0,0
2.5,0.351,0.184,0.198,0.719,0,0,0
3,0.339,0.181,0.196,0.833,0,0,0
3.5,0.341,0.18,0.193,0.965,0,0,0
4,0.335,0.176,0.191,1.12,0,0,0
4.5,0.331,0.175,0.188,1.29,0,0,0
5.5,0.32,0.17,0.183,1.5,0,0,0
6.5,0.314,0.167,0.177,1.74,0,0,0
7.5,0.305,0.162,0.173,2.01,0,0,0
8.5,0.298,0.159,0.17,2.33,0,0,0
9.5,0.292,0.155,0.164,2.7,0,0,0
10.5,0.284,0.151,0.16,3.12,0,0,0.0835
11.5,0.28,0.147,0.157,3.62,0,0,0.265
12.5,0.272,0.144,0.153,4.19,0,0,0.401
14.5,0.26,0.137,0.145,4.85,0,0,0.441
16.5,0.248,0.132,0.139,5.61,0,0,0.473
18.5,0.238,0.127,0.132,6.5,0,0.0808,0.676
20.5,0.227,0.12,0.127,7.53,0.248,0.651,1.23
22.5,0.218,0.115,0.122,8.72,1.78,1.76,2.22
24.5,0.21,0.11,0.116,10.1,4.18,3.24,3.63
26.5,0.202,0.106,0.111,11.7,6.64,4.85,5.3
28.5,0.194,0.102,0.108,13.5,8.49,6.34,7.01
32.5,0.18,0.0944,0.099,15.7,9.37,7.52,8.48
36.5,0.167,0.0879,0.0916,18.2,9.27,8.26,9.49
40.5,0.156,0.0812,0.0854,21,8.38,8.51,9.88
44.5,0.145,0.0757,0.0794,24.4,7.04,8.29,9.59
48.5,0.138,0.0701,0.0739,28.2,5.55,7.67,8.68
52.5,0.13,0.0654,0.0694,32.7,4.18,6.75,7.3
56.5,0.123,0.0617,0.0655,37.8,3.11,5.66,5.66
60.5,0.117,0.0586,0.0616,43.8,2.39,4.51,3.97
68.5,0.106,0.0523,0.055,50.7,2.01,3.4,2.45
76.5,0.0966,0.0471,0.0497,58.8,1.91,2.41,1.25
84.5,0.0895,0.0426,0.0446,68.1,1.98,1.6,0.47
92.5,0.0829,0.039,0.041,78.8,2.11,0.998,0.102
101,0.0776,0.0355,0.0377,91.3,2.23,0.603,0.0845
109,0.0728,0.0336,0.0353,106,2.26,0.397,0.302
117,0.0681,0.031,0.0333,122,2.16,0.347,0.612
125,0.0649,0.029,0.0317,142,1.93,0.407,0.879
141,0.0591,0.026,0.0286,164,1.6,0.526,1.01
157,0.0543,0.0233,0.0257,190,1.2,0.658,0.947
173,0.0511,0.0214,0.0247,220,0.788,0.762,0.725
189,0.0493,0.02,0.0229,255,0.43,0.81,0.42
205,0.0469,0.0186,0.0217,295,0.17,0.79,0.146
221,0.0449,0.0175,0.0207,342,0.0318,0.702,0
237,0.0435,0.0168,0.0199,396,0,0.564,0
253,0.0417,0.0163,0.0193,459,0,0.399,0
285,0.04,0.015,0.0187,531,0,0.238,0
317,0.0386,0.0146,0.0179,615,0,0.108,0
349,0.0379,0.0138,0.0176,712,0,0.0286,0
381,0.0375,0.0132,0.0174,825,0,0,0
413,0.0364,0.0126,0.0169,955,0,0,0
445,0.0356,0.0121,0.0161,1.11E+03,0,0,0
477,0.0357,0.0119,0.0162,1.28E+03,0,0,0
509,0.0352,0.012,0.0155,1.48E+03,0,0,0
573,0.0337,0.0115,0.015,1.72E+03,0,0.0084,0
637,0.0334,0.0112,0.0148,1.99E+03,0,0.101,0
701,0.0327,0.0114,0.0145,2.30E+03,0.0884,0.315,0
765,0.0324,0.0109,0.0141,2.67E+03,0.332,0.649,0
829,0.0325,0.0107,0.0136,3.09E+03,0.729,1.07,0
893,0.0319,0.0106,0.0134,3.58E+03,1.22,1.52,0
957,0.0313,0.0101,0.0133,4.15E+03,1.73,1.94,0.511
1.02E+03,0.0312,0.01,0.0131,4.80E+03,2.14,2.23,1.8
1.15E+03,0.0302,0.00991,0.0131,5.56E+03,2.35,2.33,3.52
1.28E+03,0.0297,0.00954,0.0128,6.44E+03,0,0,0
1.40E+03,0.0294,0.0092,0.0123,7.46E+03,0,0,0
1.53E+03,0.0293,0.00895,0.0123,8.63E+03,0,0,0
1.66E+03,0.0293,0.00897,0.0118,,,,
1.79E+03,0.0284,0.00884,0.0117,,,,
1.92E+03,0.028,0.00862,0.0119,,,,
2.04E+03,0.0277,0.00857,0.0117,,,,
2.30E+03,0.0276,0.00817,0.0113,,,,
2.56E+03,0.0277,0.00842,0.0116,,,,
2.81E+03,0.0284,0.00851,0.0114,,,,
3.07E+03,0.0282,0.0084,0.0116,,,,
3.32E+03,0.0286,0.0085,0.0117,,,,
3.58E+03,0.0289,0.00846,0.0117,,,,
3.84E+03,0.0288,0.00849,0.0117,,,,
4.09E+03,0.0292,0.00864,0.0115,,,,
4.60E+03,0.0291,0.00822,0.0112,,,,
5.12E+03,0.0271,0.00809,0.0106,,,,
5.63E+03,0.026,0.00803,0.0104,,,,
6.14E+03,0.0259,0.00747,0.0103,,,,
6.65E+03,0.0261,0.00775,0.0104,,,,
7.16E+03,0.0271,0.00765,0.0105,,,,
7.68E+03,0.0281,0.00755,0.0108,,,,
8.19E+03,0.0283,0.00768,0.0106,,,,
9.21E+03,0.0267,0.00734,0.0103,,,,
1.02E+04,0.0257,0.00694,0.0101,,,,
1.13E+04,0.0263,0.00719,0.01,,,,
1.23E+04,0.027,0.00753,0.0103,,,,
1.33E+04,0.0265,0.00735,0.00991,,,,
1.43E+04,0.0248,0.00682,0.00972,,,,
1.54E+04,0.0259,0.00718,0.0098,,,,
1.64E+04,0.0267,0.00718,0.00998,,,,
1.84E+04,0.025,0.00683,0.00959,,,,
2.05E+04,0.026,0.00718,0.00975,,,,
2.25E+04,0.0246,0.00678,0.00949,,,,
2.46E+04,0.0256,0.007,0.00947,,,,
2.66E+04,0.0246,0.00673,0.00913,,,,
2.87E+04,0.0256,0.00675,0.00939,,,,
3.07E+04,0.0243,0.00651,0.0091,,,,
3.28E+04,0.0247,0.00654,0.00926,,,,
3.69E+04,0.0248,0.00661,0.00912,,,,
4.10E+04,0.025,0.00664,0.00888,,,,
4.51E+04,0.0249,0.00644,0.00895,,,,
4.91E+04,0.025,0.00649,0.00883,,,,
5.32E+04,0.0252,0.00667,0.00864,,,,
5.73E+04,0.0254,0.00656,0.00879,,,,
6.14E+04,0.0258,0.0066,0.00879,,,,
6.55E+04,0.0256,0.00663,0.00872,,,,
7.37E+04,0.0256,0.00659,0.00846,,,,
8.19E+04,0.025,0.00637,0.00807,,,,
9.01E+04,0.0247,0.00621,0.00776,,,,
9.83E+04,0.0242,0.006,0.00742,,,,
1.06E+05,0.0244,0.00609,0.00723,,,,
1.15E+05,0.0247,0.00613,0.00688,,,,
1.23E+05,0.0246,0.00589,0.00668,,,,
1.31E+05,0.0248,0.00591,0.00645,,,,
1.47E+05,0.0242,0.00584,0.00574,,,,
1.64E+05,0.0238,0.00559,0.00507,,,,
1.80E+05,0.024,0.00553,0.00444,,,,
1.97E+05,0.0237,0.00539,0.00391,,,,
2.13E+05,0.0234,0.00516,0.00321,,,,
2.29E+05,0.0234,0.00501,0.00299,,,,
2.46E+05,0.0234,0.00482,0.00278,,,,
2.62E+05,0.0229,0.0047,0.00257,,,,
2.95E+05,0.0223,0.00449,0.00248,,,,
3.28E+05,0.022,0.00412,0.00234,,,,
3.60E+05,0.0216,0.0038,0.00227,,,,
3.93E+05,0.0214,0.00353,0.00221,,,,
4.26E+05,0.0213,0.00327,0.00237,,,,
4.59E+05,0.0211,0.00305,0.00226,,,,
4.92E+05,0.0209,0.00305,0.00221,,,,
5.24E+05,0.0212,0.003,0.00211,,,,
5.90E+05,0.0207,0.00279,0.00212,,,,
6.55E+05,0.0206,0.00274,0.00218,,,,
7.21E+05,0.0204,0.0026,0.00309,,,,
7.86E+05,0.0205,0.00251,0.00372,,,,
8.52E+05,0.0202,0.00248,0.0041,,,,
9.18E+05,0.0201,0.00236,0.00404,,,,
9.83E+05,0.0201,0.00247,0.00377,,,,
1.05E+06,0.0197,0.00246,0.00315,,,,
1.18E+06,0.0195,0.00236,0.00205,,,,
1.31E+06,0.0196,0.00235,0.00223,,,,
1.44E+06,0.0194,0.0025,0.0027,,,,
1.57E+06,0.0196,0.00233,0.0035,,,,
1.70E+06,0.0192,0.0022,0.00374,,,,
1.84E+06,0.0196,0.00201,0.00354,,,,
1.97E+06,0.0199,0.00198,0.00303,,,,
2.10E+06,0.02,0.00154,0.00346,,,,
2.36E+06,0.0199,0.00193,0.00285,,,,
2.62E+06,0.0206,0.00257,0.00237,,,,
2.88E+06,0.0192,0.00344,0.00398,,,,
3.15E+06,0.0179,0.00294,0.00314,,,,
3.41E+06,0.0165,0.002,0.00256,,,,
3.67E+06,0.0152,0.00171,0.00329,,,,
3.93E+06,0.0148,0.00155,0.00421,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
