X Lag Time,Record 1: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No2_230925 1,Record 2: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No2_230925 2,Record 3: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No2_230925 3,X Intensity,Record 1: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No2_230925 1,Record 2: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No2_230925 2,Record 3: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No2_230925 3
0.5,0.154,0.196,0.204,0.4,0,0,0
1,0.137,0.18,0.193,0.463,0,0,0
1.5,0.122,0.161,0.183,0.536,0,0,0
2,0.119,0.162,0.172,0.621,0,0,0
2.5,0.115,0.153,0.172,0.719,0,0,0
3,0.104,0.14,0.163,0.833,0,0,0
3.5,0.104,0.138,0.157,0.965,0,0,0
4,0.0986,0.132,0.151,1.12,0,0,0
4.5,0.0924,0.127,0.147,1.29,0,0,0
5.5,0.0833,0.118,0.141,1.5,0,0,0
6.5,0.0726,0.106,0.13,1.74,0,0,0
7.5,0.0669,0.1,0.123,2.01,0,0,0
8.5,0.0575,0.0943,0.116,2.33,0,0.236,0
9.5,0.0562,0.0871,0.111,2.7,0.278,1.01,0
10.5,0.0539,0.0835,0.105,3.12,2.1,2.31,0
11.5,0.0455,0.0753,0.0989,3.62,5.25,3.98,0
12.5,0.0413,0.0712,0.0947,4.19,8.85,5.79,1.13
14.5,0.036,0.0633,0.0844,4.85,12,7.49,3.78
16.5,0.0301,0.0562,0.076,5.61,13.8,8.86,7.29
18.5,0.0252,0.047,0.0681,6.5,14.2,9.71,10.6
20.5,0.0225,0.0421,0.0644,7.53,13,9.97,12.8
22.5,0.0185,0.0341,0.0569,8.72,10.6,9.59,13.2
24.5,0.0156,0.033,0.0517,10.1,7.6,8.65,11.8
26.5,0.0151,0.0297,0.0476,11.7,4.61,7.26,9.03
28.5,0.0112,0.0282,0.0444,13.5,2.16,5.62,5.64
32.5,0.00829,0.0223,0.0385,15.7,0.608,3.92,2.6
36.5,0.00796,0.0201,0.0323,18.2,0,2.39,0.643
40.5,0.00565,0.0136,0.0286,21,0,1.18,0
44.5,0.00795,0.0121,0.0255,24.4,0,0.394,0
48.5,0.00318,0.0102,0.0229,28.2,0,0.0428,0
52.5,0.00357,0.00941,0.0217,32.7,0,0,0
56.5,0.00315,0.0093,0.0192,37.8,0,0,0
60.5,0.00191,0.00858,0.0177,43.8,0,0,0
68.5,0.00349,0.00654,0.0169,50.7,0,0,0
76.5,0.00199,0.00701,0.0156,58.8,0,0,0
84.5,0.00195,0.00477,0.0146,68.1,0,0,0
92.5,0.00235,0.00444,0.0152,78.8,0,0,0
101,0.00206,0.00555,0.0148,91.3,0,0,0
109,0.00228,0.00519,0.014,106,0,0,0
117,0.00183,0.00403,0.0147,122,0,0,0
125,0.00205,0.00444,0.0139,142,0,0,0
141,0.0013,0.00579,0.0132,164,0,0,0
157,0.00176,0.0038,0.0128,190,0,0,0
173,0.00146,0.00522,0.0127,220,0,0,0
189,0.002,0.0056,0.0128,255,0,0,0
205,0.00137,0.0042,0.0123,295,0,0,0
221,0.00144,0.00413,0.0127,342,0,0.0074,0
237,0.00111,0.00484,0.0121,396,0,0.0393,0
253,0.00145,0.00417,0.0116,459,0,0.101,0.0522
285,0.00148,0.00417,0.0114,531,0,0.19,0.236
317,0.000807,0.00304,0.0115,615,0,0.299,0.552
349,0.00137,0.0035,0.0113,712,0,0.419,0.957
381,0.00121,0.00323,0.0108,825,0,0.541,1.39
413,0.00134,0.0033,0.0105,955,0,0.655,1.79
445,0.00137,0.00342,0.0101,1.11E+03,0,0.756,2.1
477,0.001,0.00333,0.0101,1.28E+03,0,0.837,2.29
509,0.00121,0.00269,0.00995,1.48E+03,0.0264,0.894,2.34
573,0.000815,0.00313,0.00938,1.72E+03,0.0923,0.926,2.25
637,0.00092,0.0029,0.00923,1.99E+03,0.198,0.933,2.04
701,0.000818,0.0033,0.00858,2.30E+03,0.333,0.916,1.75
765,0.000611,0.00279,0.00816,2.67E+03,0.483,0.876,1.39
829,0.000567,0.00206,0.00788,3.09E+03,0.629,0.817,1.02
893,0.000939,0.00235,0.00801,3.58E+03,0.751,0.742,0.675
957,0.000571,0.00189,0.00751,4.15E+03,0.833,0.654,0.385
1.02E+03,0.000659,0.00196,0.00739,4.80E+03,0.858,0.556,0.173
1.15E+03,0.000834,0.00221,0.00671,5.56E+03,0.817,0.451,0.0476
1.28E+03,0.00121,0.00206,0.00643,6.44E+03,0,0,0
1.40E+03,0.000519,0.00169,0.00622,7.46E+03,0,0,0
1.53E+03,0.000874,0.00189,0.00587,8.63E+03,0,0,0
1.66E+03,0.000929,0.00169,0.00536,,,,
1.79E+03,0.000822,0.00172,0.00518,,,,
1.92E+03,0.000701,0.00142,0.0053,,,,
2.04E+03,0.000371,0.00154,0.00487,,,,
2.30E+03,0.000453,0.00169,0.00443,,,,
2.56E+03,0.000557,0.00144,0.00444,,,,
2.81E+03,0.000536,0.00145,0.00417,,,,
3.07E+03,0.000525,0.00147,0.00416,,,,
3.32E+03,0.000484,0.00141,0.00422,,,,
3.58E+03,0.000404,0.00165,0.00416,,,,
3.84E+03,0.0006,0.00176,0.00379,,,,
4.09E+03,0.000449,0.00164,0.00368,,,,
4.60E+03,0.000522,0.00149,0.00346,,,,
5.12E+03,0.000328,0.00149,0.0034,,,,
5.63E+03,0.000376,0.00166,0.00339,,,,
6.14E+03,0.000377,0.00159,0.00337,,,,
6.65E+03,0.000574,0.00154,0.00342,,,,
7.16E+03,0.000367,0.00154,0.00318,,,,
7.68E+03,0.000435,0.00153,0.00323,,,,
8.19E+03,0.000437,0.00151,0.00322,,,,
9.21E+03,0.000421,0.00145,0.00332,,,,
1.02E+04,0.000302,0.00143,0.00308,,,,
1.13E+04,0.000398,0.00139,0.00314,,,,
1.23E+04,0.000298,0.00164,0.00319,,,,
