X Lag Time,Record 1: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No1_230925 1,Record 2: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No1_230925 2,Record 3: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No1_230925 3,X Intensity,Record 1: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No1_230925 1,Record 2: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No1_230925 2,Record 3: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No1_230925 3
0.5,0.879,0.879,0.881,0.4,0,0,0
1,0.885,0.885,0.886,0.463,0,0,0
1.5,0.88,0.882,0.883,0.536,0,0,0
2,0.878,0.879,0.882,0.621,0,0,0
2.5,0.877,0.876,0.88,0.719,0,0,0
3,0.875,0.875,0.878,0.833,0,0,0
3.5,0.872,0.873,0.874,0.965,0,0,0
4,0.87,0.871,0.872,1.12,0,0,0
4.5,0.868,0.868,0.87,1.29,0,0,0
5.5,0.864,0.864,0.866,1.5,0,0,0
6.5,0.86,0.861,0.861,1.74,0,0,0
7.5,0.854,0.855,0.857,2.01,0,0,0
8.5,0.851,0.852,0.853,2.33,0,0,0
9.5,0.847,0.846,0.85,2.7,0,0,0
10.5,0.843,0.843,0.845,3.12,0,0,0
11.5,0.838,0.839,0.84,3.62,0,0,0
12.5,0.834,0.834,0.836,4.19,0,0,0
14.5,0.826,0.826,0.828,4.85,0,0,0
16.5,0.818,0.818,0.82,5.61,0,0,0
18.5,0.81,0.809,0.812,6.5,0,0,0
20.5,0.802,0.803,0.804,7.53,0,0,0
22.5,0.794,0.794,0.796,8.72,0,0,0
24.5,0.787,0.786,0.788,10.1,0,0,0
26.5,0.779,0.779,0.78,11.7,0,0,0
28.5,0.771,0.772,0.773,13.5,0,0,0
32.5,0.756,0.757,0.759,15.7,0,0,0
36.5,0.742,0.743,0.745,18.2,0,0,0
40.5,0.728,0.729,0.731,21,0,0,0
44.5,0.715,0.715,0.718,24.4,0,0,0.099
48.5,0.702,0.702,0.704,28.2,0,0,0.488
52.5,0.688,0.689,0.691,32.7,0,0,0.94
56.5,0.676,0.676,0.678,37.8,0.204,0.121,1.24
60.5,0.664,0.664,0.666,43.8,0.887,0.719,1.34
68.5,0.639,0.64,0.642,50.7,2.01,1.8,1.42
76.5,0.617,0.618,0.619,58.8,3.39,3.19,1.69
