X Lag Time,Record 1: PBS_00mg_PS2_025ug_300rpm_20-00min_ST_No1_230922 1,Record 2: PBS_00mg_PS2_025ug_300rpm_20-00min_ST_No1_230922 2,Record 3: PBS_00mg_PS2_025ug_300rpm_20-00min_ST_No1_230922 3,X Intensity,Record 1: PBS_00mg_PS2_025ug_300rpm_20-00min_ST_No1_230922 1,Record 2: PBS_00mg_PS2_025ug_300rpm_20-00min_ST_No1_230922 2,Record 3: PBS_00mg_PS2_025ug_300rpm_20-00min_ST_No1_230922 3
0.5,0.913,0.918,0.919,0.4,0,0,0
1,0.919,0.923,0.923,0.463,0,0,0
1.5,0.914,0.918,0.919,0.536,0,0,0
2,0.913,0.916,0.916,0.621,0,0,0
2.5,0.909,0.915,0.915,0.719,0,0,0
3,0.908,0.911,0.912,0.833,0,0,0
3.5,0.906,0.909,0.91,0.965,0,0,0
4,0.902,0.907,0.908,1.12,0,0,0
4.5,0.9,0.905,0.906,1.29,0,0,0
5.5,0.896,0.899,0.9,1.5,0,0,0
6.5,0.892,0.894,0.893,1.74,0,0,0
7.5,0.885,0.889,0.888,2.01,0,0,0
8.5,0.88,0.884,0.883,2.33,0,0,0
9.5,0.875,0.879,0.88,2.7,0,0,0
10.5,0.871,0.874,0.874,3.12,0,0,0
11.5,0.865,0.87,0.869,3.62,0,0,0
12.5,0.86,0.865,0.865,4.19,0,0,0
14.5,0.851,0.855,0.854,4.85,0,0,0
16.5,0.841,0.844,0.846,5.61,0,0,0
18.5,0.832,0.836,0.836,6.5,0,0,0
20.5,0.823,0.826,0.826,7.53,0,0,0
22.5,0.813,0.816,0.818,8.72,0,0,0
24.5,0.804,0.808,0.808,10.1,0,0,0
26.5,0.795,0.799,0.799,11.7,0,0,0
28.5,0.786,0.79,0.791,13.5,0,0,0
32.5,0.768,0.772,0.774,15.7,0,0,0
36.5,0.751,0.755,0.756,18.2,0,0,0
40.5,0.735,0.738,0.74,21,0,0,0
44.5,0.719,0.723,0.724,24.4,0,0,0
48.5,0.702,0.705,0.708,28.2,0,0,0
52.5,0.687,0.691,0.693,32.7,0,0,0
56.5,0.672,0.675,0.677,37.8,0,0,0
60.5,0.657,0.661,0.663,43.8,0.402,0.418,0.545
68.5,0.629,0.633,0.635,50.7,1.69,1.54,1.77
76.5,0.602,0.606,0.608,58.8,3.67,3.25,3.49
84.5,0.576,0.58,0.582,68.1,5.92,5.3,5.43
92.5,0.552,0.556,0.557,78.8,8.05,7.4,7.33
101,0.529,0.532,0.534,91.3,9.73,9.27,8.97
109,0.506,0.51,0.512,106,10.8,10.7,10.2
117,0.486,0.489,0.49,122,11.2,11.5,10.8
125,0.466,0.468,0.47,142,10.8,11.5,10.9
141,0.429,0.431,0.433,164,9.93,10.8,10.3
157,0.395,0.397,0.399,190,8.56,9.41,9.14
173,0.363,0.365,0.368,220,6.91,7.55,7.59
189,0.335,0.336,0.339,255,5.17,5.48,5.81
205,0.309,0.31,0.313,295,3.53,3.46,4
221,0.285,0.286,0.29,342,2.12,1.78,2.37
237,0.264,0.264,0.268,396,1.05,0.634,1.11
253,0.244,0.244,0.248,459,0.375,0.0835,0.319
285,0.209,0.209,0.212,531,0.061,0,0
317,0.179,0.179,0.183,615,0,0,0
349,0.154,0.154,0.158,712,0,0,0
381,0.133,0.133,0.136,825,0,0,0
413,0.115,0.115,0.118,955,0,0,0
445,0.1,0.0988,0.101,1.11E+03,0,0,0
477,0.0873,0.0853,0.0876,1.28E+03,0,0,0
509,0.0769,0.0744,0.0767,1.48E+03,0,0,0
573,0.0593,0.0563,0.0592,1.72E+03,0,0,0
637,0.0457,0.043,0.046,1.99E+03,0,0,0
701,0.0353,0.0324,0.0355,2.30E+03,0,0,0
765,0.0276,0.0248,0.0279,2.67E+03,0,0,0
829,0.0219,0.0194,0.0217,3.09E+03,0,0,0
893,0.018,0.0151,0.0171,3.58E+03,0,0,0
957,0.0146,0.0121,0.0134,4.15E+03,0,0,0
1.02E+03,0.0124,0.01,0.0102,4.80E+03,0,0,0
1.15E+03,0.00927,0.00729,0.00574,5.56E+03,0,0,0
1.28E+03,0.00756,0.00595,0.00407,6.44E+03,0,0,0
1.40E+03,0.00643,0.00453,0.00267,7.46E+03,0,0,0
1.53E+03,0.00425,0.00414,0.002,8.63E+03,0,0,0
1.66E+03,0.00419,0.00502,0.00221,,,,
1.79E+03,0.00393,0.00424,0.00278,,,,
1.92E+03,0.00294,0.00362,0.0025,,,,
2.04E+03,0.00268,0.00262,0.00263,,,,
2.30E+03,0.00198,0.00326,0.00322,,,,
2.56E+03,0.00277,0.00433,0.00316,,,,
2.81E+03,0.00288,0.00366,0.00302,,,,
3.07E+03,0.00219,0.00341,0.00331,,,,
3.32E+03,0.00173,0.00201,0.00375,,,,
3.58E+03,0.000785,0.00223,0.00306,,,,
3.84E+03,0.00139,0.00161,0.0025,,,,
4.09E+03,0.00115,0.00169,0.00283,,,,
4.60E+03,0.002,0.00197,0.00152,,,,
5.12E+03,0.00182,0.00232,0.00364,,,,
5.63E+03,0.00325,0.003,0.00326,,,,
6.14E+03,0.00123,0.00142,0.00218,,,,
6.65E+03,0.00321,0.000358,0.00292,,,,
7.16E+03,0.00278,0.00231,0.00318,,,,
7.68E+03,0.00236,0.00353,0.00198,,,,
8.19E+03,0.00196,0.00146,0.00159,,,,
9.21E+03,0.000591,0.00108,0.000939,,,,
1.02E+04,0.00112,0.00204,0.000868,,,,
1.13E+04,0.00164,0.00206,0.000679,,,,
1.23E+04,0.00251,0.000798,0.00147,,,,
1.33E+04,0.00151,0.00155,0.00194,,,,
1.43E+04,0.00144,0.00235,0.00132,,,,
1.54E+04,0.00159,0.00201,0.00163,,,,
1.64E+04,0.000757,0.000561,3.94E-05,,,,
1.84E+04,6.41E-05,0.000854,0.00136,,,,
2.05E+04,0.000885,0.00134,0.00131,,,,
2.25E+04,0.00108,0.00185,0.00278,,,,
2.46E+04,0.00122,0.00121,0.00322,,,,
2.66E+04,0.000431,0.00166,0.00179,,,,
2.87E+04,0.000351,0.000861,0.00323,,,,
3.07E+04,0.00173,0.00169,0.00238,,,,
3.28E+04,0.00213,0.00153,0.00164,,,,
