X Lag Time,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_PM_No1_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_PM_No1_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_PM_No1_230921 3,X Intensity,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_PM_No1_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_PM_No1_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_PM_No1_230921 3
0.5,0.826,0.839,0.861,0.4,0,0,0
1,0.83,0.845,0.87,0.463,0,0,0
1.5,0.831,0.844,0.867,0.536,0,0,0
2,0.829,0.844,0.868,0.621,0,0,0
2.5,0.828,0.844,0.868,0.719,0,0,0
3,0.826,0.839,0.866,0.833,0,0,0
3.5,0.823,0.841,0.865,0.965,0,0,0
4,0.827,0.841,0.865,1.12,0,0,0
4.5,0.825,0.84,0.863,1.29,0,0,0
5.5,0.825,0.837,0.862,1.5,0,0,0
6.5,0.822,0.837,0.862,1.74,0,0,0
7.5,0.821,0.834,0.859,2.01,0,0,0
8.5,0.819,0.833,0.856,2.33,0,0,0
9.5,0.818,0.833,0.856,2.7,0,0,0
10.5,0.814,0.831,0.856,3.12,0,0,0
11.5,0.813,0.83,0.853,3.62,0,0,0
12.5,0.813,0.827,0.852,4.19,0,0,0
14.5,0.811,0.824,0.848,4.85,0,0,0
16.5,0.807,0.822,0.845,5.61,0,0,0
18.5,0.804,0.818,0.842,6.5,0,0,0
20.5,0.802,0.814,0.84,7.53,0,0,0
22.5,0.799,0.812,0.836,8.72,0,0,0
24.5,0.795,0.808,0.834,10.1,0,0,0
26.5,0.79,0.806,0.831,11.7,0,0,0
28.5,0.788,0.803,0.828,13.5,0,0,0
32.5,0.784,0.797,0.823,15.7,0,0,0
36.5,0.779,0.791,0.817,18.2,0,0,0
40.5,0.773,0.786,0.811,21,0,0,0
44.5,0.767,0.78,0.806,24.4,0,0,0
48.5,0.762,0.775,0.801,28.2,0,0,0
52.5,0.757,0.769,0.795,32.7,0,0,1.64
56.5,0.751,0.765,0.79,37.8,0.711,1.98,3.77
60.5,0.746,0.759,0.785,43.8,3.6,4.43,2.26
68.5,0.737,0.748,0.775,50.7,3.95,3.09,0
76.5,0.728,0.739,0.766,58.8,1.42,0,0
84.5,0.719,0.729,0.757,68.1,0,0,0
92.5,0.71,0.72,0.748,78.8,0,0,0
101,0.701,0.71,0.739,91.3,0,0,0
109,0.693,0.702,0.731,106,0,0,0
117,0.684,0.694,0.723,122,0,0,0
125,0.676,0.686,0.715,142,0,0,0
141,0.66,0.67,0.699,164,0,0,0
157,0.645,0.655,0.685,190,0,0,0
173,0.631,0.64,0.671,220,0,5.87,4.17
189,0.618,0.627,0.657,255,6.79,20,20.6
205,0.605,0.614,0.644,295,18.8,29.5,32.2
221,0.592,0.601,0.632,342,26.7,24.9,26.3
237,0.581,0.589,0.62,396,24,10.2,9.06
253,0.57,0.578,0.609,459,12.5,0,0
285,0.549,0.556,0.588,531,1.53,0,0
317,0.53,0.536,0.568,615,0,0,0
349,0.512,0.518,0.55,712,0,0,0
381,0.495,0.5,0.533,825,0,0,0
413,0.479,0.484,0.516,955,0,0,0
445,0.464,0.469,0.501,1.11E+03,0,0,0
477,0.45,0.455,0.487,1.28E+03,0,0,0
509,0.437,0.443,0.474,1.48E+03,0,0,0
573,0.413,0.419,0.449,1.72E+03,0,0,0
637,0.391,0.397,0.427,1.99E+03,0,0,0
701,0.371,0.377,0.407,2.30E+03,0,0,0
765,0.352,0.36,0.389,2.67E+03,0,0,0
829,0.335,0.344,0.371,3.09E+03,0,0,0
893,0.32,0.329,0.356,3.58E+03,0,0,0
957,0.305,0.316,0.341,4.15E+03,0,0,0
1.02E+03,0.292,0.303,0.328,4.80E+03,0,0,0
1.15E+03,0.269,0.28,0.304,5.56E+03,0,0,0
1.28E+03,0.249,0.26,0.282,6.44E+03,0,0,0
1.40E+03,0.231,0.242,0.263,7.46E+03,0,0,0
1.53E+03,0.215,0.227,0.247,8.63E+03,0,0,0
1.66E+03,0.201,0.213,0.231,,,,
1.79E+03,0.189,0.202,0.219,,,,
1.92E+03,0.178,0.192,0.207,,,,
2.04E+03,0.17,0.183,0.198,,,,
2.30E+03,0.155,0.166,0.181,,,,
2.56E+03,0.14,0.154,0.167,,,,
2.81E+03,0.131,0.144,0.157,,,,
3.07E+03,0.123,0.135,0.149,,,,
3.32E+03,0.117,0.129,0.142,,,,
3.58E+03,0.113,0.125,0.137,,,,
3.84E+03,0.11,0.123,0.133,,,,
4.09E+03,0.109,0.119,0.13,,,,
4.60E+03,0.107,0.114,0.125,,,,
5.12E+03,0.104,0.112,0.12,,,,
5.63E+03,0.103,0.109,0.119,,,,
6.14E+03,0.102,0.109,0.117,,,,
6.65E+03,0.101,0.109,0.116,,,,
7.16E+03,0.0994,0.108,0.116,,,,
7.68E+03,0.098,0.107,0.116,,,,
8.19E+03,0.0964,0.108,0.116,,,,
9.21E+03,0.0944,0.109,0.114,,,,
1.02E+04,0.0908,0.108,0.114,,,,
1.13E+04,0.0902,0.108,0.112,,,,
1.23E+04,0.0889,0.103,0.109,,,,
1.33E+04,0.0917,0.1,0.106,,,,
1.43E+04,0.0928,0.0984,0.103,,,,
1.54E+04,0.0933,0.1,0.103,,,,
1.64E+04,0.0908,0.0987,0.102,,,,
1.84E+04,0.088,0.0948,0.101,,,,
2.05E+04,0.0855,0.0913,0.0949,,,,
2.25E+04,0.08,0.0903,0.0892,,,,
2.46E+04,0.0794,0.0857,0.0861,,,,
2.66E+04,0.0769,0.0847,0.0845,,,,
2.87E+04,0.0748,0.0836,0.0842,,,,
3.07E+04,0.0705,0.081,0.0823,,,,
3.28E+04,0.0703,0.0792,0.078,,,,
3.69E+04,0.0704,0.0772,0.0696,,,,
4.10E+04,0.0703,0.0721,0.0633,,,,
4.51E+04,0.071,0.068,0.0541,,,,
4.91E+04,0.0688,0.062,0.0466,,,,
5.32E+04,0.0695,0.0587,0.0451,,,,
5.73E+04,0.0696,0.0561,0.0419,,,,
6.14E+04,0.0628,0.055,0.0343,,,,
6.55E+04,0.0585,0.0519,0.029,,,,
7.37E+04,0.0569,0.0461,0.0209,,,,
8.19E+04,0.0551,0.0438,0.0156,,,,
9.01E+04,0.0509,0.0347,0.0113,,,,
9.83E+04,0.0448,0.0302,0.0117,,,,
1.06E+05,0.0436,0.0276,0.00872,,,,
1.15E+05,0.0436,0.0246,0.00856,,,,
1.23E+05,0.0432,0.0242,0.00772,,,,
1.31E+05,0.0411,0.021,0.00675,,,,
1.47E+05,0.0313,0.0162,0.00725,,,,
1.64E+05,0.0289,0.0145,0.00427,,,,
1.80E+05,0.0283,0.0123,0.00499,,,,
1.97E+05,0.0251,0.0082,0.00341,,,,
2.13E+05,0.0185,0.0073,0.00308,,,,
2.29E+05,0.016,0.00605,0.00465,,,,
2.46E+05,0.0152,0.00438,0.00501,,,,
2.62E+05,0.0118,0.00443,0.00446,,,,
2.95E+05,0.00952,0.00417,0.00296,,,,
3.28E+05,0.00593,0.000581,0.00253,,,,
3.60E+05,0.00366,0.000294,0.00325,,,,
3.93E+05,0.00185,0.000289,0.00493,,,,
4.26E+05,0.00264,0.00296,0.00642,,,,
4.59E+05,0.00293,0.00238,0.00699,,,,
4.92E+05,0.00433,0.00243,0.0041,,,,
5.24E+05,0.00344,0.00258,0.00334,,,,
5.90E+05,0.00176,0.00442,0.00481,,,,
6.55E+05,0.00352,0.00874,0.0035,,,,
7.21E+05,0.00518,0.0085,0.00402,,,,
7.86E+05,0.00445,0.00691,0.0124,,,,
8.52E+05,0.0035,0.00562,0.0104,,,,
9.18E+05,0.00335,0.00435,0.00617,,,,
9.83E+05,0.00295,0.00518,0.00206,,,,
1.05E+06,0.00222,0.00782,0.00336,,,,
1.18E+06,0.000159,0.00755,0.00282,,,,
1.31E+06,0.000325,0.00915,0.003,,,,
