X Lag Time,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No2_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No2_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No2_230919 3,X Intensity,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No2_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No2_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No2_230919 3
0.5,0.55,0.56,0.551,0.4,0,0,0
1,0.535,0.542,0.539,0.463,0,0,0
1.5,0.513,0.526,0.522,0.536,0,0,0
2,0.498,0.505,0.506,0.621,0,0,0
2.5,0.48,0.496,0.492,0.719,0,0,0
3,0.467,0.48,0.475,0.833,0,0,0
3.5,0.453,0.465,0.465,0.965,0,0,0
4,0.44,0.452,0.448,1.12,0,0,0
4.5,0.428,0.439,0.44,1.29,0,0,0
5.5,0.406,0.414,0.417,1.5,0,0,0
6.5,0.383,0.396,0.397,1.74,0,0,0
7.5,0.36,0.374,0.377,2.01,0,0,0
8.5,0.341,0.354,0.36,2.33,0,0,0
9.5,0.326,0.335,0.341,2.7,0,0,0
10.5,0.308,0.323,0.326,3.12,0,0,0
11.5,0.293,0.303,0.312,3.62,0,0,0
12.5,0.278,0.29,0.296,4.19,0,0,0
14.5,0.251,0.263,0.268,4.85,0.748,0.836,0
16.5,0.225,0.238,0.244,5.61,3.31,3.01,1.72
18.5,0.205,0.218,0.223,6.5,7.11,6.14,5.22
20.5,0.188,0.197,0.205,7.53,10.9,9.42,9.33
22.5,0.17,0.182,0.188,8.72,13.6,12,12.7
24.5,0.157,0.166,0.173,10.1,14.4,13.1,14.2
26.5,0.144,0.154,0.158,11.7,13.1,12.6,13.6
28.5,0.132,0.141,0.147,13.5,10.3,10.5,11.1
32.5,0.111,0.12,0.127,15.7,6.68,7.53,7.48
36.5,0.0958,0.105,0.11,18.2,3.32,4.38,3.86
40.5,0.0823,0.0904,0.0951,21,0.978,1.82,1.2
44.5,0.0732,0.0795,0.0852,24.4,0,0.366,0
48.5,0.0643,0.0693,0.0767,28.2,0,0,0
52.5,0.0577,0.0617,0.0678,32.7,0,0,0
56.5,0.0509,0.0565,0.0615,37.8,0,0,0
60.5,0.0459,0.0521,0.0557,43.8,0,0,0
68.5,0.0393,0.0432,0.0473,50.7,0,0,0
76.5,0.034,0.0382,0.0408,58.8,0,0,0
84.5,0.0295,0.0333,0.0357,68.1,0,0,0
92.5,0.0272,0.0293,0.0343,78.8,0,0,0
101,0.026,0.0277,0.0307,91.3,0,0,0
109,0.0249,0.0266,0.0289,106,0,0,0
117,0.0232,0.0248,0.0278,122,0,0,0
125,0.0225,0.024,0.0271,142,0,0,0
141,0.0212,0.0223,0.0244,164,0.0796,0,0
157,0.0188,0.0214,0.023,190,0.317,0.107,0.0872
173,0.0183,0.0202,0.0219,220,0.684,0.375,0.356
189,0.0171,0.0196,0.022,255,1.1,0.775,0.786
205,0.0167,0.0186,0.0206,295,1.49,1.24,1.3
221,0.0164,0.0182,0.0195,342,1.76,1.67,1.79
237,0.0161,0.0174,0.0187,396,1.87,2.02,2.18
253,0.0156,0.0166,0.0186,459,1.81,2.21,2.4
285,0.014,0.0148,0.0175,531,1.59,2.24,2.44
317,0.0136,0.0147,0.0159,615,1.27,2.11,2.29
349,0.0127,0.0127,0.0147,712,0.9,1.84,1.98
381,0.012,0.0117,0.0138,825,0.544,1.48,1.58
413,0.0116,0.0116,0.0133,955,0.257,1.08,1.14
445,0.0104,0.0107,0.0126,1.11E+03,0.0743,0.692,0.717
477,0.01,0.0104,0.0118,1.28E+03,0,0.372,0.375
509,0.00952,0.0097,0.0112,1.48E+03,0,0.149,0.142
573,0.00933,0.00881,0.0106,1.72E+03,0,0.0313,0.0263
637,0.00809,0.00754,0.00851,1.99E+03,0,0,0
701,0.00734,0.0069,0.00788,2.30E+03,0,0,0
765,0.00709,0.00658,0.00699,2.67E+03,0.00495,0,0
829,0.0062,0.00514,0.00599,3.09E+03,0.0655,0,0
893,0.00596,0.00478,0.00603,3.58E+03,0.193,0,0
957,0.00541,0.00431,0.00565,4.15E+03,0.37,0,0
1.02E+03,0.0053,0.0044,0.00438,4.80E+03,0.555,0,0
1.15E+03,0.00498,0.00353,0.00408,5.56E+03,0.698,0,0
1.28E+03,0.00419,0.00356,0.00387,6.44E+03,0,0,0
1.40E+03,0.00484,0.00303,0.00342,7.46E+03,0,0,0
1.53E+03,0.00386,0.00268,0.00346,8.63E+03,0,0,0
1.66E+03,0.00425,0.00272,0.0031,,,,
1.79E+03,0.00439,0.0024,0.0035,,,,
1.92E+03,0.00397,0.00242,0.00325,,,,
2.04E+03,0.00431,0.00264,0.00303,,,,
2.30E+03,0.00421,0.00283,0.00299,,,,
2.56E+03,0.00426,0.00273,0.00306,,,,
2.81E+03,0.00417,0.00285,0.00306,,,,
3.07E+03,0.00442,0.0027,0.00317,,,,
3.32E+03,0.00457,0.00265,0.00252,,,,
3.58E+03,0.00402,0.00261,0.00305,,,,
3.84E+03,0.00401,0.00244,0.00296,,,,
4.09E+03,0.00429,0.00304,0.00275,,,,
4.60E+03,0.00401,0.00272,0.00308,,,,
5.12E+03,0.00375,0.00258,0.00308,,,,
5.63E+03,0.0039,0.00223,0.00268,,,,
6.14E+03,0.00396,0.00225,0.00316,,,,
6.65E+03,0.00397,0.00233,0.00267,,,,
7.16E+03,0.0045,0.00266,0.00293,,,,
7.68E+03,0.00401,0.00272,0.00314,,,,
8.19E+03,0.00399,0.00279,0.00326,,,,
9.21E+03,0.00397,0.0026,0.00322,,,,
1.02E+04,0.00409,0.00271,0.00283,,,,
1.13E+04,0.00408,0.00242,0.00296,,,,
1.23E+04,0.00375,0.00247,0.00296,,,,
1.33E+04,0.00398,0.00242,0.0028,,,,
1.43E+04,0.00385,0.00283,0.00294,,,,
1.54E+04,0.00378,0.00291,0.00268,,,,
1.64E+04,0.0039,0.00243,0.00241,,,,
1.84E+04,0.00383,0.0025,0.00281,,,,
2.05E+04,0.00394,0.00251,0.00282,,,,
2.25E+04,0.00378,0.00254,0.00259,,,,
2.46E+04,0.00356,0.00253,0.00273,,,,
2.66E+04,0.00349,0.00245,0.00285,,,,
2.87E+04,0.00349,0.00252,0.003,,,,
3.07E+04,0.00356,0.00277,0.00281,,,,
3.28E+04,0.00371,0.00258,0.00259,,,,
3.69E+04,0.00366,0.00264,0.00284,,,,
4.10E+04,0.00355,0.00244,0.0026,,,,
4.51E+04,0.00368,0.00237,0.00272,,,,
4.91E+04,0.00355,0.00255,0.00273,,,,
5.32E+04,0.00357,0.00257,0.00271,,,,
5.73E+04,0.00361,0.00257,0.0026,,,,
6.14E+04,0.00349,0.00247,0.00273,,,,
6.55E+04,0.00356,0.00244,0.00265,,,,
7.37E+04,0.00348,0.00223,0.00256,,,,
8.19E+04,0.00336,0.00223,0.00246,,,,
9.01E+04,0.00332,0.00223,0.00234,,,,
9.83E+04,0.00326,0.00216,0.00243,,,,
1.06E+05,0.00305,0.00213,0.00245,,,,
1.15E+05,0.00316,0.00214,0.0024,,,,
1.23E+05,0.00296,0.00214,0.00232,,,,
1.31E+05,0.00292,0.00196,0.00201,,,,
1.47E+05,0.00278,0.00206,0.00201,,,,
1.64E+05,0.00255,0.00191,0.00195,,,,
1.80E+05,0.00236,0.00189,0.00203,,,,
1.97E+05,0.00228,0.00177,0.00167,,,,
2.13E+05,0.00216,0.00184,0.00174,,,,
2.29E+05,0.00197,0.0017,0.00175,,,,
2.46E+05,0.00181,0.0017,0.00164,,,,
2.62E+05,0.00193,0.00163,0.00159,,,,
2.95E+05,0.00181,0.00148,0.00151,,,,
3.28E+05,0.00166,0.00148,0.00162,,,,
3.60E+05,0.00155,0.00136,0.00154,,,,
3.93E+05,0.00147,0.00126,0.00154,,,,
