X Lag Time,Record 4: EVs_3e10_300rpm_02-00min_ST_No1_230911 1,Record 5: EVs_3e10_300rpm_02-00min_ST_No1_230911 2,Record 6: EVs_3e10_300rpm_02-00min_ST_No1_230911 3,X Intensity,Record 4: EVs_3e10_300rpm_02-00min_ST_No1_230911 1,Record 5: EVs_3e10_300rpm_02-00min_ST_No1_230911 2,Record 6: EVs_3e10_300rpm_02-00min_ST_No1_230911 3
0.5,0.803,0.806,0.831,0.4,0,0,0
1,0.809,0.814,0.838,0.463,0,0,0
1.5,0.808,0.811,0.837,0.536,0,0,0
2,0.808,0.807,0.837,0.621,0,0,0
2.5,0.806,0.812,0.835,0.719,0,0,0
3,0.807,0.81,0.833,0.833,0,0,0
3.5,0.807,0.809,0.834,0.965,0,0,0
4,0.807,0.808,0.833,1.12,0,0,0
4.5,0.807,0.808,0.833,1.29,0,0,0
5.5,0.804,0.807,0.832,1.5,0,0,0
6.5,0.804,0.805,0.831,1.74,0,0,0
7.5,0.804,0.804,0.828,2.01,0,0,0
8.5,0.802,0.802,0.828,2.33,0,0,0
9.5,0.799,0.801,0.828,2.7,0,0,0
10.5,0.798,0.8,0.826,3.12,0,0,0
11.5,0.796,0.799,0.825,3.62,0,0,0
12.5,0.796,0.797,0.823,4.19,0,0,0
14.5,0.794,0.795,0.822,4.85,0,0,0
16.5,0.791,0.793,0.819,5.61,0,0,0
18.5,0.79,0.789,0.818,6.5,0,0,0
20.5,0.787,0.786,0.816,7.53,0,0,0
22.5,0.785,0.785,0.815,8.72,0,0,0
24.5,0.783,0.782,0.811,10.1,0,0,0
26.5,0.781,0.779,0.809,11.7,0,0,0
28.5,0.777,0.776,0.807,13.5,0,0,0
32.5,0.774,0.772,0.803,15.7,0,0,0
36.5,0.77,0.767,0.799,18.2,0,0,0
40.5,0.765,0.762,0.794,21,0,0,0
44.5,0.762,0.757,0.791,24.4,0,0,0
48.5,0.758,0.753,0.787,28.2,0,0,0
52.5,0.753,0.748,0.783,32.7,0,0,0
56.5,0.749,0.744,0.779,37.8,0,0.385,0
60.5,0.745,0.74,0.775,43.8,0,2.22,1.41
68.5,0.737,0.731,0.768,50.7,0,3.13,4.41
76.5,0.73,0.723,0.761,58.8,0.162,2.08,3.61
84.5,0.722,0.715,0.754,68.1,1.99,0.372,0.213
92.5,0.715,0.706,0.747,78.8,4.47,0,0
101,0.709,0.699,0.741,91.3,5.94,0,0
109,0.702,0.691,0.734,106,5.45,0,0
117,0.695,0.684,0.728,122,3.33,0,0
125,0.689,0.677,0.722,142,1.04,0,0
141,0.676,0.663,0.71,164,0,1.98,0
157,0.664,0.65,0.698,190,0,10.2,0
173,0.653,0.637,0.687,220,0,20.6,10.6
189,0.642,0.625,0.676,255,0,25.9,27.9
