Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.822222222222221300e-01,7.207249436813224254e-03
1.000000000000000000e+00,8.876666666666666039e-01,7.035623639735150668e-03
1.500000000000000000e+00,8.864444444444443683e-01,7.434902674398493824e-03
2.000000000000000000e+00,8.839999999999998970e-01,7.348469228349540500e-03
2.500000000000000000e+00,8.831111111111110690e-01,7.253351715662988836e-03
3.000000000000000000e+00,8.815555555555555367e-01,6.672913739722540101e-03
3.500000000000000000e+00,8.803333333333333011e-01,6.284902544988273457e-03
4.000000000000000000e+00,8.788888888888889417e-01,6.372684764768392698e-03
4.500000000000000000e+00,8.767777777777777670e-01,6.833333333333339692e-03
5.500000000000000000e+00,8.739999999999999991e-01,5.937171043518964242e-03
6.500000000000000000e+00,8.706666666666666998e-01,6.244997998398403409e-03
7.500000000000000000e+00,8.677777777777777590e-01,6.437735971942660888e-03
8.500000000000000000e+00,8.642222222222222250e-01,6.591239977761734897e-03
9.500000000000000000e+00,8.617777777777777537e-01,7.067138349038068999e-03
1.050000000000000000e+01,8.585555555555555163e-01,7.666666666666674054e-03
1.150000000000000000e+01,8.551111111111110441e-01,7.959969290839708986e-03
1.250000000000000000e+01,8.521111111111110414e-01,8.328331832432665782e-03
1.450000000000000000e+01,8.458888888888888014e-01,8.823894327966040271e-03
1.650000000000000000e+01,8.396666666666666723e-01,9.669539802906867293e-03
1.850000000000000000e+01,8.335555555555554941e-01,1.045360118704449087e-02
2.050000000000000000e+01,8.274444444444444269e-01,1.208419537154944642e-02
2.250000000000000000e+01,8.216666666666666563e-01,1.311487704860395988e-02
2.450000000000000000e+01,8.161111111111111205e-01,1.404852700859096984e-02
2.650000000000000000e+01,8.099999999999999423e-01,1.489127261183538845e-02
2.850000000000000000e+01,8.043333333333334556e-01,1.585875152715367567e-02
3.250000000000000000e+01,7.931111111111111001e-01,1.837419688343171209e-02
3.650000000000000000e+01,7.815555555555556699e-01,2.019350830781463033e-02
4.050000000000000000e+01,7.708888888888889568e-01,2.246355072358579771e-02
4.450000000000000000e+01,7.598888888888889470e-01,2.445631025136687023e-02
4.850000000000000000e+01,7.493333333333332957e-01,2.654241887997402238e-02
5.250000000000000000e+01,7.388888888888888173e-01,2.852825110502065983e-02
5.650000000000000000e+01,7.289999999999999813e-01,3.010398644698074333e-02
6.050000000000000000e+01,7.191111111111110343e-01,3.227012722489809582e-02
6.850000000000000000e+01,6.993333333333331403e-01,3.551056180912938454e-02
7.650000000000000000e+01,6.804444444444444073e-01,3.871082248903756629e-02
8.450000000000000000e+01,6.623333333333332185e-01,4.175823272122516222e-02
9.250000000000000000e+01,6.447777777777777830e-01,4.446003198879243390e-02
1.010000000000000000e+02,6.278888888888889408e-01,4.714987922689850564e-02
1.090000000000000000e+02,6.113333333333333952e-01,4.980963762164907632e-02
1.170000000000000000e+02,5.955555555555556158e-01,5.179553820337980813e-02
1.250000000000000000e+02,5.802222222222223058e-01,5.396475187049824124e-02
1.410000000000000000e+02,5.512222222222221690e-01,5.784413924024148224e-02
1.570000000000000000e+02,5.238888888888888484e-01,6.120548268832710914e-02
1.730000000000000000e+02,4.984444444444444122e-01,6.385160747998266939e-02
1.890000000000000000e+02,4.745555555555555638e-01,6.634589495799855796e-02
2.050000000000000000e+02,4.521111111111111303e-01,6.859745703093600433e-02
2.210000000000000000e+02,4.311111111111111671e-01,7.024678719422768058e-02
2.370000000000000000e+02,4.113333333333333841e-01,7.173562573784381113e-02
2.530000000000000000e+02,3.926666666666667194e-01,7.258615570478987866e-02
2.850000000000000000e+02,3.589999999999999858e-01,7.406247362868728645e-02
3.170000000000000000e+02,3.287777777777777244e-01,7.427950218226050949e-02
3.490000000000000000e+02,3.020000000000000462e-01,7.453187237685633681e-02
3.810000000000000000e+02,2.783333333333332660e-01,7.395099728874519884e-02
4.130000000000000000e+02,2.566666666666666541e-01,7.280109889280518554e-02
4.450000000000000000e+02,2.376666666666666372e-01,7.162227307199905968e-02
4.770000000000000000e+02,2.206666666666666499e-01,7.024243731534376978e-02
5.090000000000000000e+02,2.056666666666666643e-01,6.872954241081487281e-02
5.730000000000000000e+02,1.793000000000000149e-01,6.556893319248072172e-02
6.370000000000000000e+02,1.575777777777777611e-01,6.213543227856746509e-02
7.010000000000000000e+02,1.393333333333333368e-01,5.848241188596790124e-02
7.650000000000000000e+02,1.244555555555555415e-01,5.496651505942301563e-02
8.290000000000000000e+02,1.118111111111111389e-01,5.189801162964830655e-02
8.930000000000000000e+02,1.009000000000000175e-01,4.920492861492636871e-02
9.570000000000000000e+02,9.151111111111111251e-02,4.634793534895714773e-02
1.020000000000000000e+03,8.392222222222221750e-02,4.394259828963741066e-02
1.150000000000000000e+03,7.091111111111111920e-02,3.967513214988843684e-02
1.280000000000000000e+03,6.098888888888889803e-02,3.551413255467618380e-02
1.400000000000000000e+03,5.336555555555556191e-02,3.216175411537402357e-02
1.530000000000000000e+03,4.723444444444443308e-02,2.983213330919828182e-02
1.660000000000000000e+03,4.241333333333333760e-02,2.762582080228567771e-02
1.790000000000000000e+03,3.847222222222222709e-02,2.541270832564770932e-02
1.920000000000000000e+03,3.556444444444444020e-02,2.327877257884911760e-02
2.040000000000000000e+03,3.307666666666666394e-02,2.175165396010151492e-02
2.300000000000000000e+03,2.869888888888889183e-02,1.897763449724730947e-02
2.560000000000000000e+03,2.508111111111110958e-02,1.662897955711988701e-02
2.810000000000000000e+03,2.246666666666666257e-02,1.438071017022455461e-02
3.070000000000000000e+03,2.045111111111111435e-02,1.285982060960070769e-02
3.320000000000000000e+03,1.865444444444444225e-02,1.205586901794216542e-02
3.580000000000000000e+03,1.783444444444444443e-02,1.153444093910830845e-02
3.840000000000000000e+03,1.732444444444444440e-02,1.096638968748501856e-02
4.090000000000000000e+03,1.643222222222222306e-02,1.067414607565609665e-02
4.600000000000000000e+03,1.515888888888888841e-02,9.562117239979392447e-03
5.120000000000000000e+03,1.391222222222222166e-02,8.849881041259506642e-03
5.630000000000000000e+03,1.267033333333333206e-02,8.171601954329395581e-03
6.140000000000000000e+03,1.223777777777777624e-02,7.505662492041887887e-03
6.650000000000000000e+03,1.177222222222222038e-02,7.029206530216937712e-03
7.160000000000000000e+03,1.136444444444444438e-02,7.472782465573166687e-03
7.680000000000000000e+03,1.139111111111110880e-02,7.660805186865875770e-03
8.190000000000000000e+03,1.165555555555555615e-02,7.732984726338063518e-03
9.210000000000000000e+03,1.142888888888888947e-02,7.150838140463753115e-03
1.020000000000000000e+04,1.049444444444444513e-02,6.145606379990323567e-03
1.130000000000000000e+04,1.032044444444444459e-02,7.146471631356119021e-03
1.230000000000000000e+04,9.723333333333332093e-03,5.445518799894092689e-03
1.330000000000000000e+04,8.734444444444445718e-03,5.644242887914886417e-03
1.430000000000000000e+04,8.915555555555556774e-03,5.631119140790557566e-03
1.540000000000000000e+04,8.701555555555557861e-03,5.545228739896829705e-03
1.640000000000000000e+04,8.465888888888889116e-03,5.583815416998587355e-03
1.840000000000000000e+04,8.848000000000001697e-03,5.917957079938988320e-03
2.050000000000000000e+04,9.005555555555554842e-03,6.155771907549676888e-03
2.250000000000000000e+04,8.893333333333332952e-03,6.492651615480380528e-03
2.460000000000000000e+04,8.590888888888889227e-03,6.296553589949910844e-03
2.660000000000000000e+04,7.838888888888888296e-03,5.373384511749657554e-03
2.870000000000000000e+04,8.784000000000000141e-03,5.369614883769598286e-03
3.070000000000000000e+04,7.738333333333333175e-03,5.637542328000740011e-03
3.280000000000000000e+04,8.133333333333332693e-03,5.845502544691945010e-03
3.690000000000000000e+04,8.507999999999999938e-03,5.776860392981640266e-03
4.100000000000000000e+04,7.662222222222223045e-03,5.127696309693510583e-03
4.510000000000000000e+04,8.180444444444445046e-03,5.800571245815172063e-03
4.910000000000000000e+04,7.637777777777778922e-03,4.698068160898099220e-03
5.320000000000000000e+04,7.644444444444444160e-03,4.907530211601124868e-03
5.730000000000000000e+04,7.224333333333332607e-03,4.810817653996044170e-03
6.140000000000000000e+04,7.172222222222222193e-03,4.503184367138928987e-03
6.550000000000000000e+04,7.379999999999999408e-03,4.912270350866287244e-03
7.370000000000000000e+04,7.637555555555554550e-03,4.936881989452227351e-03
8.190000000000000000e+04,6.291333333333332806e-03,4.628966191278566754e-03
9.010000000000000000e+04,5.764222222222222664e-03,4.018358955400132791e-03
9.830000000000000000e+04,5.419999999999999471e-03,3.770924952846449896e-03
1.060000000000000000e+05,6.165000000000000341e-03,4.212343468901841304e-03
1.150000000000000000e+05,5.897777777777777827e-03,4.362650506795661895e-03
1.230000000000000000e+05,6.391111111111111298e-03,4.460763512125599274e-03
1.310000000000000000e+05,5.912877777777779224e-03,4.282154855845879231e-03
1.470000000000000000e+05,5.490000000000000088e-03,3.469996397692654347e-03
1.640000000000000000e+05,5.060777777777776890e-03,3.688897592024539211e-03
1.800000000000000000e+05,4.732000000000000095e-03,3.783766113279202030e-03
1.970000000000000000e+05,4.486666666666666581e-03,2.990940487538994944e-03
2.130000000000000000e+05,4.233888888888887730e-03,3.085401936719284373e-03
2.290000000000000000e+05,4.243777777777777739e-03,2.525654062702262660e-03
2.460000000000000000e+05,3.546777777777777602e-03,3.057575582785230974e-03
2.620000000000000000e+05,3.270333333333332992e-03,2.597716497233676022e-03
2.950000000000000000e+05,2.852000000000000368e-03,1.689689616468066126e-03
3.280000000000000000e+05,2.594111111111111270e-03,2.155450442740707104e-03
3.600000000000000000e+05,2.652555555555555569e-03,1.544817393020216393e-03
3.930000000000000000e+05,2.245777777777777963e-03,1.385148166964258283e-03
4.260000000000000000e+05,2.179666666666666992e-03,1.765612287564854912e-03
4.590000000000000000e+05,2.286333333333332926e-03,1.875966750771452130e-03
4.920000000000000000e+05,2.204000000000000230e-03,1.704461205190660900e-03
5.240000000000000000e+05,1.920444444444444456e-03,1.536694350799070689e-03
5.900000000000000000e+05,2.056666666666666712e-03,1.356907421307732269e-03
6.550000000000000000e+05,1.822888888888888649e-03,1.338342019481982394e-03
7.210000000000000000e+05,1.817111111111111140e-03,1.418329778687280962e-03
7.860000000000000000e+05,1.611999999999999935e-03,1.008186490685131090e-03
8.520000000000000000e+05,1.259000000000000136e-03,8.889313809288093603e-04
9.180000000000000000e+05,1.226666666666666704e-03,6.911636926228112736e-04
9.830000000000000000e+05,1.294777777777777507e-03,6.848373488971263483e-04
1.050000000000000000e+06,1.431177777777777787e-03,9.889519626576635022e-04
1.180000000000000000e+06,1.396666666666666716e-03,7.382167703324003880e-04
1.310000000000000000e+06,1.427888888888888914e-03,7.411808896019318619e-04
1.440000000000000000e+06,1.656777777777777849e-03,1.004802191699661956e-03
1.570000000000000000e+06,1.643333333333333451e-03,8.709081467066431348e-04
1.700000000000000000e+06,1.491666666666666531e-03,8.812268436673953128e-04
1.840000000000000000e+06,1.366888888888888841e-03,8.569646206881070209e-04
1.970000000000000000e+06,1.458322222222222138e-03,1.227270043407091647e-03
2.100000000000000000e+06,1.530555555555555402e-03,9.420662279148837729e-04
2.360000000000000000e+06,1.184444444444444347e-03,8.396033455017779760e-04
2.620000000000000000e+06,1.659777777777777814e-03,1.217472974831246366e-03
2.880000000000000000e+06,1.563000000000000153e-03,1.260895911643780372e-03
3.150000000000000000e+06,1.669333333333333216e-03,1.371270487540660358e-03
3.410000000000000000e+06,1.446888888888889051e-03,1.183571865630098216e-03
3.670000000000000000e+06,1.317444444444444435e-03,1.251372957106624585e-03
3.930000000000000000e+06,1.468999999999999820e-03,1.401673129691798081e-03
4.190000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
4.720000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.240000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.770000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.290000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.820000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
7.340000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
7.860000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
8.390000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
9.440000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.260000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.470000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.570000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.680000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.890000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
2.310000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
2.520000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
2.730000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
2.940000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
3.360000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
3.770000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
4.610000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
5.030000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
5.450000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
5.870000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
