Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.948333333333332584e-01,2.083114931080847290e-02
1.000000000000000000e+00,8.998000000000001553e-01,2.081511387231024107e-02
1.500000000000000000e+00,8.964000000000000856e-01,2.011278543442044514e-02
2.000000000000000000e+00,8.943999999999999728e-01,2.076568787937084840e-02
2.500000000000000000e+00,8.926333333333331677e-01,2.016737435824871374e-02
3.000000000000000000e+00,8.903000000000000913e-01,1.999336096704657298e-02
3.500000000000000000e+00,8.884333333333331861e-01,1.989920000702392541e-02
4.000000000000000000e+00,8.860333333333332284e-01,1.977194692126883063e-02
4.500000000000000000e+00,8.835666666666667224e-01,1.979147035595322721e-02
5.500000000000000000e+00,8.789666666666666739e-01,1.939157892832179750e-02
6.500000000000000000e+00,8.745333333333334958e-01,1.894043900982915474e-02
7.500000000000000000e+00,8.701000000000000956e-01,1.880819703911221913e-02
8.500000000000000000e+00,8.656333333333334767e-01,1.832744942153302636e-02
9.500000000000000000e+00,8.610999999999998655e-01,1.852928716272219528e-02
1.050000000000000000e+01,8.568333333333331137e-01,1.841304510082613505e-02
1.150000000000000000e+01,8.526666666666666838e-01,1.818171368830996670e-02
1.250000000000000000e+01,8.481666666666666243e-01,1.792721555265246181e-02
1.450000000000000000e+01,8.395333333333333536e-01,1.739546776751272478e-02
1.650000000000000000e+01,8.312000000000001609e-01,1.691438889597070977e-02
1.850000000000000000e+01,8.229999999999998428e-01,1.674144145732274838e-02
2.050000000000000000e+01,8.147666666666668611e-01,1.620277399266775026e-02
2.250000000000000000e+01,8.065666666666668760e-01,1.587816399820905777e-02
2.450000000000000000e+01,7.985999999999999766e-01,1.549994438254759591e-02
2.650000000000000000e+01,7.907000000000000695e-01,1.510229487014565219e-02
2.850000000000000000e+01,7.828333333333336030e-01,1.487205974031642793e-02
3.250000000000000000e+01,7.675000000000000711e-01,1.417562259169131804e-02
3.650000000000000000e+01,7.528666666666666840e-01,1.365014420369284852e-02
4.050000000000000000e+01,7.380666666666666487e-01,1.306728827984238346e-02
4.450000000000000000e+01,7.240000000000000879e-01,1.275768868916526792e-02
4.850000000000000000e+01,7.099666666666666348e-01,1.263952021495942483e-02
5.250000000000000000e+01,6.963333333333331376e-01,1.223712083934701961e-02
5.650000000000000000e+01,6.833666666666666778e-01,1.195244408228832329e-02
6.050000000000000000e+01,6.705333333333333146e-01,1.178465786179386417e-02
6.850000000000000000e+01,6.455333333333334034e-01,1.171127759847344872e-02
7.650000000000000000e+01,6.216666666666665897e-01,1.180395413975052731e-02
8.450000000000000000e+01,5.989666666666667583e-01,1.209298267116337873e-02
9.250000000000000000e+01,5.772666666666665947e-01,1.242614966119025971e-02
1.010000000000000000e+02,5.564666666666666650e-01,1.275967066198411062e-02
1.090000000000000000e+02,5.365333333333333066e-01,1.329436835224064029e-02
1.170000000000000000e+02,5.174000000000000821e-01,1.361692658624451616e-02
1.250000000000000000e+02,4.993333333333333512e-01,1.405980657475559142e-02
1.410000000000000000e+02,4.650000000000000244e-01,1.496893334600836109e-02
1.570000000000000000e+02,4.336000000000000965e-01,1.593651197072632614e-02
1.730000000000000000e+02,4.044999999999999152e-01,1.677796173556251116e-02
1.890000000000000000e+02,3.777999999999999692e-01,1.745220073070521613e-02
2.050000000000000000e+02,3.532666666666666733e-01,1.824532690918385935e-02
2.210000000000000000e+02,3.305333333333333456e-01,1.883454883678017250e-02
2.370000000000000000e+02,3.094999999999999973e-01,1.932793226181325416e-02
2.530000000000000000e+02,2.904000000000000470e-01,1.971276498739523916e-02
2.850000000000000000e+02,2.556000000000000494e-01,2.022221380152239290e-02
3.170000000000000000e+02,2.255666666666666653e-01,2.043607920647532925e-02
3.490000000000000000e+02,1.996000000000000274e-01,2.049995794781220987e-02
3.810000000000000000e+02,1.773999999999999744e-01,2.049322848633428756e-02
4.130000000000000000e+02,1.577666666666666384e-01,2.029384709425637034e-02
4.450000000000000000e+02,1.407333333333333492e-01,1.997227964011591070e-02
4.770000000000000000e+02,1.257000000000000062e-01,1.981665965797465082e-02
5.090000000000000000e+02,1.132233333333333286e-01,1.926135461511456481e-02
5.730000000000000000e+02,9.154333333333330991e-02,1.844175702851684820e-02
6.370000000000000000e+02,7.483666666666667633e-02,1.733150377170156881e-02
7.010000000000000000e+02,6.157999999999999585e-02,1.617798418882256811e-02
7.650000000000000000e+02,5.121000000000001939e-02,1.501841054081336224e-02
8.290000000000000000e+02,4.299000000000000044e-02,1.401669816990459838e-02
8.930000000000000000e+02,3.652666666666665868e-02,1.308816083424208486e-02
9.570000000000000000e+02,3.138333333333333253e-02,1.213396723745124861e-02
1.020000000000000000e+03,2.738666666666667027e-02,1.137694987708687787e-02
1.150000000000000000e+03,2.107999999999999458e-02,9.958583197942608503e-03
1.280000000000000000e+03,1.701200000000000628e-02,8.765096297442960885e-03
1.400000000000000000e+03,1.421133333333333623e-02,8.077662573026812842e-03
1.530000000000000000e+03,1.201266666666666628e-02,7.803371478840515768e-03
1.660000000000000000e+03,1.067599999999999973e-02,7.446550972048090154e-03
1.790000000000000000e+03,9.850333333333334204e-03,7.211147253568164078e-03
1.920000000000000000e+03,9.102666666666665157e-03,7.010725740057077021e-03
2.040000000000000000e+03,8.527333333333334681e-03,6.809925278507142354e-03
2.300000000000000000e+03,7.806200000000000118e-03,6.517381753751880398e-03
2.560000000000000000e+03,7.186033333333332815e-03,6.282815997697174630e-03
2.810000000000000000e+03,6.714333333333334305e-03,6.060084603559496089e-03
3.070000000000000000e+03,6.281133333333333534e-03,5.843617082107525375e-03
3.320000000000000000e+03,5.879366666666667636e-03,5.490759789666280720e-03
3.580000000000000000e+03,5.602399999999999568e-03,5.261479309484921527e-03
3.840000000000000000e+03,5.503699999999999391e-03,5.104777715786085364e-03
4.090000000000000000e+03,5.542203333333332177e-03,5.022305658070997346e-03
4.600000000000000000e+03,5.951000000000000560e-03,4.793890040889333022e-03
5.120000000000000000e+03,5.431313333333331536e-03,4.848519705182215492e-03
5.630000000000000000e+03,5.429366666666666889e-03,5.131623756488868163e-03
6.140000000000000000e+03,5.441066666666665927e-03,4.938116595691486796e-03
6.650000000000000000e+03,5.012566666666666733e-03,4.666920462023171207e-03
7.160000000000000000e+03,5.112366666666667316e-03,4.504894016766527141e-03
7.680000000000000000e+03,5.461333333333333664e-03,4.597644624365179039e-03
8.190000000000000000e+03,5.120166666666665228e-03,5.022527609874735503e-03
9.210000000000000000e+03,5.078633333333333090e-03,4.938598869310406418e-03
1.020000000000000000e+04,4.934833333333332739e-03,4.554917055782407680e-03
1.130000000000000000e+04,4.823733333333331610e-03,4.586843148001446338e-03
1.230000000000000000e+04,5.338666666666666907e-03,4.218206624436122119e-03
1.330000000000000000e+04,5.023366666666664176e-03,4.489339867633819134e-03
