Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.926666666666666083e-01,1.882197297486815774e-02
1.000000000000000000e+00,8.991666666666667806e-01,1.936405604894458204e-02
1.500000000000000000e+00,8.974999999999999645e-01,1.922238278674110248e-02
2.000000000000000000e+00,8.954999999999998517e-01,1.975601174326439488e-02
2.500000000000000000e+00,8.946666666666667211e-01,1.977540560056019123e-02
3.000000000000000000e+00,8.936666666666667203e-01,1.907528942550196921e-02
3.500000000000000000e+00,8.915000000000000702e-01,1.982674960753780941e-02
4.000000000000000000e+00,8.908333333333332549e-01,2.006406406156707387e-02
4.500000000000000000e+00,8.896666666666664947e-01,1.991649232838622538e-02
5.500000000000000000e+00,8.868333333333334734e-01,2.006406406156707387e-02
6.500000000000000000e+00,8.841666666666666563e-01,1.964094362974109706e-02
7.500000000000000000e+00,8.814999999999999503e-01,2.006738647656940849e-02
8.500000000000000000e+00,8.786666666666665959e-01,1.995661962023296751e-02
9.500000000000000000e+00,8.764999999999999458e-01,2.000749859427711219e-02
1.050000000000000000e+01,8.738333333333333508e-01,2.019323319002351916e-02
1.150000000000000000e+01,8.711666666666667558e-01,2.004411800670379343e-02
1.250000000000000000e+01,8.686666666666665870e-01,2.057830572876852282e-02
1.450000000000000000e+01,8.635000000000000453e-01,2.036418424587640302e-02
1.650000000000000000e+01,8.589999999999999858e-01,2.061067684478121859e-02
1.850000000000000000e+01,8.544999999999999263e-01,2.081105475462502463e-02
2.050000000000000000e+01,8.495000000000000329e-01,2.117309613637081631e-02
2.250000000000000000e+01,8.446666666666667878e-01,2.063653717721719572e-02
2.450000000000000000e+01,8.396666666666666723e-01,2.105864826304545620e-02
2.650000000000000000e+01,8.353333333333332611e-01,2.173169727993343528e-02
2.850000000000000000e+01,8.308333333333332016e-01,2.125480337868749722e-02
3.250000000000000000e+01,8.216666666666666563e-01,2.172249218360234463e-02
3.650000000000000000e+01,8.125000000000000000e-01,2.195222084437012736e-02
4.050000000000000000e+01,8.041666666666666963e-01,2.200378755275247608e-02
4.450000000000000000e+01,7.954999999999999849e-01,2.204313952230940385e-02
