Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.523333333333332762e-01,2.886751345948131587e-03
1.000000000000000000e+00,8.566666666666667984e-01,2.516611478423585232e-03
1.500000000000000000e+00,8.516666666666665719e-01,2.309401076758505356e-03
2.000000000000000000e+00,8.476666666666666794e-01,2.309401076758505356e-03
2.500000000000000000e+00,8.439999999999999725e-01,3.605551275463992570e-03
3.000000000000000000e+00,8.403333333333332655e-01,2.081665999466134759e-03
3.500000000000000000e+00,8.363333333333332620e-01,2.081665999466134759e-03
4.000000000000000000e+00,8.330000000000000737e-01,1.732050807568878692e-03
4.500000000000000000e+00,8.293333333333333668e-01,2.081665999466134325e-03
5.500000000000000000e+00,8.223333333333332495e-01,2.081665999466134759e-03
6.500000000000000000e+00,8.159999999999998366e-01,1.732050807568878692e-03
7.500000000000000000e+00,8.096666666666667567e-01,1.527525231651947904e-03
8.500000000000000000e+00,8.026666666666666394e-01,1.527525231651948121e-03
9.500000000000000000e+00,7.966666666666667451e-01,1.527525231651947904e-03
1.050000000000000000e+01,7.903333333333333321e-01,2.081665999466134759e-03
1.150000000000000000e+01,7.846666666666667345e-01,1.527525231651947904e-03
1.250000000000000000e+01,7.786666666666666181e-01,5.773502691896263391e-04
1.450000000000000000e+01,7.673333333333333117e-01,1.527525231651947904e-03
1.650000000000000000e+01,7.563333333333334130e-01,5.773502691896263391e-04
1.850000000000000000e+01,7.463333333333332931e-01,5.773502691896263391e-04
2.050000000000000000e+01,7.366666666666666918e-01,5.773502691896263391e-04
2.250000000000000000e+01,7.273333333333332762e-01,5.773502691896263391e-04
2.450000000000000000e+01,7.186666666666665648e-01,5.773502691896263391e-04
2.650000000000000000e+01,7.099999999999999645e-01,0.000000000000000000e+00
2.850000000000000000e+01,7.016666666666666607e-01,5.773502691896263391e-04
3.250000000000000000e+01,6.860000000000000542e-01,1.000000000000000888e-03
3.650000000000000000e+01,6.713333333333334485e-01,5.773502691896263391e-04
4.050000000000000000e+01,6.576666666666667327e-01,1.154700538379252678e-03
4.450000000000000000e+01,6.446666666666667211e-01,1.154700538379252678e-03
4.850000000000000000e+01,6.323333333333333028e-01,1.527525231651947904e-03
5.250000000000000000e+01,6.213333333333332931e-01,1.527525231651947904e-03
5.650000000000000000e+01,6.096666666666666901e-01,2.081665999466134325e-03
6.050000000000000000e+01,5.996666666666666812e-01,2.081665999466134325e-03
6.850000000000000000e+01,5.796666666666666634e-01,2.081665999466134325e-03
7.650000000000000000e+01,5.610000000000000542e-01,2.645751311064530042e-03
8.450000000000000000e+01,5.436666666666666314e-01,2.081665999466134759e-03
9.250000000000000000e+01,5.276666666666666172e-01,2.081665999466134759e-03
1.010000000000000000e+02,5.126666666666667149e-01,2.081665999466134325e-03
1.090000000000000000e+02,4.979999999999999982e-01,2.645751311064592926e-03
1.170000000000000000e+02,4.839999999999999858e-01,2.645751311064592926e-03
1.250000000000000000e+02,4.713333333333333264e-01,3.214550253664321365e-03
1.410000000000000000e+02,4.463333333333333042e-01,3.214550253664321365e-03
1.570000000000000000e+02,4.239999999999999880e-01,3.464101615137758251e-03
1.730000000000000000e+02,4.026666666666667282e-01,3.785938897200153992e-03
1.890000000000000000e+02,3.836666666666666559e-01,3.785938897200185650e-03
2.050000000000000000e+02,3.646666666666666390e-01,3.785938897200185650e-03
2.210000000000000000e+02,3.476666666666666239e-01,3.785938897200185650e-03
2.370000000000000000e+02,3.316666666666667207e-01,3.785938897200185650e-03
2.530000000000000000e+02,3.163333333333333552e-01,4.041451884327383615e-03
2.850000000000000000e+02,2.889999999999999791e-01,4.358898943540677820e-03
3.170000000000000000e+02,2.640000000000000124e-01,4.358898943540677820e-03
3.490000000000000000e+02,2.409999999999999920e-01,4.358898943540677820e-03
3.810000000000000000e+02,2.210000000000000020e-01,4.358898943540677820e-03
4.130000000000000000e+02,2.036666666666666625e-01,4.618802153516994233e-03
4.450000000000000000e+02,1.866666666666666752e-01,4.618802153517009845e-03
4.770000000000000000e+02,1.723333333333333384e-01,4.932882862316236190e-03
5.090000000000000000e+02,1.590000000000000024e-01,4.358898943540677820e-03
5.730000000000000000e+02,1.353333333333333333e-01,4.163331998932269518e-03
