Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,9.049999999999999156e-01,4.358898943540676953e-03
1.000000000000000000e+00,9.100000000000000311e-01,5.291502622129185852e-03
1.500000000000000000e+00,9.070000000000000284e-01,6.000000000000005329e-03
2.000000000000000000e+00,9.049999999999999156e-01,5.567764362830026660e-03
2.500000000000000000e+00,9.023333333333333206e-01,6.806859285554051932e-03
3.000000000000000000e+00,9.003333333333333188e-01,6.110100926607791617e-03
3.500000000000000000e+00,8.990000000000000213e-01,6.082762530298224841e-03
4.000000000000000000e+00,8.950000000000000178e-01,5.567764362830026660e-03
4.500000000000000000e+00,8.930000000000001270e-01,5.000000000000004441e-03
5.500000000000000000e+00,8.896666666666667167e-01,5.033222956847171331e-03
6.500000000000000000e+00,8.856666666666667131e-01,5.686240703077331989e-03
7.500000000000000000e+00,8.803333333333333011e-01,6.506407098647718108e-03
8.500000000000000000e+00,8.769999999999998908e-01,5.567764362830026660e-03
9.500000000000000000e+00,8.716666666666667007e-01,6.027713773341713231e-03
1.050000000000000000e+01,8.679999999999999938e-01,6.000000000000005329e-03
1.150000000000000000e+01,8.626666666666666927e-01,7.023769168568498589e-03
1.250000000000000000e+01,8.589999999999999858e-01,6.557438524302005960e-03
1.450000000000000000e+01,8.499999999999999778e-01,6.000000000000005329e-03
1.650000000000000000e+01,8.419999999999999707e-01,6.000000000000005329e-03
1.850000000000000000e+01,8.336666666666666670e-01,6.506407098647718108e-03
2.050000000000000000e+01,8.256666666666666599e-01,6.027713773341713231e-03
2.250000000000000000e+01,8.173333333333333561e-01,5.507570547286053109e-03
2.450000000000000000e+01,8.093333333333333490e-01,7.505553499465085487e-03
2.650000000000000000e+01,8.023333333333333428e-01,6.506407098647718108e-03
2.850000000000000000e+01,7.943333333333333357e-01,7.505553499465141866e-03
3.250000000000000000e+01,7.790000000000000258e-01,7.000000000000006217e-03
3.650000000000000000e+01,7.643333333333334201e-01,8.020806277010650645e-03
4.050000000000000000e+01,7.496666666666667034e-01,7.505553499465141866e-03
4.450000000000000000e+01,7.360000000000000986e-01,8.000000000000007105e-03
4.850000000000000000e+01,7.219999999999999751e-01,8.544003745317538256e-03
5.250000000000000000e+01,7.089999999999999636e-01,8.544003745317538256e-03
5.650000000000000000e+01,6.956666666666667664e-01,9.073771725877415040e-03
6.050000000000000000e+01,6.829999999999999405e-01,8.544003745317486215e-03
6.850000000000000000e+01,6.580000000000000293e-01,8.544003745317538256e-03
7.650000000000000000e+01,6.346666666666666012e-01,9.073771725877474020e-03
