Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.853333333333334165e-01,1.502321435968248867e-02
1.000000000000000000e+00,8.894999999999999574e-01,1.524049629351773016e-02
1.500000000000000000e+00,8.850000000000001199e-01,1.410351342428868907e-02
2.000000000000000000e+00,8.824999999999999512e-01,1.439381180166736038e-02
2.500000000000000000e+00,8.794999999999998375e-01,1.465667703874865870e-02
3.000000000000000000e+00,8.767500000000000293e-01,1.475943457897047929e-02
3.500000000000000000e+00,8.737499999999999156e-01,1.422625613562345480e-02
4.000000000000000000e+00,8.708333333333332371e-01,1.313450233222225420e-02
4.500000000000000000e+00,8.675000000000000488e-01,1.368808373599594494e-02
5.500000000000000000e+00,8.612500000000000711e-01,1.466675275456829665e-02
6.500000000000000000e+00,8.559166666666665479e-01,1.400297587419665861e-02
7.500000000000000000e+00,8.503333333333334965e-01,1.393056373807630144e-02
8.500000000000000000e+00,8.439166666666668704e-01,1.424115887351188985e-02
9.500000000000000000e+00,8.391666666666668384e-01,1.437063504216678361e-02
1.050000000000000000e+01,8.337499999999998801e-01,1.418145395802686108e-02
1.150000000000000000e+01,8.283333333333334769e-01,1.396966410303104519e-02
1.250000000000000000e+01,8.230000000000000648e-01,1.425099677534550843e-02
1.450000000000000000e+01,8.124166666666665648e-01,1.400946649644983603e-02
1.650000000000000000e+01,8.024166666666666670e-01,1.401595411297316095e-02
1.850000000000000000e+01,7.924999999999999822e-01,1.397074866218051166e-02
2.050000000000000000e+01,7.830833333333334645e-01,1.346009815804635051e-02
2.250000000000000000e+01,7.737500000000000488e-01,1.362567763118925461e-02
2.450000000000000000e+01,7.644166666666666332e-01,1.368780700499758370e-02
2.650000000000000000e+01,7.561666666666666536e-01,1.343559271171733058e-02
2.850000000000000000e+01,7.471666666666667567e-01,1.368365536844685926e-02
3.250000000000000000e+01,7.305000000000001492e-01,1.322875655532296593e-02
3.650000000000000000e+01,7.145000000000000240e-01,1.374772708486753266e-02
