Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.316666666666666652e-01,1.418919776919518733e-02
1.000000000000000000e+00,8.223333333333333606e-01,1.429452109492767610e-02
1.500000000000000000e+00,8.033333333333333437e-01,1.167618659209127864e-02
2.000000000000000000e+00,7.873333333333333295e-01,1.167618659209133936e-02
2.500000000000000000e+00,7.720000000000001306e-01,1.081665382639197641e-02
3.000000000000000000e+00,7.556666666666665977e-01,9.291573243177577920e-03
3.500000000000000000e+00,7.409999999999999920e-01,8.888194417315595577e-03
4.000000000000000000e+00,7.269999999999999796e-01,9.539392014169464917e-03
4.500000000000000000e+00,7.129999999999999671e-01,9.643650760992963228e-03
5.500000000000000000e+00,6.856666666666666465e-01,8.962886439832444541e-03
6.500000000000000000e+00,6.583333333333333259e-01,8.386497083606090502e-03
7.500000000000000000e+00,6.343333333333333046e-01,6.806859285554051932e-03
8.500000000000000000e+00,6.123333333333333961e-01,6.658328118479398851e-03
9.500000000000000000e+00,5.896666666666666723e-01,5.507570547286106885e-03
1.050000000000000000e+01,5.689999999999999503e-01,5.000000000000004441e-03
1.150000000000000000e+01,5.490000000000000435e-01,5.291502622129185852e-03
1.250000000000000000e+01,5.293333333333333224e-01,4.618802153517010713e-03
1.450000000000000000e+01,4.949999999999999400e-01,5.196152422706636076e-03
1.650000000000000000e+01,4.633333333333333748e-01,5.507570547286106885e-03
1.850000000000000000e+01,4.349999999999999978e-01,6.244997998398403409e-03
2.050000000000000000e+01,4.083333333333333814e-01,6.027713773341683741e-03
2.250000000000000000e+01,3.843333333333333601e-01,6.506407098647717241e-03
2.450000000000000000e+01,3.623333333333333406e-01,7.023769168568499456e-03
2.650000000000000000e+01,3.420000000000000262e-01,7.549834435270726639e-03
2.850000000000000000e+01,3.243333333333333623e-01,8.082903768654767229e-03
3.250000000000000000e+01,2.926666666666666305e-01,8.326663997864539035e-03
3.650000000000000000e+01,2.653333333333333655e-01,8.504900548115390882e-03
4.050000000000000000e+01,2.419999999999999929e-01,8.717797887081355640e-03
