Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,9.507777777777777495e-02,6.425034587023205346e-02
1.000000000000000000e+00,7.542222222222220995e-02,5.381068150882727108e-02
1.500000000000000000e+00,7.178888888888887432e-02,5.518503974005194157e-02
2.000000000000000000e+00,6.925555555555555631e-02,5.373883863443438408e-02
2.500000000000000000e+00,6.661111111111110705e-02,5.304876163598082339e-02
3.000000000000000000e+00,6.308888888888887492e-02,5.272156684992500286e-02
3.500000000000000000e+00,6.709999999999999298e-02,5.654367780751443778e-02
4.000000000000000000e+00,6.267777777777777670e-02,5.319350942027085277e-02
4.500000000000000000e+00,6.173333333333334144e-02,5.332532231501278114e-02
5.500000000000000000e+00,5.912222222222222184e-02,5.103194533274667266e-02
6.500000000000000000e+00,5.725555555555555259e-02,5.197309667296896168e-02
7.500000000000000000e+00,5.561111111111111810e-02,5.118111088195635011e-02
8.500000000000000000e+00,5.419999999999999818e-02,5.266448043985624133e-02
9.500000000000000000e+00,5.321111111111110487e-02,5.243072678412069587e-02
1.050000000000000000e+01,5.016000000000000320e-02,5.012367105470228595e-02
1.150000000000000000e+01,4.900222222222223173e-02,5.205207147121471839e-02
1.250000000000000000e+01,4.888666666666666161e-02,4.966727116522508950e-02
1.450000000000000000e+01,4.831111111111110329e-02,4.685750858839073107e-02
1.650000000000000000e+01,4.851222222222221353e-02,4.949780898630205123e-02
1.850000000000000000e+01,4.617999999999999883e-02,4.884490454489597705e-02
2.050000000000000000e+01,4.563222222222221985e-02,4.659137092256938895e-02
2.250000000000000000e+01,4.289666666666666628e-02,4.501449822001795525e-02
2.450000000000000000e+01,4.355555555555554181e-02,4.621476904386494222e-02
2.650000000000000000e+01,4.237555555555555520e-02,4.460474585487263222e-02
2.850000000000000000e+01,4.151000000000000523e-02,4.342433246464474927e-02
3.250000000000000000e+01,3.999222222222222067e-02,4.355318351675850630e-02
3.650000000000000000e+01,3.937777777777777544e-02,4.320671787401172970e-02
4.050000000000000000e+01,3.910777777777777603e-02,4.272955059960781982e-02
4.450000000000000000e+01,3.740555555555555300e-02,4.074511569228608104e-02
4.850000000000000000e+01,3.620000000000000995e-02,4.083800190998575219e-02
5.250000000000000000e+01,3.652888888888888158e-02,4.204147400021925052e-02
5.650000000000000000e+01,3.522888888888889292e-02,4.062452013391803368e-02
6.050000000000000000e+01,3.530777777777777821e-02,4.022504934048490299e-02
6.850000000000000000e+01,3.405111111111110839e-02,3.933272315910901762e-02
7.650000000000000000e+01,3.329333333333332756e-02,3.735690866493104195e-02
8.450000000000000000e+01,3.152666666666666812e-02,3.578150464974887146e-02
9.250000000000000000e+01,3.068222222222222184e-02,3.540579111451182259e-02
1.010000000000000000e+02,3.029888888888889256e-02,3.475858327249704144e-02
1.090000000000000000e+02,2.941555555555555937e-02,3.363917326240016548e-02
1.170000000000000000e+02,2.869444444444444256e-02,3.233641140846921225e-02
1.250000000000000000e+02,2.744666666666666435e-02,3.109930746817363145e-02
1.410000000000000000e+02,2.639888888888888493e-02,3.014521373470606391e-02
1.570000000000000000e+02,2.501444444444444332e-02,2.836630179945524161e-02
1.730000000000000000e+02,2.393333333333333424e-02,2.690924237134892025e-02
1.890000000000000000e+02,2.308999999999999594e-02,2.579166628971458694e-02
2.050000000000000000e+02,2.228222222222222063e-02,2.439834050595336007e-02
2.210000000000000000e+02,2.078555555555555712e-02,2.311547161054209806e-02
2.370000000000000000e+02,2.031333333333333602e-02,2.181494957592155365e-02
2.530000000000000000e+02,1.918777777777777929e-02,2.123359294713083809e-02
2.850000000000000000e+02,1.761111111111110863e-02,1.955467427780660170e-02
3.170000000000000000e+02,1.629222222222222183e-02,1.804241861404519420e-02
3.490000000000000000e+02,1.490999999999999791e-02,1.648335903267292291e-02
3.810000000000000000e+02,1.393444444444444374e-02,1.496334530704206481e-02
4.130000000000000000e+02,1.300055555555555339e-02,1.394667084926642063e-02
4.450000000000000000e+02,1.223444444444444536e-02,1.286510892988387486e-02
4.770000000000000000e+02,1.141000000000000000e-02,1.171621632610118750e-02
5.090000000000000000e+02,1.055222222222222152e-02,1.087832567284342973e-02
5.730000000000000000e+02,8.956222222222219587e-03,9.869751691123970078e-03
6.370000000000000000e+02,7.656555555555555337e-03,8.090473983505402922e-03
7.010000000000000000e+02,6.844444444444443797e-03,7.332133235135446063e-03
7.650000000000000000e+02,5.825222222222222086e-03,6.409147169822553176e-03
8.290000000000000000e+02,5.465000000000000240e-03,5.727264835853148987e-03
8.930000000000000000e+02,4.893444444444445054e-03,4.800449382899248801e-03
9.570000000000000000e+02,4.071555555555554824e-03,4.197476745352829268e-03
1.020000000000000000e+03,3.544966666666666839e-03,3.846123530257445928e-03
1.150000000000000000e+03,3.003777777777777522e-03,3.143610614316671992e-03
1.280000000000000000e+03,2.587111111111111209e-03,2.430059950106398543e-03
1.400000000000000000e+03,2.220922222222221701e-03,2.124711016690138902e-03
1.530000000000000000e+03,2.061266666666667149e-03,1.904109038369389230e-03
1.660000000000000000e+03,1.913111111111110872e-03,1.644773802415125646e-03
1.790000000000000000e+03,1.626000000000000058e-03,1.498726042343963543e-03
1.920000000000000000e+03,1.749555555555555413e-03,1.461994794032378791e-03
2.040000000000000000e+03,1.787333333333333265e-03,1.551345464427572336e-03
2.300000000000000000e+03,1.398444444444444344e-03,1.280441536259183544e-03
2.560000000000000000e+03,1.381666666666666677e-03,1.157936958560352872e-03
2.810000000000000000e+03,1.550000000000000162e-03,1.108709046594281208e-03
3.070000000000000000e+03,1.715222222222222148e-03,9.446165594803240589e-04
3.320000000000000000e+03,1.800666666666666561e-03,1.017976792466311620e-03
3.580000000000000000e+03,1.972444444444444202e-03,1.018825685668445311e-03
3.840000000000000000e+03,1.825222222222222003e-03,9.555233877014441971e-04
4.090000000000000000e+03,1.601777777777777922e-03,9.918544220017594046e-04
4.600000000000000000e+03,1.270777777777777791e-03,1.173314725231233311e-03
5.120000000000000000e+03,1.404555555555555592e-03,1.415901048017755362e-03
5.630000000000000000e+03,1.492111111111111372e-03,1.447052387134312341e-03
6.140000000000000000e+03,1.492215555555555630e-03,1.448003337074116673e-03
6.650000000000000000e+03,1.686444444444444406e-03,1.172496813546961220e-03
7.160000000000000000e+03,1.984444444444444493e-03,1.132317878414793033e-03
7.680000000000000000e+03,1.831888888888888976e-03,1.023767850203898032e-03
8.190000000000000000e+03,1.433333333333333334e-03,1.108957505948717642e-03
9.210000000000000000e+03,1.273844444444444460e-03,1.260374633899690204e-03
1.020000000000000000e+04,1.467888888888888802e-03,1.046701777542730213e-03
1.130000000000000000e+04,1.718111111111111228e-03,9.360526753933836241e-04
1.230000000000000000e+04,1.254000000000000123e-03,1.131844291411146204e-03
1.330000000000000000e+04,1.374400000000000014e-03,1.215353154437013704e-03
1.430000000000000000e+04,1.710666666666666759e-03,1.041225359852515197e-03
1.540000000000000000e+04,1.566111111111111003e-03,1.240644030780429369e-03
1.640000000000000000e+04,1.367666666666666553e-03,1.274130684035197246e-03
1.840000000000000000e+04,1.554888888888889074e-03,1.062433226659968135e-03
2.050000000000000000e+04,1.273000000000000043e-03,1.116036961753507500e-03
2.250000000000000000e+04,1.373666666666666699e-03,1.104027513244122162e-03
2.460000000000000000e+04,1.311444444444444290e-03,1.108370776309885314e-03
2.660000000000000000e+04,1.308444444444444542e-03,1.045686868894210586e-03
2.870000000000000000e+04,1.330777777777777731e-03,9.195243033462707511e-04
3.070000000000000000e+04,1.415666666666666636e-03,1.239817123611381810e-03
3.280000000000000000e+04,1.350888888888888886e-03,1.137541806313557531e-03
3.690000000000000000e+04,1.282477777777777696e-03,1.116573969535580987e-03
4.100000000000000000e+04,1.272033333333333046e-03,1.091421233988050911e-03
4.510000000000000000e+04,1.273555555555555335e-03,1.003632790306184389e-03
4.910000000000000000e+04,1.365555555555555836e-03,1.105718331121347464e-03
5.320000000000000000e+04,1.319555555555555586e-03,1.080818221431234776e-03
5.730000000000000000e+04,1.394000000000000057e-03,1.016208763000988995e-03
6.140000000000000000e+04,1.418111111111111091e-03,1.131710480251513435e-03
6.550000000000000000e+04,1.344777777777777638e-03,1.115257792819420064e-03
7.370000000000000000e+04,1.327333333333333577e-03,1.144117236125739021e-03
8.190000000000000000e+04,1.354666666666666779e-03,1.167743871745855139e-03
9.010000000000000000e+04,1.400111111111110871e-03,1.238241035142637883e-03
9.830000000000000000e+04,1.473555555555555643e-03,1.319781052969687786e-03
1.060000000000000000e+05,1.320444444444444400e-03,1.178206063376766727e-03
1.150000000000000000e+05,1.351222222222222191e-03,1.124216480240547130e-03
1.230000000000000000e+05,1.445777777777777599e-03,1.309685341768947447e-03
1.310000000000000000e+05,1.469666666666666430e-03,1.446815986917479330e-03
1.470000000000000000e+05,1.539333333333333526e-03,1.552767448782978264e-03
1.640000000000000000e+05,1.497677777777777939e-03,1.700571289139165632e-03
1.800000000000000000e+05,1.230877777777777743e-03,1.119807353719578158e-03
1.970000000000000000e+05,1.418999999999999689e-03,1.417983074652162320e-03
2.130000000000000000e+05,1.323222222222222161e-03,1.251733975109905030e-03
2.290000000000000000e+05,1.212311111111111185e-03,1.104660409859569174e-03
