Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,2.518888888888888844e-01,5.173839107578732943e-02
1.000000000000000000e+00,2.310000000000000109e-01,5.316718913013927100e-02
1.500000000000000000e+00,2.281111111111110978e-01,5.627931334967681276e-02
2.000000000000000000e+00,2.285555555555555396e-01,5.627413062658344345e-02
2.500000000000000000e+00,2.240000000000000047e-01,5.891731494221372906e-02
3.000000000000000000e+00,2.206666666666666776e-01,6.039039658753699719e-02
3.500000000000000000e+00,2.191111111111111454e-01,5.626820692994501105e-02
4.000000000000000000e+00,2.159999999999999976e-01,5.421485036408383446e-02
4.500000000000000000e+00,2.144444444444444653e-01,5.567789307954979644e-02
5.500000000000000000e+00,2.111111111111111105e-01,5.656952457915049443e-02
6.500000000000000000e+00,2.095555555555555782e-01,5.673427339605028458e-02
7.500000000000000000e+00,2.089999999999999636e-01,5.735198340075085138e-02
8.500000000000000000e+00,2.053333333333333677e-01,5.984145720150872705e-02
9.500000000000000000e+00,2.036666666666666903e-01,5.504543577809154625e-02
1.050000000000000000e+01,2.023333333333333650e-01,5.904024051441526116e-02
1.150000000000000000e+01,2.009999999999999842e-01,5.631385264746144315e-02
1.250000000000000000e+01,1.995555555555555416e-01,5.755673529464452182e-02
1.450000000000000000e+01,1.968888888888889188e-01,5.795783908248400979e-02
1.650000000000000000e+01,1.941555555555555812e-01,5.672757510926919322e-02
1.850000000000000000e+01,1.905555555555555891e-01,5.774753481991918430e-02
2.050000000000000000e+01,1.911999999999999811e-01,5.688462006553265254e-02
2.250000000000000000e+01,1.878333333333333521e-01,5.726691889738787233e-02
2.450000000000000000e+01,1.866333333333333178e-01,5.705729576487129917e-02
2.650000000000000000e+01,1.856666666666666743e-01,5.647344508704954524e-02
2.850000000000000000e+01,1.840777777777777569e-01,5.662181067790435923e-02
3.250000000000000000e+01,1.802111111111111275e-01,5.620588146369658034e-02
3.650000000000000000e+01,1.776222222222222369e-01,5.489475789585417792e-02
4.050000000000000000e+01,1.748444444444444690e-01,5.484220799509970101e-02
4.450000000000000000e+01,1.729777777777777859e-01,5.386932749203802995e-02
4.850000000000000000e+01,1.703777777777778224e-01,5.336978962338567029e-02
5.250000000000000000e+01,1.683888888888888935e-01,5.316235614710008994e-02
5.650000000000000000e+01,1.657555555555555449e-01,5.231049395463378826e-02
6.050000000000000000e+01,1.639444444444444482e-01,5.126673168613129355e-02
6.850000000000000000e+01,1.589666666666666728e-01,5.151490075696545795e-02
7.650000000000000000e+01,1.544666666666666688e-01,4.970623703319332343e-02
8.450000000000000000e+01,1.509555555555555650e-01,4.857885628313800969e-02
9.250000000000000000e+01,1.473444444444444168e-01,4.728924589986371885e-02
1.010000000000000000e+02,1.430888888888889321e-01,4.632746065899912002e-02
1.090000000000000000e+02,1.394000000000000239e-01,4.510424037715301399e-02
1.170000000000000000e+02,1.359000000000000208e-01,4.538964639650765187e-02
1.250000000000000000e+02,1.328111111111111020e-01,4.354717110342658237e-02
1.410000000000000000e+02,1.262888888888888950e-01,4.227615889731600740e-02
1.570000000000000000e+02,1.198777777777777775e-01,4.062104681620655466e-02
1.730000000000000000e+02,1.140333333333333338e-01,3.902066760064466094e-02
1.890000000000000000e+02,1.087666666666666643e-01,3.747909417261842402e-02
2.050000000000000000e+02,1.032000000000000001e-01,3.563846236862640293e-02
2.210000000000000000e+02,9.882222222222221408e-02,3.451516977278895615e-02
2.370000000000000000e+02,9.356666666666665910e-02,3.419013015476835005e-02
2.530000000000000000e+02,8.911111111111111316e-02,3.245475483055004079e-02
2.850000000000000000e+02,8.073333333333333750e-02,2.995546694678619115e-02
3.170000000000000000e+02,7.336666666666666337e-02,2.786696072412633840e-02
3.490000000000000000e+02,6.607777777777777695e-02,2.621048348360717137e-02
3.810000000000000000e+02,6.029999999999999249e-02,2.415993584428568000e-02
4.130000000000000000e+02,5.436666666666667425e-02,2.245233840828166419e-02
4.450000000000000000e+02,4.921111111111112213e-02,2.075171345000482656e-02
4.770000000000000000e+02,4.454444444444444207e-02,1.922583620490348963e-02
5.090000000000000000e+02,4.058888888888888269e-02,1.783027232296554437e-02
5.730000000000000000e+02,3.333333333333333287e-02,1.556550673765554060e-02
6.370000000000000000e+02,2.757777777777777745e-02,1.332636276125051360e-02
7.010000000000000000e+02,2.292222222222222230e-02,1.144047396065584442e-02
7.650000000000000000e+02,1.890222222222222304e-02,9.761361044672225637e-03
8.290000000000000000e+02,1.567555555555555716e-02,8.431055851895288486e-03
8.930000000000000000e+02,1.323000000000000044e-02,7.342283364185830594e-03
9.570000000000000000e+02,1.180444444444444553e-02,6.530723756045555585e-03
1.020000000000000000e+03,1.001333333333333242e-02,6.246583065964942706e-03
1.150000000000000000e+03,8.002222222222223069e-03,5.377436140433882600e-03
1.280000000000000000e+03,7.052222222222221878e-03,4.443553695460925219e-03
1.400000000000000000e+03,6.484444444444445455e-03,4.077416802066938413e-03
1.530000000000000000e+03,6.326666666666667070e-03,3.993961066410136804e-03
1.660000000000000000e+03,6.175222222222222571e-03,3.721673406472476332e-03
1.790000000000000000e+03,5.973222222222223515e-03,3.649080835559064939e-03
1.920000000000000000e+03,5.837333333333333263e-03,3.761342712383438248e-03
2.040000000000000000e+03,5.956444444444445631e-03,3.708773891433364035e-03
2.300000000000000000e+03,5.916444444444443791e-03,3.750820413959827983e-03
2.560000000000000000e+03,6.009777777777777080e-03,3.816842339479644027e-03
2.810000000000000000e+03,6.026666666666666283e-03,3.419649104805930293e-03
3.070000000000000000e+03,5.977777777777778037e-03,3.551192679149421053e-03
3.320000000000000000e+03,6.100000000000000387e-03,3.920803489082308121e-03
3.580000000000000000e+03,6.226666666666666808e-03,3.958617182805127151e-03
3.840000000000000000e+03,5.960777777777777515e-03,4.398706678609570937e-03
