Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,9.120000000000000329e-01,5.196152422706636076e-03
1.000000000000000000e+00,9.166666666666666297e-01,4.618802153517010713e-03
1.500000000000000000e+00,9.136666666666667380e-01,4.618802153517010713e-03
2.000000000000000000e+00,9.103333333333333277e-01,4.041451884327383615e-03
2.500000000000000000e+00,9.083333333333333259e-01,5.859465277082320095e-03
3.000000000000000000e+00,9.046666666666666190e-01,4.618802153517010713e-03
3.500000000000000000e+00,9.023333333333333206e-01,5.773502691896262307e-03
4.000000000000000000e+00,8.993333333333334290e-01,4.932882862316251803e-03
4.500000000000000000e+00,8.963333333333333153e-01,4.932882862316251803e-03
5.500000000000000000e+00,8.906666666666666066e-01,5.507570547286106885e-03
6.500000000000000000e+00,8.849999999999998979e-01,6.082762530298224841e-03
7.500000000000000000e+00,8.793333333333333002e-01,4.932882862316251803e-03
8.500000000000000000e+00,8.733333333333334059e-01,4.932882862316251803e-03
9.500000000000000000e+00,8.683333333333332904e-01,4.163331998932269518e-03
1.050000000000000000e+01,8.629999999999999893e-01,5.291502622129185852e-03
1.150000000000000000e+01,8.570000000000000950e-01,4.358898943540677820e-03
1.250000000000000000e+01,8.516666666666665719e-01,4.618802153517010713e-03
1.450000000000000000e+01,8.396666666666666723e-01,4.618802153517010713e-03
1.650000000000000000e+01,8.286666666666665515e-01,4.618802153517010713e-03
1.850000000000000000e+01,8.186666666666666536e-01,3.785938897200185650e-03
2.050000000000000000e+01,8.076666666666666439e-01,4.725815626252550215e-03
2.250000000000000000e+01,7.970000000000000417e-01,4.358898943540677820e-03
2.450000000000000000e+01,7.869999999999999218e-01,4.358898943540677820e-03
2.650000000000000000e+01,7.763333333333334307e-01,4.041451884327383615e-03
2.850000000000000000e+01,7.666666666666666075e-01,4.725815626252612665e-03
3.250000000000000000e+01,7.466666666666667007e-01,4.618802153517010713e-03
3.650000000000000000e+01,7.276666666666665728e-01,3.785938897200185650e-03
4.050000000000000000e+01,7.089999999999999636e-01,4.358898943540677820e-03
4.450000000000000000e+01,6.903333333333332433e-01,4.041451884327383615e-03
4.850000000000000000e+01,6.723333333333334494e-01,4.163331998932269518e-03
5.250000000000000000e+01,6.553333333333334343e-01,4.041451884327383615e-03
5.650000000000000000e+01,6.383333333333333082e-01,4.041451884327383615e-03
6.050000000000000000e+01,6.219999999999999973e-01,4.358898943540677820e-03
6.850000000000000000e+01,5.906666666666666732e-01,3.785938897200185650e-03
7.650000000000000000e+01,5.609999999999999432e-01,4.358898943540613635e-03
8.450000000000000000e+01,5.323333333333333250e-01,4.163331998932269518e-03
9.250000000000000000e+01,5.050000000000000044e-01,3.605551275463992570e-03
1.010000000000000000e+02,4.793333333333333335e-01,3.511884584284249728e-03
1.090000000000000000e+02,4.553333333333333677e-01,3.511884584284249728e-03
