Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,2.749999999999999667e-01,2.264950330581223803e-02
1.000000000000000000e+00,2.649999999999999578e-01,1.802775637731993119e-02
1.500000000000000000e+00,2.546666666666666523e-01,1.607275126832160422e-02
2.000000000000000000e+00,2.483333333333333226e-01,1.569500982265808683e-02
2.500000000000000000e+00,2.483333333333333226e-01,2.122105872319601447e-02
3.000000000000000000e+00,2.399999999999999911e-01,1.609347693943108393e-02
3.500000000000000000e+00,2.353333333333333111e-01,1.569500982265806949e-02
4.000000000000000000e+00,2.329999999999999849e-01,1.509966887054149838e-02
4.500000000000000000e+00,2.283333333333333048e-01,1.464012750399849676e-02
5.500000000000000000e+00,2.193333333333332968e-01,1.692138686199607181e-02
6.500000000000000000e+00,2.136666666666666714e-01,1.553490693030806086e-02
7.500000000000000000e+00,2.073333333333333417e-01,1.625833119767626511e-02
8.500000000000000000e+00,1.989999999999999825e-01,1.212435565298213697e-02
9.500000000000000000e+00,1.953333333333333588e-01,1.457166199626292596e-02
1.050000000000000000e+01,1.896666666666666501e-01,1.150362261782494032e-02
1.150000000000000000e+01,1.856666666666666465e-01,9.609023536933058302e-03
1.250000000000000000e+01,1.800000000000000211e-01,1.248999599679679468e-02
1.450000000000000000e+01,1.736666666666666636e-01,1.123981020005823672e-02
1.650000000000000000e+01,1.646666666666666556e-01,1.101514109457219989e-02
1.850000000000000000e+01,1.593333333333333268e-01,1.205542754668341258e-02
2.050000000000000000e+01,1.526666666666666450e-01,1.001665280087782155e-02
2.250000000000000000e+01,1.470000000000000195e-01,9.165151389911677451e-03
2.450000000000000000e+01,1.426666666666666916e-01,9.018499505645783190e-03
2.650000000000000000e+01,1.403333333333333377e-01,8.621678104251701696e-03
2.850000000000000000e+01,1.370000000000000107e-01,9.539392014169451040e-03
3.250000000000000000e+01,1.303333333333333288e-01,9.018499505645797068e-03
3.650000000000000000e+01,1.250000000000000000e-01,1.000000000000000194e-02
4.050000000000000000e+01,1.213333333333333347e-01,8.621678104251708635e-03
4.450000000000000000e+01,1.173333333333333311e-01,9.018499505645788394e-03
4.850000000000000000e+01,1.139999999999999902e-01,8.544003745317531318e-03
5.250000000000000000e+01,1.123333333333333267e-01,7.637626158259734101e-03
5.650000000000000000e+01,1.110000000000000014e-01,6.557438524302005960e-03
6.050000000000000000e+01,1.078999999999999959e-01,7.709085548883217592e-03
6.850000000000000000e+01,1.045333333333333253e-01,7.311178655547496269e-03
7.650000000000000000e+01,1.016666666666666691e-01,7.094598884597585857e-03
8.450000000000000000e+01,9.993333333333333235e-02,7.322112627741616912e-03
9.250000000000000000e+01,9.740000000000000047e-02,6.823488843692787457e-03
1.010000000000000000e+02,9.476666666666666572e-02,6.565312889218100426e-03
1.090000000000000000e+02,9.329999999999999405e-02,6.322183167229503131e-03
1.170000000000000000e+02,9.126666666666667649e-02,6.379132647416369678e-03
