Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,4.879999999999999893e-01,1.374772708486753092e-02
1.000000000000000000e+00,4.693333333333333246e-01,1.222020185321555374e-02
1.500000000000000000e+00,4.490000000000000102e-01,1.452583904633396317e-02
2.000000000000000000e+00,4.376666666666666483e-01,1.331665623695879770e-02
2.500000000000000000e+00,4.243333333333332846e-01,1.457166199626294158e-02
3.000000000000000000e+00,4.129999999999999782e-01,1.216552506059641846e-02
3.500000000000000000e+00,4.023333333333332651e-01,1.484362938547486785e-02
4.000000000000000000e+00,3.890000000000000124e-01,9.165151389911687860e-03
4.500000000000000000e+00,3.779999999999999472e-01,1.113552872566005332e-02
5.500000000000000000e+00,3.546666666666666856e-01,1.365039681962882875e-02
6.500000000000000000e+00,3.353333333333333166e-01,1.289702808143539103e-02
7.500000000000000000e+00,3.183333333333333570e-01,1.457166199626294158e-02
8.500000000000000000e+00,3.013333333333332864e-01,1.250333288900738055e-02
9.500000000000000000e+00,2.866666666666666807e-01,1.021436896402968565e-02
1.050000000000000000e+01,2.706666666666666665e-01,1.401189970465578465e-02
1.150000000000000000e+01,2.586666666666666559e-01,1.234233905438242296e-02
1.250000000000000000e+01,2.463333333333333208e-01,1.289702808143539797e-02
1.450000000000000000e+01,2.216666666666666785e-01,1.305118130030127367e-02
1.650000000000000000e+01,2.016666666666666607e-01,1.006644591369432878e-02
1.850000000000000000e+01,1.836666666666666725e-01,1.365039681962884437e-02
2.050000000000000000e+01,1.676666666666666583e-01,1.021436896402970126e-02
2.250000000000000000e+01,1.523333333333333206e-01,1.001665280087782155e-02
2.450000000000000000e+01,1.406666666666666621e-01,9.451631252505209718e-03
2.650000000000000000e+01,1.296666666666666801e-01,7.767453465154036500e-03
2.850000000000000000e+01,1.199999999999999956e-01,9.848857801796105996e-03
3.250000000000000000e+01,1.037333333333333441e-01,7.975796720913421248e-03
3.650000000000000000e+01,9.023333333333333206e-02,8.144527815247076807e-03
4.050000000000000000e+01,7.833333333333332427e-02,7.245918391296806219e-03
4.450000000000000000e+01,7.000000000000000666e-02,6.579513659838394368e-03
4.850000000000000000e+01,6.229999999999999427e-02,6.559725604017287333e-03
5.250000000000000000e+01,5.663333333333333414e-02,6.981642595645619342e-03
5.650000000000000000e+01,5.066666666666666541e-02,5.463820397243427697e-03
6.050000000000000000e+01,4.709999999999999604e-02,6.173329733620261731e-03
6.850000000000000000e+01,4.146666666666667250e-02,5.727419430540539938e-03
7.650000000000000000e+01,3.673333333333333311e-02,4.101625693957621638e-03
8.450000000000000000e+01,3.309999999999999748e-02,4.782258880487336855e-03
9.250000000000000000e+01,3.049999999999999933e-02,4.853864439804639157e-03
1.010000000000000000e+02,2.816666666666666971e-02,4.272391992003229944e-03
1.090000000000000000e+02,2.696666666666666656e-02,4.645786621588785491e-03
1.170000000000000000e+02,2.563333333333333089e-02,5.352880844305553387e-03
1.250000000000000000e+02,2.419999999999999929e-02,4.828043081829324311e-03
1.410000000000000000e+02,2.286666666666666362e-02,4.742713709821975467e-03
1.570000000000000000e+02,2.230000000000000038e-02,3.915354390090377765e-03
1.730000000000000000e+02,2.139999999999999888e-02,3.551056180912940362e-03
1.890000000000000000e+02,1.983333333333333129e-02,3.742102795666273508e-03
2.050000000000000000e+02,1.943333333333333371e-02,4.219399641339195706e-03
2.210000000000000000e+02,1.919999999999999832e-02,3.799999999999999992e-03
2.370000000000000000e+02,1.876666666666666761e-02,3.507610772781571355e-03
2.530000000000000000e+02,1.870000000000000134e-02,3.304542328371661182e-03
2.850000000000000000e+02,1.700000000000000122e-02,3.451086785347480534e-03
3.170000000000000000e+02,1.560000000000000102e-02,3.269556544854362867e-03
3.490000000000000000e+02,1.449999999999999900e-02,3.080584360149872525e-03
3.810000000000000000e+02,1.356666666666666611e-02,3.098924544633723833e-03
4.130000000000000000e+02,1.303333333333333253e-02,2.010804150914089101e-03
4.450000000000000000e+02,1.213999999999999975e-02,2.454954174725059585e-03
4.770000000000000000e+02,1.052999999999999943e-02,2.668838698760193136e-03
5.090000000000000000e+02,1.034666666666666547e-02,2.739075269745855530e-03
5.730000000000000000e+02,9.026666666666667213e-03,2.214527790146995131e-03
6.370000000000000000e+02,8.139999999999999666e-03,1.794686602167631928e-03
7.010000000000000000e+02,7.376666666666666788e-03,1.740124516617512669e-03
7.650000000000000000e+02,6.150000000000000085e-03,1.398606449291579573e-03
8.290000000000000000e+02,5.443333333333333877e-03,1.265003293803353612e-03
8.930000000000000000e+02,4.366666666666667133e-03,3.585154575933004965e-04
9.570000000000000000e+02,4.226666666666666766e-03,1.062136212231431847e-03
1.020000000000000000e+03,3.949999999999999518e-03,8.571464285639882616e-04
1.150000000000000000e+03,3.173333333333333561e-03,1.146923420867031326e-03
1.280000000000000000e+03,2.546666666666666697e-03,1.266227994214839340e-04
1.400000000000000000e+03,1.826666666666666543e-03,4.669403959107986638e-04
1.530000000000000000e+03,1.420000000000000038e-03,2.900000000000000017e-04
1.660000000000000000e+03,1.137333333333333295e-03,2.592321996460573096e-04
1.790000000000000000e+03,1.067666666666666634e-03,2.435083845236819117e-04
1.920000000000000000e+03,7.230000000000000098e-04,1.862283544468993550e-04
2.040000000000000000e+03,7.313333333333332928e-04,3.006282310983672719e-04
2.300000000000000000e+03,3.613333333333332981e-04,1.625833119767626118e-05
2.560000000000000000e+03,4.506666666666666525e-04,2.915413063929935293e-04
2.810000000000000000e+03,4.949999999999999973e-04,1.555602777061033742e-04
3.070000000000000000e+03,7.056666666666666166e-04,2.766971870715952044e-04
3.320000000000000000e+03,4.169999999999999987e-04,2.392759912736754503e-04
3.580000000000000000e+03,2.973333333333333145e-04,1.375366617790810308e-04
3.840000000000000000e+03,1.026666666666666640e-04,1.060119018475441384e-04
4.090000000000000000e+03,1.280666666666666715e-04,1.085744598574330108e-04
4.600000000000000000e+03,2.436666666666666625e-04,1.374857568380569769e-04
5.120000000000000000e+03,1.583333333333333240e-04,2.742413778650722319e-04
5.630000000000000000e+03,2.010000000000000068e-04,1.794240786516681542e-04
6.140000000000000000e+03,2.620000000000000258e-04,2.089760751856537229e-04
6.650000000000000000e+03,2.516666666666666943e-04,1.173726259965812322e-04
7.160000000000000000e+03,2.546666666666666588e-04,1.650252505931542864e-05
7.680000000000000000e+03,2.545666666666666564e-04,2.013726975866721928e-04
8.190000000000000000e+03,3.262000000000000142e-04,2.129115309230573440e-04
9.210000000000000000e+03,4.143333333333333937e-04,1.263421281019650073e-04
1.020000000000000000e+04,3.436666666666666537e-04,2.932581343003691282e-04
1.130000000000000000e+04,2.328999999999999961e-04,1.239226775049667847e-04
1.230000000000000000e+04,3.000666666666666781e-04,2.078485345951068769e-04
1.330000000000000000e+04,1.251033333333333457e-04,1.123185293410367469e-04
1.430000000000000000e+04,8.659099999999999816e-05,7.591967362284956079e-05
1.540000000000000000e+04,1.563333333333333296e-04,8.476044675043503478e-05
1.640000000000000000e+04,2.683333333333333143e-04,1.096007907514052944e-04
1.840000000000000000e+04,1.086999999999999994e-04,1.267184674781067640e-04
2.050000000000000000e+04,2.453333333333333516e-04,9.847503913852143878e-05
2.250000000000000000e+04,1.643000000000000092e-04,9.531143687931685796e-05
2.460000000000000000e+04,3.876666666666666390e-04,6.542425645991961462e-05
2.660000000000000000e+04,2.689999999999999791e-04,1.649818171799546972e-04
2.870000000000000000e+04,3.607999999999999337e-04,2.603315578257849516e-04
3.070000000000000000e+04,4.383333333333333266e-04,1.238237995432756998e-04
3.280000000000000000e+04,2.700000000000000035e-04,3.726929030716846005e-05
3.690000000000000000e+04,2.550000000000000183e-04,1.611862276995153144e-04
4.100000000000000000e+04,3.196666666666666667e-04,1.212201853378113363e-04
4.510000000000000000e+04,3.046666666666666273e-04,9.473295801004701111e-05
4.910000000000000000e+04,3.393333333333333596e-04,1.859498140180122349e-04
5.320000000000000000e+04,2.423333333333333329e-04,9.128161552762601621e-05
5.730000000000000000e+04,2.336333333333333111e-04,1.764097597451267394e-04
6.140000000000000000e+04,2.456666666666666569e-04,7.813663246732184043e-05
6.550000000000000000e+04,2.993333333333333089e-04,6.697263122599657055e-05
7.370000000000000000e+04,3.323333333333333521e-04,3.323151115031235125e-05
8.190000000000000000e+04,2.227333333333333173e-04,1.579240745843816271e-04
9.010000000000000000e+04,2.636666666666666607e-04,1.587996641474198622e-04
9.830000000000000000e+04,2.345666666666666852e-04,1.622182583229561496e-04
1.060000000000000000e+05,1.659999999999999963e-04,1.081295519273061664e-04
1.150000000000000000e+05,2.833333333333333537e-04,9.750042734949079457e-05
1.230000000000000000e+05,1.559666666666666721e-04,9.965191083633736851e-05
1.310000000000000000e+05,3.166666666666666480e-04,1.199847212495546637e-04
1.470000000000000000e+05,1.428333333333333538e-04,9.686889765726321340e-05
1.640000000000000000e+05,1.545666666666666651e-04,7.162027180438045753e-05
1.800000000000000000e+05,1.969999999999999909e-04,2.233830790368867213e-05
1.970000000000000000e+05,2.290000000000000369e-04,7.960527620704545661e-05
2.130000000000000000e+05,2.693333333333332844e-04,1.292529819127331717e-04
2.290000000000000000e+05,1.813333333333333409e-04,2.213534127438141223e-04
2.460000000000000000e+05,1.118000000000000070e-04,4.465109181195910066e-05
2.620000000000000000e+05,3.133333333333333782e-04,1.007290093931898704e-04
2.950000000000000000e+05,4.096666666666666859e-04,6.785523806850382795e-05
3.280000000000000000e+05,3.116666666666666348e-04,1.075282908509817855e-04
3.600000000000000000e+05,3.080000000000000055e-04,4.272001872658766092e-05
3.930000000000000000e+05,3.323333333333333521e-04,6.750061728112815012e-05
4.260000000000000000e+05,2.753333333333333219e-04,1.705706109895058307e-04
4.590000000000000000e+05,2.643333333333333255e-04,1.553200995793311060e-04
4.920000000000000000e+05,2.213333333333333374e-04,8.604843597261563435e-05
5.240000000000000000e+05,3.890000000000000228e-04,2.707397274136178091e-05
5.900000000000000000e+05,3.939999999999999817e-04,1.870721785835616625e-04
6.550000000000000000e+05,3.663333333333333112e-04,2.525951965761291163e-04
7.210000000000000000e+05,3.576666666666667230e-04,1.001665280087781417e-04
7.860000000000000000e+05,3.028333333333333398e-04,2.032586611520732453e-04
8.520000000000000000e+05,2.039999999999999713e-04,1.862605701698563654e-04
9.180000000000000000e+05,2.873333333333332883e-04,3.412232895529453911e-05
9.830000000000000000e+05,3.789999999999999966e-04,2.351595203260969632e-05
1.050000000000000000e+06,3.660000000000000059e-04,9.959417653658271096e-05
1.180000000000000000e+06,3.596666666666667174e-04,2.278471710013827204e-04
1.310000000000000000e+06,2.997999999999999689e-04,2.460254458384335307e-04
1.440000000000000000e+06,1.739000000000000257e-04,9.539564979599437318e-05
1.570000000000000000e+06,2.689666666666666811e-04,2.103088284721622175e-04
1.700000000000000000e+06,3.206666666666666368e-04,7.112196097783956596e-05
1.840000000000000000e+06,3.343333333333333465e-04,2.301528477628146348e-04
1.970000000000000000e+06,3.143333333333332941e-04,2.518518082788633126e-04
2.100000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.360000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.620000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.880000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.410000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.670000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.930000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
4.720000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.240000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.770000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.290000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.820000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
