Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.500555555555554532e-01,2.244856139035936171e-02
1.000000000000000000e+00,8.491666666666666252e-01,2.071444508776709367e-02
1.500000000000000000e+00,8.439444444444443860e-01,1.938001463674014074e-02
2.000000000000000000e+00,8.403888888888888520e-01,1.913770189931195131e-02
2.500000000000000000e+00,8.367222222222221450e-01,1.896996249664672368e-02
3.000000000000000000e+00,8.343888888888888467e-01,1.888086142379566401e-02
3.500000000000000000e+00,8.311666666666666092e-01,1.902397867707704415e-02
4.000000000000000000e+00,8.288888888888887863e-01,1.932048254448199762e-02
4.500000000000000000e+00,8.269444444444443709e-01,1.995427780237556820e-02
5.500000000000000000e+00,8.220555555555555394e-01,2.052680377464093792e-02
6.500000000000000000e+00,8.176666666666666528e-01,2.088342996394084231e-02
7.500000000000000000e+00,8.141666666666667052e-01,2.168558751526809825e-02
8.500000000000000000e+00,8.099444444444445779e-01,2.254530659967171960e-02
9.500000000000000000e+00,8.061111111111112226e-01,2.298052599840563759e-02
1.050000000000000000e+01,8.030555555555556335e-01,2.319095214599666693e-02
1.150000000000000000e+01,7.993888888888888156e-01,2.394144545464027204e-02
1.250000000000000000e+01,7.959444444444446765e-01,2.487491583721431615e-02
1.450000000000000000e+01,7.900555555555555109e-01,2.651630402384478127e-02
1.650000000000000000e+01,7.841111111111112031e-01,2.788397998617272305e-02
1.850000000000000000e+01,7.787222222222220935e-01,2.920275078814959374e-02
2.050000000000000000e+01,7.729999999999999094e-01,3.087165080667719774e-02
2.250000000000000000e+01,7.678888888888889541e-01,3.221780452024278207e-02
2.450000000000000000e+01,7.628888888888889497e-01,3.316072958980404578e-02
2.650000000000000000e+01,7.580555555555554825e-01,3.442549025191898177e-02
2.850000000000000000e+01,7.533333333333334103e-01,3.574583480466436008e-02
3.250000000000000000e+01,7.447222222222221744e-01,3.786478350744081067e-02
3.650000000000000000e+01,7.363333333333332842e-01,3.967515150643819571e-02
4.050000000000000000e+01,7.283333333333333881e-01,4.146153426405506381e-02
4.450000000000000000e+01,7.213888888888888573e-01,4.327496068423658526e-02
4.850000000000000000e+01,7.143333333333333757e-01,4.467661580737735533e-02
5.250000000000000000e+01,7.077777777777778390e-01,4.596873049156933316e-02
5.650000000000000000e+01,7.015000000000000124e-01,4.701970800820088475e-02
6.050000000000000000e+01,6.956666666666665444e-01,4.797671003604093987e-02
6.850000000000000000e+01,6.846111111111110592e-01,4.977022366233341266e-02
7.650000000000000000e+01,6.742777777777777537e-01,5.116847093963872856e-02
8.450000000000000000e+01,6.646111111111110414e-01,5.245181417699025517e-02
9.250000000000000000e+01,6.558333333333332682e-01,5.323781274510019229e-02
1.010000000000000000e+02,6.471666666666665568e-01,5.424373100129799286e-02
1.090000000000000000e+02,6.390555555555555989e-01,5.486290102151664821e-02
1.170000000000000000e+02,6.316111111111112342e-01,5.542258924565697520e-02
1.250000000000000000e+02,6.242222222222221228e-01,5.577850688271746710e-02
1.410000000000000000e+02,6.097222222222222765e-01,5.663796851162815338e-02
1.570000000000000000e+02,5.962777777777779065e-01,5.730496904391609719e-02
1.730000000000000000e+02,5.835000000000000187e-01,5.782554900428579087e-02
1.890000000000000000e+02,5.712777777777778843e-01,5.838896506900996541e-02
2.050000000000000000e+02,5.593333333333332380e-01,5.869161679791196767e-02
2.210000000000000000e+02,5.479444444444445672e-01,5.910257506306276082e-02
2.370000000000000000e+02,5.366666666666666252e-01,5.955817719329761090e-02
2.530000000000000000e+02,5.261666666666666714e-01,5.988542982965350259e-02
2.850000000000000000e+02,5.053888888888888875e-01,6.055249437606512186e-02
3.170000000000000000e+02,4.857777777777777528e-01,6.138265280483955200e-02
3.490000000000000000e+02,4.669444444444443842e-01,6.196533397294880924e-02
3.810000000000000000e+02,4.492777777777777759e-01,6.238759827321975482e-02
4.130000000000000000e+02,4.325555555555556375e-01,6.292686905983169154e-02
4.450000000000000000e+02,4.164999999999999813e-01,6.312569160949028924e-02
4.770000000000000000e+02,4.013333333333333197e-01,6.358505188744767445e-02
5.090000000000000000e+02,3.868888888888888933e-01,6.352293600498021275e-02
5.730000000000000000e+02,3.597777777777777519e-01,6.356613559727569696e-02
6.370000000000000000e+02,3.351666666666666683e-01,6.340277410891329013e-02
7.010000000000000000e+02,3.125555555555555864e-01,6.261668845605471156e-02
7.650000000000000000e+02,2.920555555555555127e-01,6.179898364119726373e-02
8.290000000000000000e+02,2.731666666666667243e-01,6.092932260366248909e-02
8.930000000000000000e+02,2.558888888888888880e-01,5.965182201141090018e-02
9.570000000000000000e+02,2.400000000000000189e-01,5.841333449700352592e-02
1.020000000000000000e+03,2.255000000000000060e-01,5.671212133117887327e-02
1.150000000000000000e+03,1.993888888888888655e-01,5.354727310999449902e-02
1.280000000000000000e+03,1.768333333333333146e-01,5.023620676950276559e-02
1.400000000000000000e+03,1.575555555555555598e-01,4.674237556225201151e-02
1.530000000000000000e+03,1.410611111111111371e-01,4.320785793033606048e-02
1.660000000000000000e+03,1.268500000000000183e-01,4.013893884701869724e-02
1.790000000000000000e+03,1.144055555555555798e-01,3.699519002474943585e-02
1.920000000000000000e+03,1.033000000000000029e-01,3.402732466018172641e-02
2.040000000000000000e+03,9.392222222222221251e-02,3.138841216596745254e-02
2.300000000000000000e+03,7.799999999999999989e-02,2.671027561687471311e-02
2.560000000000000000e+03,6.559999999999999165e-02,2.273936726317185575e-02
2.810000000000000000e+03,5.569444444444445613e-02,1.925740414435665737e-02
3.070000000000000000e+03,4.782222222222223124e-02,1.648705572671929978e-02
3.320000000000000000e+03,4.169444444444442982e-02,1.422563850411197491e-02
3.580000000000000000e+03,3.691111111111110982e-02,1.264189528274416857e-02
3.840000000000000000e+03,3.314999999999999197e-02,1.163267456980804707e-02
4.090000000000000000e+03,3.050555555555554965e-02,1.104671749074182668e-02
4.600000000000000000e+03,2.658888888888888760e-02,1.062034057772763204e-02
5.120000000000000000e+03,2.383166666666667113e-02,1.062654514716358280e-02
5.630000000000000000e+03,2.110166666666666788e-02,1.090086518422762017e-02
6.140000000000000000e+03,1.894500000000000350e-02,1.052134986307253633e-02
6.650000000000000000e+03,1.734277777777777640e-02,1.052057301366934698e-02
7.160000000000000000e+03,1.620944444444444646e-02,1.078509072869318977e-02
7.680000000000000000e+03,1.549222222222221973e-02,1.049474297281069446e-02
8.190000000000000000e+03,1.549833333333333271e-02,1.040664903403814429e-02
9.210000000000000000e+03,1.522833333333333504e-02,9.399758601405988623e-03
1.020000000000000000e+04,1.394722222222222197e-02,8.460192464474299359e-03
1.130000000000000000e+04,1.345111111111111160e-02,8.149962027258265268e-03
1.230000000000000000e+04,1.293611111111111177e-02,8.507433523889487356e-03
1.330000000000000000e+04,1.233777777777777911e-02,8.805405128506249568e-03
1.430000000000000000e+04,1.215333333333333196e-02,8.829147583930373536e-03
1.540000000000000000e+04,1.203611111111111028e-02,9.248134399395428057e-03
1.640000000000000000e+04,1.151666666666666637e-02,8.874576377628002125e-03
1.840000000000000000e+04,1.106055555555555611e-02,8.545707193550952652e-03
2.050000000000000000e+04,1.056722222222222091e-02,7.699539180676415705e-03
2.250000000000000000e+04,1.105999999999999692e-02,7.519170010517039864e-03
2.460000000000000000e+04,1.094722222222222277e-02,7.748800139039026952e-03
2.660000000000000000e+04,1.066499999999999913e-02,6.736587764282623778e-03
2.870000000000000000e+04,9.847777777777779948e-03,6.815639071115224892e-03
3.070000000000000000e+04,9.918333333333332821e-03,7.426798257186010416e-03
3.280000000000000000e+04,9.835555555555555718e-03,7.676874534234559566e-03
3.690000000000000000e+04,9.923888888888888343e-03,7.397160137821484974e-03
4.100000000000000000e+04,8.858888888888888369e-03,6.331417357245846395e-03
4.510000000000000000e+04,8.888333333333334890e-03,5.467419275070438921e-03
4.910000000000000000e+04,8.306666666666667059e-03,4.879170614187716692e-03
5.320000000000000000e+04,8.603888888888888350e-03,4.875396984003865092e-03
5.730000000000000000e+04,8.175555555555553966e-03,5.827550410837272106e-03
6.140000000000000000e+04,8.421111111111110117e-03,4.797403573366705240e-03
6.550000000000000000e+04,8.872777777777778041e-03,4.883654376116257356e-03
7.370000000000000000e+04,7.463888888888888830e-03,4.399326337318274285e-03
8.190000000000000000e+04,7.472222222222223847e-03,3.668072992338645803e-03
9.010000000000000000e+04,7.175555555555556547e-03,4.355352653003674405e-03
9.830000000000000000e+04,6.968888888888889049e-03,4.265858838966302656e-03
