Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,7.640000000000001235e-01,6.082762530298224841e-03
1.000000000000000000e+00,7.349999999999999867e-01,6.244997998398403409e-03
1.500000000000000000e+00,7.063333333333332575e-01,4.041451884327383615e-03
2.000000000000000000e+00,6.786666666666666403e-01,5.131601439446888124e-03
2.500000000000000000e+00,6.573333333333333250e-01,3.055050463303895809e-03
3.000000000000000000e+00,6.356666666666667131e-01,3.214550253664321365e-03
3.500000000000000000e+00,6.149999999999999911e-01,3.605551275463992570e-03
4.000000000000000000e+00,5.959999999999999742e-01,2.000000000000001776e-03
4.500000000000000000e+00,5.773333333333333650e-01,2.516611478423585232e-03
5.500000000000000000e+00,5.443333333333333357e-01,3.055050463303895809e-03
6.500000000000000000e+00,5.143333333333334201e-01,2.516611478423585232e-03
7.500000000000000000e+00,4.856666666666666354e-01,2.081665999466134759e-03
8.500000000000000000e+00,4.630000000000000226e-01,1.732050807568879126e-03
9.500000000000000000e+00,4.386666666666667047e-01,1.154700538379252678e-03
1.050000000000000000e+01,4.169999999999999818e-01,2.645751311064592926e-03
1.150000000000000000e+01,3.963333333333333708e-01,2.081665999466134759e-03
1.250000000000000000e+01,3.776666666666666505e-01,2.516611478423585666e-03
1.450000000000000000e+01,3.426666666666666750e-01,2.516611478423559645e-03
1.650000000000000000e+01,3.119999999999999996e-01,2.000000000000001776e-03
1.850000000000000000e+01,2.833333333333332704e-01,2.081665999466103534e-03
2.050000000000000000e+01,2.573333333333333584e-01,2.886751345948131153e-03
2.250000000000000000e+01,2.346666666666666623e-01,1.527525231651932942e-03
2.450000000000000000e+01,2.129999999999999949e-01,2.000000000000001776e-03
2.650000000000000000e+01,1.936666666666666536e-01,2.309401076758505356e-03
2.850000000000000000e+01,1.773333333333333428e-01,2.081665999466134759e-03
3.250000000000000000e+01,1.466666666666666397e-01,2.516611478423585232e-03
3.650000000000000000e+01,1.223333333333333356e-01,2.516611478423585232e-03
4.050000000000000000e+01,1.015333333333333227e-01,2.247962040011647691e-03
4.450000000000000000e+01,8.486666666666665970e-02,2.433789911502906578e-03
4.850000000000000000e+01,7.063333333333332575e-02,2.702468007827910600e-03
5.250000000000000000e+01,5.846666666666666679e-02,1.800925687898679304e-03
5.650000000000000000e+01,4.916666666666666408e-02,1.855622087962238102e-03
