Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.205833333333334423e-01,3.439201369592371355e-02
1.000000000000000000e+00,8.016666666666667496e-01,4.159618280855134631e-02
1.500000000000000000e+00,7.808333333333332682e-01,4.842394849533427498e-02
2.000000000000000000e+00,7.629999999999999005e-01,5.478055394854173393e-02
2.500000000000000000e+00,7.474166666666666181e-01,6.116216645983534039e-02
3.000000000000000000e+00,7.334999999999999298e-01,6.626187715146893142e-02
3.500000000000000000e+00,7.191666666666667318e-01,7.172147305354023561e-02
4.000000000000000000e+00,7.062499999999999334e-01,7.631766744100848543e-02
4.500000000000000000e+00,6.935833333333333295e-01,8.033051988031962576e-02
5.500000000000000000e+00,6.703333333333333366e-01,8.940239302606996230e-02
6.500000000000000000e+00,6.484999999999999654e-01,9.717135754569204698e-02
7.500000000000000000e+00,6.276666666666664840e-01,1.022193126507309063e-01
8.500000000000000000e+00,6.097500000000000142e-01,1.074811822853402737e-01
9.500000000000000000e+00,5.921666666666666190e-01,1.143032913972402836e-01
1.050000000000000000e+01,5.752499999999999281e-01,1.198955037446434724e-01
1.150000000000000000e+01,5.602500000000000258e-01,1.240389418324305548e-01
1.250000000000000000e+01,5.455833333333333091e-01,1.287855570200699962e-01
1.450000000000000000e+01,5.171666666666666634e-01,1.364809899072416954e-01
1.650000000000000000e+01,4.910833333333333162e-01,1.432825932036111416e-01
1.850000000000000000e+01,4.683333333333333237e-01,1.491547904532453117e-01
2.050000000000000000e+01,4.465833333333333321e-01,1.544794533753648391e-01
2.250000000000000000e+01,4.261666666666667491e-01,1.584480605081295401e-01
2.450000000000000000e+01,4.079166666666666496e-01,1.624250643070567213e-01
2.650000000000000000e+01,3.910000000000000142e-01,1.655305519726301966e-01
2.850000000000000000e+01,3.757500000000000284e-01,1.682482608312111660e-01
3.250000000000000000e+01,3.480833333333333557e-01,1.722210304618263799e-01
3.650000000000000000e+01,3.235000000000000653e-01,1.751542177625192431e-01
4.050000000000000000e+01,3.023333333333333428e-01,1.755683411787057613e-01
4.450000000000000000e+01,2.843499999999999917e-01,1.763884839572223417e-01
4.850000000000000000e+01,2.684500000000000219e-01,1.758943096914115101e-01
5.250000000000000000e+01,2.548083333333333034e-01,1.756825776964255625e-01
5.650000000000000000e+01,2.424333333333333063e-01,1.748095084439751923e-01
6.050000000000000000e+01,2.321249999999999980e-01,1.736876199335514459e-01
6.850000000000000000e+01,2.138583333333333447e-01,1.704602617425343969e-01
7.650000000000000000e+01,1.996500000000000219e-01,1.668885992075388736e-01
8.450000000000000000e+01,1.876166666666666816e-01,1.630917245174034191e-01
9.250000000000000000e+01,1.776083333333333403e-01,1.591576831512089008e-01
1.010000000000000000e+02,1.693999999999999950e-01,1.553610691845991876e-01
1.090000000000000000e+02,1.618916666666666559e-01,1.521305029382419016e-01
1.170000000000000000e+02,1.564008333333332945e-01,1.486809561968379934e-01
1.250000000000000000e+02,1.513083333333332947e-01,1.455360433228161110e-01
1.410000000000000000e+02,1.422275000000000067e-01,1.393653616235201453e-01
1.570000000000000000e+02,1.350733333333333508e-01,1.338901428467202392e-01
1.730000000000000000e+02,1.287266666666666837e-01,1.284767098337164237e-01
1.890000000000000000e+02,1.233591666666666725e-01,1.237572365163003840e-01
2.050000000000000000e+02,1.181708333333333361e-01,1.188477500806911502e-01
2.210000000000000000e+02,1.134583333333333416e-01,1.146107658621787484e-01
2.370000000000000000e+02,1.091691666666666921e-01,1.103714609405507391e-01
2.530000000000000000e+02,1.052841666666666787e-01,1.066290047064914204e-01
2.850000000000000000e+02,9.791666666666665186e-02,9.937267754480726134e-02
3.170000000000000000e+02,9.083383333333333587e-02,9.265124557847252695e-02
3.490000000000000000e+02,8.503800000000000248e-02,8.657814681651379574e-02
3.810000000000000000e+02,7.940541666666665888e-02,8.109313207827867354e-02
4.130000000000000000e+02,7.460999999999999577e-02,7.566089526781501207e-02
4.450000000000000000e+02,6.976749999999999619e-02,7.052616692019031408e-02
4.770000000000000000e+02,6.509500000000000008e-02,6.616572135039548719e-02
5.090000000000000000e+02,6.130233333333331980e-02,6.217582146159584405e-02
5.730000000000000000e+02,5.375258333333333277e-02,5.528202196745888447e-02
6.370000000000000000e+02,4.723291666666667304e-02,4.866474355210786973e-02
7.010000000000000000e+02,4.178791666666667459e-02,4.307512729355608694e-02
7.650000000000000000e+02,3.724475000000000008e-02,3.871404003512044639e-02
8.290000000000000000e+02,3.322008333333333757e-02,3.446296592116432356e-02
8.930000000000000000e+02,2.956291666666667137e-02,3.052910158716919467e-02
9.570000000000000000e+02,2.650075000000000000e-02,2.732194745196948188e-02
1.020000000000000000e+03,2.399750000000000494e-02,2.481238528162168708e-02
1.150000000000000000e+03,1.957216666666666827e-02,2.028016033123520787e-02
1.280000000000000000e+03,1.600641666666666532e-02,1.602106396114096054e-02
1.400000000000000000e+03,1.314325000000000042e-02,1.361581796110685437e-02
1.530000000000000000e+03,1.105949999999999989e-02,1.146132130650341120e-02
1.660000000000000000e+03,9.615666666666666459e-03,9.515035941587240281e-03
1.790000000000000000e+03,8.209833333333334607e-03,8.089839023382507446e-03
1.920000000000000000e+03,7.253749999999999781e-03,6.889355849622465049e-03
2.040000000000000000e+03,6.314583333333334374e-03,6.333198939762279232e-03
2.300000000000000000e+03,5.105391666666666238e-03,5.294010085586150181e-03
2.560000000000000000e+03,4.622499999999999873e-03,4.475462241235788653e-03
2.810000000000000000e+03,3.927499999999999568e-03,3.951597709097606423e-03
3.070000000000000000e+03,3.733000000000000207e-03,3.525431501635973523e-03
3.320000000000000000e+03,3.596033333333332940e-03,3.526431455924435368e-03
3.580000000000000000e+03,3.572083333333333360e-03,3.389561233561153193e-03
3.840000000000000000e+03,3.258083333333333317e-03,3.366256714089333434e-03
4.090000000000000000e+03,2.776000000000000256e-03,2.800720004829926855e-03
4.600000000000000000e+03,2.897583333333333174e-03,2.659880566639764941e-03
5.120000000000000000e+03,2.406583333333333491e-03,2.675280833460066520e-03
5.630000000000000000e+03,2.014433333333333527e-03,2.005106072611681847e-03
6.140000000000000000e+03,1.928333333333333115e-03,2.014511144549752022e-03
6.650000000000000000e+03,1.820800000000000239e-03,2.165946471259997796e-03
7.160000000000000000e+03,2.021250000000000043e-03,1.915605678013187606e-03
7.680000000000000000e+03,1.885050000000000094e-03,1.867558852182076923e-03
8.190000000000000000e+03,1.709691666666666695e-03,1.635055460531890242e-03
9.210000000000000000e+03,1.944558333333333252e-03,2.209006974538696606e-03
