Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,7.905555555555555669e-01,1.036956015353486353e-02
1.000000000000000000e+00,7.683333333333332016e-01,9.178779875342919434e-03
1.500000000000000000e+00,7.466666666666667007e-01,9.394147114027976558e-03
2.000000000000000000e+00,7.288888888888888085e-01,7.865183475997950674e-03
2.500000000000000000e+00,7.122222222222222010e-01,7.155029311221900064e-03
3.000000000000000000e+00,6.974444444444443114e-01,8.903806926128729482e-03
3.500000000000000000e+00,6.810000000000000497e-01,9.591663046625398259e-03
4.000000000000000000e+00,6.681111111111111001e-01,9.143911149563475546e-03
4.500000000000000000e+00,6.549999999999999156e-01,8.411301920630368315e-03
5.500000000000000000e+00,6.295555555555556460e-01,1.033333333333334193e-02
6.500000000000000000e+00,6.064444444444444526e-01,1.079480327647419288e-02
7.500000000000000000e+00,5.843333333333331492e-01,1.176860229593983120e-02
8.500000000000000000e+00,5.643333333333333535e-01,1.319090595827288395e-02
9.500000000000000000e+00,5.467777777777776960e-01,1.409590168965588891e-02
1.050000000000000000e+01,5.273333333333333206e-01,1.550806241927083634e-02
1.150000000000000000e+01,5.104444444444443674e-01,1.626430993856727361e-02
1.250000000000000000e+01,4.948888888888889337e-01,1.698855824109602244e-02
1.450000000000000000e+01,4.647777777777777342e-01,1.828782229912692681e-02
1.650000000000000000e+01,4.367777777777778203e-01,2.083133323732412265e-02
1.850000000000000000e+01,4.112222222222221557e-01,2.086131454257962592e-02
2.050000000000000000e+01,3.873333333333333628e-01,2.250000000000000264e-02
2.250000000000000000e+01,3.656666666666666954e-01,2.311925604339378632e-02
2.450000000000000000e+01,3.453333333333333255e-01,2.450510150968569084e-02
2.650000000000000000e+01,3.273333333333333095e-01,2.485457704327313777e-02
2.850000000000000000e+01,3.103333333333333499e-01,2.564663720646432471e-02
3.250000000000000000e+01,2.786666666666666736e-01,2.630589287593181058e-02
3.650000000000000000e+01,2.524444444444444713e-01,2.708833287188006089e-02
4.050000000000000000e+01,2.294444444444444509e-01,2.676803649462877396e-02
4.450000000000000000e+01,2.086666666666666670e-01,2.778938646318050709e-02
4.850000000000000000e+01,1.916666666666666796e-01,2.733130073743289534e-02
5.250000000000000000e+01,1.764444444444444593e-01,2.728145483250073861e-02
5.650000000000000000e+01,1.631111111111110956e-01,2.729672345009765549e-02
6.050000000000000000e+01,1.515555555555555545e-01,2.675402358109482334e-02
6.850000000000000000e+01,1.313777777777777600e-01,2.612272850305734015e-02
7.650000000000000000e+01,1.165555555555555511e-01,2.503198509462998406e-02
8.450000000000000000e+01,1.044555555555555654e-01,2.406772273767873380e-02
9.250000000000000000e+01,9.411111111111110372e-02,2.407199848602336809e-02
1.010000000000000000e+02,8.603333333333333666e-02,2.325279553086036927e-02
1.090000000000000000e+02,7.959999999999999021e-02,2.197839848578599445e-02
1.170000000000000000e+02,7.374444444444444580e-02,2.193935454332642324e-02
1.250000000000000000e+02,6.954444444444446427e-02,2.135638728291322508e-02
1.410000000000000000e+02,6.276666666666666505e-02,2.047681615876843081e-02
1.570000000000000000e+02,5.708888888888888347e-02,1.979314555878148446e-02
1.730000000000000000e+02,5.307777777777777234e-02,1.884282209342444739e-02
1.890000000000000000e+02,4.978888888888888253e-02,1.869367837294498916e-02
2.050000000000000000e+02,4.698888888888889254e-02,1.777909196531451616e-02
2.210000000000000000e+02,4.437777777777777294e-02,1.743321383005567299e-02
2.370000000000000000e+02,4.211111111111111305e-02,1.710003248859811795e-02
2.530000000000000000e+02,3.966666666666666258e-02,1.625076921256344772e-02
2.850000000000000000e+02,3.561111111111111421e-02,1.524610150533936039e-02
