Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,7.886666666666665160e-01,3.720785189209720872e-02
1.000000000000000000e+00,7.676666666666666083e-01,4.369591895513049579e-02
1.500000000000000000e+00,7.469166666666667842e-01,5.048754721951172197e-02
2.000000000000000000e+00,7.272500000000000631e-01,5.402377422781734495e-02
2.500000000000000000e+00,7.131666666666666154e-01,5.945331756678485374e-02
3.000000000000000000e+00,6.955000000000000071e-01,6.421200680699692964e-02
3.500000000000000000e+00,6.810833333333333739e-01,6.776491225799184670e-02
4.000000000000000000e+00,6.665833333333334165e-01,7.131678156880984221e-02
4.500000000000000000e+00,6.550833333333334618e-01,7.498176546011138532e-02
5.500000000000000000e+00,6.288333333333332442e-01,8.249499525682901790e-02
6.500000000000000000e+00,6.066666666666666874e-01,8.837969052316088647e-02
7.500000000000000000e+00,5.848333333333334272e-01,9.446291560312132518e-02
8.500000000000000000e+00,5.660833333333333828e-01,9.999496199430460419e-02
9.500000000000000000e+00,5.471666666666666901e-01,1.047376231206804398e-01
1.050000000000000000e+01,5.300000000000000266e-01,1.100165276839637635e-01
1.150000000000000000e+01,5.130000000000000115e-01,1.146330112695608666e-01
1.250000000000000000e+01,4.982500000000000817e-01,1.176590799339731902e-01
1.450000000000000000e+01,4.685833333333332962e-01,1.250530493491268658e-01
1.650000000000000000e+01,4.426666666666667083e-01,1.315476639047150897e-01
1.850000000000000000e+01,4.182500000000000662e-01,1.365238074476389785e-01
2.050000000000000000e+01,3.960000000000000742e-01,1.424914670491471136e-01
2.250000000000000000e+01,3.760833333333333806e-01,1.463516675889298124e-01
2.450000000000000000e+01,3.580000000000000404e-01,1.505040017589384382e-01
2.650000000000000000e+01,3.406666666666666177e-01,1.534525886705628839e-01
2.850000000000000000e+01,3.245000000000000107e-01,1.559624080580725158e-01
3.250000000000000000e+01,2.969166666666666621e-01,1.607513372393599149e-01
3.650000000000000000e+01,2.721666666666666123e-01,1.636791947312754569e-01
4.050000000000000000e+01,2.515000000000000013e-01,1.656883712384075724e-01
4.450000000000000000e+01,2.336666666666666614e-01,1.670539071042275170e-01
4.850000000000000000e+01,2.181333333333333735e-01,1.674759593783446965e-01
5.250000000000000000e+01,2.055500000000000105e-01,1.680487618628485058e-01
5.650000000000000000e+01,1.940833333333333022e-01,1.677108270659694589e-01
6.050000000000000000e+01,1.840666666666666840e-01,1.674954237276259639e-01
6.850000000000000000e+01,1.678666666666666918e-01,1.660899664931538566e-01
7.650000000000000000e+01,1.544583333333333364e-01,1.638308354721880744e-01
8.450000000000000000e+01,1.444000000000000006e-01,1.619761374119937647e-01
9.250000000000000000e+01,1.368250000000000022e-01,1.597821080266953464e-01
1.010000000000000000e+02,1.299083333333333201e-01,1.575371093848472459e-01
1.090000000000000000e+02,1.242724999999999941e-01,1.555936250812001986e-01
1.170000000000000000e+02,1.195933333333333293e-01,1.534431899216558148e-01
1.250000000000000000e+02,1.159308333333333579e-01,1.515930314696276315e-01
1.410000000000000000e+02,1.094516666666666832e-01,1.473082930352860309e-01
1.570000000000000000e+02,1.046158333333333385e-01,1.435437145616327848e-01
1.730000000000000000e+02,1.004366666666666602e-01,1.401889376606593740e-01
1.890000000000000000e+02,9.732666666666667243e-02,1.367812828990690177e-01
2.050000000000000000e+02,9.447166666666667600e-02,1.336248401535455876e-01
2.210000000000000000e+02,9.178250000000003073e-02,1.301723826403770046e-01
2.370000000000000000e+02,8.912166666666669623e-02,1.272738341196459622e-01
2.530000000000000000e+02,8.672749999999999904e-02,1.243065090905248055e-01
2.850000000000000000e+02,8.244533333333332881e-02,1.184099914222024597e-01
3.170000000000000000e+02,7.832316666666666594e-02,1.129724687151965612e-01
3.490000000000000000e+02,7.464633333333332843e-02,1.075709821866755039e-01
3.810000000000000000e+02,7.123000000000000165e-02,1.029926008816343802e-01
4.130000000000000000e+02,6.734191666666666798e-02,9.831900360326012445e-02
4.450000000000000000e+02,6.441708333333333314e-02,9.423867832212798334e-02
4.770000000000000000e+02,6.168699999999999878e-02,9.003442794640484359e-02
5.090000000000000000e+02,5.850508333333332561e-02,8.609227483816771220e-02
5.730000000000000000e+02,5.336333333333331819e-02,7.826898949640194447e-02
6.370000000000000000e+02,4.857516666666666233e-02,7.166561189153329570e-02
7.010000000000000000e+02,4.417050000000000143e-02,6.551832950542785250e-02
7.650000000000000000e+02,3.995566666666666711e-02,6.037574207988643388e-02
8.290000000000000000e+02,3.704966666666666825e-02,5.502722980048287832e-02
8.930000000000000000e+02,3.425433333333333108e-02,5.052665424278256212e-02
9.570000000000000000e+02,3.160441666666666954e-02,4.656821789289017355e-02
1.020000000000000000e+03,2.917016666666666369e-02,4.302951579351366879e-02
1.150000000000000000e+03,2.440224999999999686e-02,3.696031170698202417e-02
1.280000000000000000e+03,2.070541666666666711e-02,3.181589264805285283e-02
1.400000000000000000e+03,1.826433333333333381e-02,2.736416542698043644e-02
1.530000000000000000e+03,1.610908333333333289e-02,2.384712723868178536e-02
1.660000000000000000e+03,1.431196166666666610e-02,2.138054276008481691e-02
1.790000000000000000e+03,1.297408333333333053e-02,1.890729400598583493e-02
1.920000000000000000e+03,1.136558333333333691e-02,1.720238003860001530e-02
2.040000000000000000e+03,1.044658333333333376e-02,1.583884938691933544e-02
2.300000000000000000e+03,9.015999999999999709e-03,1.309969953853904086e-02
2.560000000000000000e+03,7.898000000000000506e-03,1.115411728303214618e-02
2.810000000000000000e+03,6.909499999999998976e-03,9.865507778481183085e-03
3.070000000000000000e+03,6.358416666666665863e-03,8.552999329935598305e-03
3.320000000000000000e+03,5.462833333333333430e-03,7.389209009621988851e-03
3.580000000000000000e+03,4.768083333333333375e-03,6.586111343485462691e-03
3.840000000000000000e+03,4.466916666666666778e-03,6.203787046610881491e-03
4.090000000000000000e+03,4.169933333333332957e-03,6.450294700714115717e-03
4.600000000000000000e+03,3.835741666666666900e-03,5.741043745848172647e-03
5.120000000000000000e+03,3.411766666666666420e-03,5.123865227688484403e-03
