Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,7.596666666666666012e-01,1.375015151431674236e-02
1.000000000000000000e+00,7.376666666666666927e-01,1.456937427162426427e-02
1.500000000000000000e+00,7.109999999999999654e-01,1.394274004634671327e-02
2.000000000000000000e+00,6.893333333333333535e-01,1.342634226685233273e-02
2.500000000000000000e+00,6.680000000000001492e-01,1.242577965360726344e-02
3.000000000000000000e+00,6.496666666666666146e-01,1.233963802818652256e-02
3.500000000000000000e+00,6.313333333333334130e-01,1.201110597183568766e-02
4.000000000000000000e+00,6.146666666666668055e-01,1.167333142965909856e-02
4.500000000000000000e+00,5.983333333333332726e-01,1.132548748031036827e-02
5.500000000000000000e+00,5.673333333333333561e-01,1.074554171117798017e-02
6.500000000000000000e+00,5.406666666666666288e-01,9.892758294159765750e-03
7.500000000000000000e+00,5.163333333333334219e-01,9.003702941938212037e-03
8.500000000000000000e+00,4.926666666666666416e-01,9.852241707685963079e-03
9.500000000000000000e+00,4.699999999999999734e-01,9.423375191511781587e-03
1.050000000000000000e+01,4.499999999999999556e-01,8.532291603080624509e-03
1.150000000000000000e+01,4.316666666666666430e-01,9.179687721631210259e-03
1.250000000000000000e+01,4.136666666666666825e-01,8.959166627910570072e-03
1.450000000000000000e+01,3.796666666666666523e-01,8.824209124146300404e-03
1.650000000000000000e+01,3.493333333333333290e-01,9.048020041239217270e-03
1.850000000000000000e+01,3.223333333333333606e-01,9.048020041239232883e-03
2.050000000000000000e+01,2.969999999999999862e-01,9.338094023943010677e-03
2.250000000000000000e+01,2.743333333333333179e-01,9.136009340333792889e-03
2.450000000000000000e+01,2.526666666666667060e-01,9.811557810392132137e-03
2.650000000000000000e+01,2.329999999999999849e-01,9.674709297958253643e-03
2.850000000000000000e+01,2.159999999999999976e-01,9.465727652959393321e-03
3.250000000000000000e+01,1.853333333333333499e-01,8.687155268939700595e-03
3.650000000000000000e+01,1.593333333333333546e-01,8.687155268939700595e-03
4.050000000000000000e+01,1.366666666666666863e-01,8.310635755865285537e-03
4.450000000000000000e+01,1.186666666666666564e-01,7.711463328491335693e-03
4.850000000000000000e+01,1.019666666666666638e-01,8.236665992175882037e-03
5.250000000000000000e+01,8.860000000000001208e-02,7.589993412381856701e-03
5.650000000000000000e+01,7.680000000000000715e-02,6.940316995642198221e-03
6.050000000000000000e+01,6.750000000000000444e-02,6.414358892360167742e-03
6.850000000000000000e+01,5.133333333333332110e-02,6.176946386902401609e-03
7.650000000000000000e+01,3.943333333333333413e-02,5.769806467002741752e-03
8.450000000000000000e+01,3.099999999999999978e-02,4.726944044517556592e-03
9.250000000000000000e+01,2.490000000000000546e-02,3.581061295202862121e-03
1.010000000000000000e+02,2.000000000000000042e-02,2.753906316489359869e-03
1.090000000000000000e+02,1.636666666666666825e-02,1.640325171015389553e-03
1.170000000000000000e+02,1.343333333333333358e-02,1.432014897501651890e-03
1.250000000000000000e+02,1.107000000000000171e-02,1.162652140582040279e-03
1.410000000000000000e+02,7.746666666666666458e-03,7.778088882666917047e-04
1.570000000000000000e+02,5.606666666666666916e-03,1.249938665161881655e-03
