Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.652499999999999636e-01,1.725279950932866527e-02
1.000000000000000000e+00,8.613333333333335062e-01,1.643352080537236956e-02
1.500000000000000000e+00,8.536666666666666847e-01,1.660959926906089776e-02
2.000000000000000000e+00,8.477500000000000036e-01,1.779747173055770335e-02
2.500000000000000000e+00,8.417499999999998872e-01,1.947084066915542866e-02
3.000000000000000000e+00,8.371666666666666146e-01,2.168297754349054682e-02
3.500000000000000000e+00,8.329166666666667496e-01,2.391826359360838677e-02
4.000000000000000000e+00,8.271666666666667167e-01,2.511730056910548015e-02
4.500000000000000000e+00,8.224166666666666847e-01,2.691892991704510768e-02
5.500000000000000000e+00,8.126666666666667593e-01,2.888954933199995231e-02
6.500000000000000000e+00,8.036666666666668624e-01,3.127105351405331385e-02
7.500000000000000000e+00,7.952500000000001235e-01,3.555565419809546268e-02
8.500000000000000000e+00,7.856666666666667354e-01,3.695779738943848203e-02
9.500000000000000000e+00,7.779166666666665897e-01,4.011451411178055398e-02
1.050000000000000000e+01,7.698333333333334805e-01,4.261632920784609591e-02
1.150000000000000000e+01,7.614166666666665195e-01,4.430567033961258644e-02
1.250000000000000000e+01,7.543333333333333002e-01,4.724276439708827852e-02
1.450000000000000000e+01,7.405833333333333712e-01,5.176249666125139204e-02
1.650000000000000000e+01,7.264166666666667105e-01,5.618226561555673959e-02
1.850000000000000000e+01,7.140833333333334032e-01,5.997644739749297821e-02
2.050000000000000000e+01,7.016666666666666607e-01,6.349994034833753020e-02
2.250000000000000000e+01,6.908333333333334103e-01,6.786997372427172603e-02
2.450000000000000000e+01,6.794166666666665577e-01,7.038395779686956732e-02
2.650000000000000000e+01,6.694999999999998730e-01,7.386781806344727697e-02
2.850000000000000000e+01,6.592500000000000027e-01,7.606949573789867358e-02
3.250000000000000000e+01,6.412499999999999867e-01,8.088839112123455410e-02
3.650000000000000000e+01,6.253333333333332966e-01,8.573355483264658017e-02
4.050000000000000000e+01,6.105833333333333668e-01,8.949602158078244496e-02
4.450000000000000000e+01,5.970833333333332993e-01,9.298236228968211059e-02
4.850000000000000000e+01,5.844999999999999085e-01,9.571881167822191006e-02
5.250000000000000000e+01,5.737499999999999822e-01,9.827153939236660252e-02
5.650000000000000000e+01,5.632500000000000284e-01,1.007103181497217975e-01
6.050000000000000000e+01,5.538333333333332886e-01,1.022295397029586161e-01
6.850000000000000000e+01,5.370000000000000329e-01,1.052443045317115328e-01
7.650000000000000000e+01,5.232500000000001039e-01,1.077903056865504999e-01
8.450000000000000000e+01,5.110000000000000098e-01,1.096656074370878364e-01
9.250000000000000000e+01,5.000833333333332131e-01,1.112388571198631576e-01
1.010000000000000000e+02,4.907500000000000195e-01,1.121517843249617008e-01
1.090000000000000000e+02,4.825833333333333086e-01,1.128526459458071007e-01
1.170000000000000000e+02,4.749166666666666536e-01,1.130996811613006886e-01
1.250000000000000000e+02,4.679166666666667029e-01,1.129766334113815607e-01
1.410000000000000000e+02,4.559999999999999609e-01,1.133257573225402021e-01
1.570000000000000000e+02,4.454999999999999516e-01,1.127221039870740099e-01
1.730000000000000000e+02,4.361666666666666470e-01,1.123701944737153513e-01
1.890000000000000000e+02,4.274999999999999911e-01,1.118054316455803915e-01
2.050000000000000000e+02,4.192500000000000671e-01,1.105623024691179540e-01
2.210000000000000000e+02,4.118333333333333290e-01,1.095543313390735796e-01
2.370000000000000000e+02,4.047500000000001097e-01,1.087207640952479182e-01
2.530000000000000000e+02,3.977499999999999925e-01,1.074887943419727404e-01
2.850000000000000000e+02,3.844166666666666288e-01,1.052783827705758429e-01
3.170000000000000000e+02,3.719166666666666177e-01,1.033312927462250314e-01
3.490000000000000000e+02,3.597500000000000142e-01,1.012334161502739527e-01
3.810000000000000000e+02,3.479166666666666519e-01,9.908899428230558137e-02
4.130000000000000000e+02,3.369166666666667531e-01,9.696621560985542454e-02
4.450000000000000000e+02,3.263333333333333086e-01,9.527313208334077521e-02
4.770000000000000000e+02,3.161666666666666514e-01,9.330481165935590460e-02
5.090000000000000000e+02,3.064999999999999947e-01,9.137584721656731579e-02
5.730000000000000000e+02,2.879999999999999782e-01,8.733842224359220086e-02
6.370000000000000000e+02,2.706666666666666665e-01,8.307207531396874900e-02
7.010000000000000000e+02,2.546666666666665968e-01,8.017858854211677710e-02
7.650000000000000000e+02,2.394166666666666110e-01,7.663307894035570333e-02
8.290000000000000000e+02,2.254166666666667096e-01,7.389483723303658103e-02
8.930000000000000000e+02,2.124999999999999944e-01,7.093851370921670785e-02
9.570000000000000000e+02,2.004999999999999838e-01,6.786818775457989505e-02
1.020000000000000000e+03,1.894166666666666499e-01,6.470275859418182784e-02
1.150000000000000000e+03,1.691249999999999698e-01,5.951404914349674863e-02
1.280000000000000000e+03,1.515500000000000180e-01,5.464956957328626075e-02
1.400000000000000000e+03,1.359749999999999848e-01,5.004830621055476186e-02
1.530000000000000000e+03,1.224583333333333496e-01,4.621801023082851984e-02
1.660000000000000000e+03,1.108666666666666550e-01,4.273798253913199674e-02
1.790000000000000000e+03,1.002249999999999946e-01,3.967978933686747839e-02
1.920000000000000000e+03,9.121666666666666812e-02,3.696218788618083062e-02
2.040000000000000000e+03,8.369166666666666421e-02,3.434502632599564093e-02
2.300000000000000000e+03,7.068333333333332025e-02,3.013734721188473728e-02
2.560000000000000000e+03,6.005833333333333163e-02,2.670343724328500326e-02
2.810000000000000000e+03,5.187499999999999750e-02,2.385079091503523180e-02
3.070000000000000000e+03,4.500000000000000527e-02,2.150813799472190563e-02
3.320000000000000000e+03,3.985833333333332895e-02,1.936320119727263922e-02
3.580000000000000000e+03,3.529166666666666563e-02,1.757097080845321929e-02
