Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.427499999999999991e-01,4.731423003321904609e-03
1.000000000000000000e+00,8.265833333333333366e-01,4.358029857908762503e-03
1.500000000000000000e+00,8.061666666666665870e-01,5.407626488804871158e-03
2.000000000000000000e+00,7.870833333333333570e-01,7.633161305458676868e-03
2.500000000000000000e+00,7.696666666666667211e-01,9.838083085026216174e-03
3.000000000000000000e+00,7.517500000000000293e-01,1.174056681301671040e-02
3.500000000000000000e+00,7.343333333333331714e-01,1.385203190433765240e-02
4.000000000000000000e+00,7.182499999999999440e-01,1.502800416192747422e-02
4.500000000000000000e+00,7.014999999999999014e-01,1.680638406839925561e-02
5.500000000000000000e+00,6.704166666666666607e-01,1.996569026802700458e-02
6.500000000000000000e+00,6.404166666666667451e-01,2.276144400808819898e-02
7.500000000000000000e+00,6.119166666666665533e-01,2.536088015870591877e-02
8.500000000000000000e+00,5.853333333333333721e-01,2.794908791269428566e-02
9.500000000000000000e+00,5.592500000000000249e-01,2.989109018967476758e-02
1.050000000000000000e+01,5.347499999999999476e-01,3.202307406741698032e-02
1.150000000000000000e+01,5.111666666666667691e-01,3.332984830266690762e-02
1.250000000000000000e+01,4.890833333333333144e-01,3.484108946562256698e-02
1.450000000000000000e+01,4.475000000000000089e-01,3.711285001672110645e-02
1.650000000000000000e+01,4.097500000000000586e-01,3.887304511308108806e-02
1.850000000000000000e+01,3.750833333333333797e-01,3.974568777829484700e-02
2.050000000000000000e+01,3.435833333333333517e-01,4.025703401740853005e-02
2.250000000000000000e+01,3.149166666666666781e-01,4.070617182003761353e-02
2.450000000000000000e+01,2.888333333333333308e-01,4.042014199366299881e-02
2.650000000000000000e+01,2.650833333333333375e-01,4.027960985035691083e-02
2.850000000000000000e+01,2.438333333333333186e-01,3.980140091945904429e-02
3.250000000000000000e+01,2.056666666666666643e-01,3.811545459243374789e-02
3.650000000000000000e+01,1.740833333333333399e-01,3.660466521020940694e-02
4.050000000000000000e+01,1.474833333333333274e-01,3.410110191057103696e-02
4.450000000000000000e+01,1.251083333333333214e-01,3.194735608162373175e-02
4.850000000000000000e+01,1.064833333333333187e-01,2.932816931128697652e-02
5.250000000000000000e+01,9.103333333333334110e-02,2.710619967103579039e-02
5.650000000000000000e+01,7.781666666666665899e-02,2.523816854518472555e-02
6.050000000000000000e+01,6.734999999999999321e-02,2.325747191764401464e-02
6.850000000000000000e+01,4.999166666666666342e-02,1.959116026696889126e-02
7.650000000000000000e+01,3.760000000000000148e-02,1.648569627944727889e-02
8.450000000000000000e+01,2.860833333333333284e-02,1.397240516377212978e-02
9.250000000000000000e+01,2.203916666666666871e-02,1.222706049438430226e-02
1.010000000000000000e+02,1.737999999999999962e-02,1.071125576204769864e-02
