Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,8.329999999999998517e-01,1.599218559171944332e-02
1.000000000000000000e+00,8.206666666666665444e-01,1.555634918610401124e-02
1.500000000000000000e+00,8.036666666666667513e-01,1.313392553656369047e-02
2.000000000000000000e+00,7.857777777777779082e-01,1.185092588975412975e-02
2.500000000000000000e+00,7.712222222222222534e-01,1.141027801784183851e-02
3.000000000000000000e+00,7.562222222222223511e-01,9.377869931090141234e-03
3.500000000000000000e+00,7.405555555555555225e-01,8.323327326122521505e-03
4.000000000000000000e+00,7.261111111111111516e-01,7.672099524322610435e-03
4.500000000000000000e+00,7.118888888888889044e-01,6.470016314593897248e-03
5.500000000000000000e+00,6.841111111111111143e-01,4.702245326555273136e-03
6.500000000000000000e+00,6.577777777777779056e-01,3.419714088113868112e-03
7.500000000000000000e+00,6.330000000000000071e-01,3.570714214271427864e-03
8.500000000000000000e+00,6.086666666666666892e-01,4.358898943540677820e-03
9.500000000000000000e+00,5.853333333333332611e-01,5.338539126015660365e-03
1.050000000000000000e+01,5.635555555555555873e-01,6.346477588219883066e-03
1.150000000000000000e+01,5.417777777777779136e-01,8.303279138054106556e-03
1.250000000000000000e+01,5.213333333333333153e-01,9.165151389911687860e-03
1.450000000000000000e+01,4.833333333333332815e-01,1.136881700090208204e-02
1.650000000000000000e+01,4.478888888888889475e-01,1.380619828595515582e-02
1.850000000000000000e+01,4.148888888888888626e-01,1.546321800632426309e-02
2.050000000000000000e+01,3.853333333333333610e-01,1.728438601744360786e-02
2.250000000000000000e+01,3.576666666666665773e-01,1.900657780874822136e-02
2.450000000000000000e+01,3.321111111111110792e-01,1.964971020425265030e-02
2.650000000000000000e+01,3.083333333333333481e-01,2.089856454400637262e-02
2.850000000000000000e+01,2.873333333333334405e-01,2.159861106645516796e-02
3.250000000000000000e+01,2.488888888888889095e-01,2.306211419430384893e-02
3.650000000000000000e+01,2.162222222222222046e-01,2.375277761535362492e-02
4.050000000000000000e+01,1.882222222222221797e-01,2.435045060043950632e-02
4.450000000000000000e+01,1.641111111111111243e-01,2.416321814475694274e-02
4.850000000000000000e+01,1.438888888888889273e-01,2.428705645217450054e-02
5.250000000000000000e+01,1.261111111111111460e-01,2.398147433147326812e-02
5.650000000000000000e+01,1.114333333333333426e-01,2.357403232372434418e-02
6.050000000000000000e+01,9.865555555555555189e-02,2.269857435562369283e-02
6.850000000000000000e+01,7.791111111111109766e-02,2.140499033195556247e-02
7.650000000000000000e+01,6.225555555555555703e-02,2.007735734049125031e-02
8.450000000000000000e+01,5.051111111111110386e-02,1.875356262450180930e-02
9.250000000000000000e+01,4.143333333333332896e-02,1.795758892501997384e-02
1.010000000000000000e+02,3.467777777777777265e-02,1.711576596137153253e-02
1.090000000000000000e+02,2.906666666666666773e-02,1.616771474265921160e-02
1.170000000000000000e+02,2.512222222222222287e-02,1.541142253150060322e-02
1.250000000000000000e+02,2.192222222222222142e-02,1.462769443365715197e-02
1.410000000000000000e+02,1.752888888888888552e-02,1.344477170171033860e-02
1.570000000000000000e+02,1.450888888888888888e-02,1.251720460450779504e-02
1.730000000000000000e+02,1.230111111111111162e-02,1.236417146884946465e-02
1.890000000000000000e+02,1.099111111111111122e-02,1.207860137230760446e-02
2.050000000000000000e+02,1.024111111111111055e-02,1.121988128774592183e-02
