Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,6.746666666666666090e-02,1.808986825085614689e-02
1.000000000000000000e+00,6.453333333333333144e-02,1.675062187900298177e-02
1.500000000000000000e+00,5.893333333333333757e-02,1.465002844138308703e-02
2.000000000000000000e+00,5.649999999999999467e-02,1.499233137307203270e-02
2.500000000000000000e+00,5.576666666666666577e-02,1.395755470465129093e-02
3.000000000000000000e+00,5.513333333333333280e-02,1.571952077301764714e-02
3.500000000000000000e+00,5.213333333333333014e-02,1.180776580616897838e-02
4.000000000000000000e+00,5.140000000000000124e-02,1.472548810735997173e-02
4.500000000000000000e+00,4.893333333333332869e-02,1.262589930790410445e-02
5.500000000000000000e+00,4.789999999999999813e-02,1.289340916902896074e-02
6.500000000000000000e+00,4.613333333333333175e-02,1.196425230983254491e-02
7.500000000000000000e+00,4.419999999999999624e-02,1.023132444994293011e-02
8.500000000000000000e+00,4.223333333333333800e-02,1.139532067707325728e-02
9.500000000000000000e+00,3.966666666666666258e-02,1.043328008506113659e-02
1.050000000000000000e+01,3.973333333333333578e-02,1.016726774179441649e-02
1.150000000000000000e+01,3.836666666666666697e-02,1.003510504844534919e-02
1.250000000000000000e+01,3.726666666666667016e-02,1.007190812772502074e-02
1.450000000000000000e+01,3.356666666666666826e-02,7.973915809270456026e-03
1.650000000000000000e+01,3.159999999999999615e-02,8.943712875534411827e-03
1.850000000000000000e+01,2.989999999999999949e-02,8.558037158133868089e-03
2.050000000000000000e+01,2.666666666666666144e-02,7.664419960658035332e-03
2.250000000000000000e+01,2.476666666666666947e-02,6.975910932153115210e-03
2.450000000000000000e+01,2.399999999999999703e-02,6.941901756723441175e-03
2.650000000000000000e+01,2.143333333333333202e-02,5.934082349726310657e-03
2.850000000000000000e+01,2.016666666666666607e-02,5.940819247657122201e-03
3.250000000000000000e+01,1.803333333333333524e-02,5.229085324732550381e-03
3.650000000000000000e+01,1.576666666666666841e-02,4.841831609353358136e-03
4.050000000000000000e+01,1.309333333333333356e-02,4.368081195826529692e-03
4.450000000000000000e+01,1.225333333333333309e-02,3.520303017260494050e-03
4.850000000000000000e+01,1.125000000000000132e-02,3.726808285919735661e-03
5.250000000000000000e+01,9.723333333333333828e-03,4.736732347656274870e-03
5.650000000000000000e+01,8.006666666666667140e-03,4.055543531184609314e-03
6.050000000000000000e+01,7.650000000000000550e-03,3.708625082156458402e-03
6.850000000000000000e+01,6.246666666666666860e-03,3.107737655165464154e-03
7.650000000000000000e+01,4.943333333333333433e-03,3.123977165943011940e-03
8.450000000000000000e+01,4.023333333333333622e-03,2.604886433864888294e-03
9.250000000000000000e+01,3.690000000000000138e-03,2.575286391840721310e-03
1.010000000000000000e+02,3.450000000000000375e-03,2.508146726170540526e-03
1.090000000000000000e+02,3.156666666666666562e-03,2.689987608397728918e-03
1.170000000000000000e+02,3.036666666666666681e-03,1.877054430040144949e-03
1.250000000000000000e+02,3.006666666666666602e-03,1.975255257766280088e-03
1.410000000000000000e+02,2.680000000000000090e-03,2.355610324310878235e-03
1.570000000000000000e+02,2.533333333333333617e-03,2.083802613812866470e-03
1.730000000000000000e+02,2.276666666666666856e-03,1.851386867549117618e-03
1.890000000000000000e+02,2.275000000000000112e-03,2.312049956207693803e-03
2.050000000000000000e+02,2.317666666666667093e-03,2.212579113463139600e-03
2.210000000000000000e+02,2.160333333333333116e-03,2.614427343288264465e-03
2.370000000000000000e+02,2.096000000000000207e-03,1.811178621781960214e-03
2.530000000000000000e+02,1.806999999999999796e-03,2.048807702055026672e-03
2.850000000000000000e+02,2.041666666666666456e-03,1.991082201551038801e-03
3.170000000000000000e+02,1.821666666666666747e-03,1.753441853422386260e-03
3.490000000000000000e+02,1.909666666666666500e-03,1.638816747941432717e-03
3.810000000000000000e+02,1.853666666666666440e-03,1.850607017530554038e-03
4.130000000000000000e+02,1.592333333333333404e-03,1.747502885071533594e-03
4.450000000000000000e+02,1.588333333333333307e-03,1.510371587833051702e-03
4.770000000000000000e+02,1.714000000000000029e-03,1.303552070306361133e-03
5.090000000000000000e+02,1.554333333333333131e-03,1.433856454926131551e-03
5.730000000000000000e+02,1.450333333333333639e-03,1.359632425817115233e-03
6.370000000000000000e+02,1.296333333333333365e-03,9.744333396047844247e-04
7.010000000000000000e+02,1.261666666666666579e-03,1.146391875988892828e-03
7.650000000000000000e+02,1.088333333333333297e-03,8.420405770111874825e-04
8.290000000000000000e+02,8.909999999999999734e-04,8.046868956308409621e-04
8.930000000000000000e+02,9.493333333333332791e-04,6.155723623858800871e-04
9.570000000000000000e+02,8.089999999999999318e-04,4.567395318997470176e-04
1.020000000000000000e+03,6.823333333333334028e-04,4.315788842533116389e-04
1.150000000000000000e+03,6.920000000000000153e-04,3.622816583819832596e-04
1.280000000000000000e+03,5.433333333333332767e-04,3.145255686479770827e-04
1.400000000000000000e+03,6.216666666666667432e-04,2.776982775123629666e-04
1.530000000000000000e+03,5.766666666666667336e-04,1.772408906921124085e-04
1.660000000000000000e+03,4.416666666666666506e-04,1.722391747928830776e-04
1.790000000000000000e+03,4.613333333333333435e-04,1.467696608067666365e-04
1.920000000000000000e+03,3.053333333333332921e-04,1.315839402561472780e-04
2.040000000000000000e+03,2.996666666666666684e-04,1.634635535320743468e-04
2.300000000000000000e+03,4.260000000000000006e-04,1.751199588853309208e-04
2.560000000000000000e+03,4.009999999999999351e-04,1.745193399024875722e-04
2.810000000000000000e+03,4.956666666666667163e-04,3.534463655681486052e-04
3.070000000000000000e+03,4.130000000000000099e-04,3.273576026305178243e-04
3.320000000000000000e+03,3.773333333333333075e-04,2.995702477438861493e-04
3.580000000000000000e+03,4.309999999999999595e-04,4.161261827859429638e-04
3.840000000000000000e+03,5.130000000000000011e-04,4.417454017870474869e-04
4.090000000000000000e+03,5.316666666666667240e-04,4.135412111668355538e-04
4.600000000000000000e+03,4.863333333333333549e-04,3.758381743960202237e-04
5.120000000000000000e+03,4.250000000000000305e-04,2.938213743075884419e-04
5.630000000000000000e+03,3.009999999999999980e-04,1.351591654309836478e-04
6.140000000000000000e+03,2.606666666666666420e-04,1.216894955751454210e-04
6.650000000000000000e+03,2.420000000000000276e-04,8.029321266458330243e-05
7.160000000000000000e+03,3.449999999999999833e-04,9.455686120002079547e-05
7.680000000000000000e+03,3.806666666666666857e-04,2.375927888916945486e-04
8.190000000000000000e+03,4.130000000000000099e-04,2.810907326825272867e-04
9.210000000000000000e+03,2.993333333333333631e-04,2.281454214603776027e-04
1.020000000000000000e+04,3.123333333333333539e-04,1.438656780936069192e-04
1.130000000000000000e+04,3.693333333333333299e-04,2.886456882292429355e-04
1.230000000000000000e+04,5.193333333333333439e-04,4.454147879598671016e-04
1.330000000000000000e+04,3.942999999999999890e-04,3.839774342327944429e-04
1.430000000000000000e+04,3.589999999999999984e-04,1.876459432015518112e-04
1.540000000000000000e+04,4.099999999999999912e-04,2.356628948307305988e-04
1.640000000000000000e+04,4.630000000000000326e-04,3.320903491521546712e-04
1.840000000000000000e+04,2.910000000000000260e-04,2.117097069101934158e-04
2.050000000000000000e+04,4.016666666666666541e-04,3.495287303403446164e-04
2.250000000000000000e+04,2.973333333333333145e-04,1.826645377004888955e-04
2.460000000000000000e+04,3.876666666666666390e-04,2.577059047312136122e-04
2.660000000000000000e+04,3.799999999999999667e-04,2.401936718566914924e-04
2.870000000000000000e+04,4.056666666666667513e-04,3.441530667208028021e-04
3.070000000000000000e+04,3.763333333333333374e-04,3.004618666874938758e-04
3.280000000000000000e+04,3.926666666666666521e-04,3.012579182915086761e-04
3.690000000000000000e+04,2.706666666666666683e-04,1.814506360786132487e-04
4.100000000000000000e+04,3.460000000000000076e-04,2.884215664613172200e-04
4.510000000000000000e+04,3.416666666666667135e-04,2.814539630798140626e-04
4.910000000000000000e+04,3.090000000000000299e-04,2.631292458089750297e-04
5.320000000000000000e+04,3.203333333333333315e-04,2.657486280930407979e-04
5.730000000000000000e+04,3.309999999999999683e-04,2.792113894525078072e-04
6.140000000000000000e+04,3.536666666666666800e-04,2.808653295323816764e-04
6.550000000000000000e+04,3.363333333333333951e-04,1.964620404386896728e-04
7.370000000000000000e+04,3.353333333333333166e-04,2.476617316690920526e-04
8.190000000000000000e+04,3.313333333333333820e-04,3.119684813139515637e-04
9.010000000000000000e+04,3.429999999999999889e-04,2.581065671384593220e-04
9.830000000000000000e+04,2.599999999999999772e-04,1.975525246611644845e-04
1.060000000000000000e+05,2.886666666666666179e-04,2.037285776059247851e-04
1.150000000000000000e+05,3.163333333333333427e-04,2.640309325312724213e-04
1.230000000000000000e+05,3.023333333333333276e-04,2.110363317851533913e-04
1.310000000000000000e+05,3.896666666666666876e-04,1.841421552315854930e-04
1.470000000000000000e+05,3.926666666666666521e-04,1.538321596199355827e-04
1.640000000000000000e+05,2.898666666666666471e-04,2.641262072065802343e-04
1.800000000000000000e+05,2.470666666666666909e-04,1.740287715676156063e-04
1.970000000000000000e+05,2.834000000000000039e-04,2.315454167112793269e-04
2.130000000000000000e+05,3.520000000000000451e-04,1.157756451072504238e-04
2.290000000000000000e+05,3.523333333333333504e-04,1.132710613234171764e-04
2.460000000000000000e+05,2.472333333333333436e-04,1.971719131451874212e-04
2.620000000000000000e+05,3.866666666666666689e-04,1.576652572170969080e-04
2.950000000000000000e+05,4.636666666666666974e-04,2.015349432067137540e-04
3.280000000000000000e+05,3.966666666666666410e-04,1.514474606367941997e-04
