Lag Time [us], Avg. Corr. [-], Std. Dev. Corr. [-]
5.000000000000000000e-01,9.166666666666666297e-01,3.214550253664321365e-03
1.000000000000000000e+00,9.216666666666667451e-01,2.309401076758505356e-03
1.500000000000000000e+00,9.170000000000001483e-01,2.645751311064592926e-03
2.000000000000000000e+00,9.150000000000000355e-01,1.732050807568879126e-03
2.500000000000000000e+00,9.129999999999999227e-01,3.464101615137757384e-03
3.000000000000000000e+00,9.103333333333333277e-01,2.081665999466134325e-03
3.500000000000000000e+00,9.083333333333333259e-01,2.081665999466134325e-03
4.000000000000000000e+00,9.056666666666667309e-01,3.214550253664321365e-03
4.500000000000000000e+00,9.036666666666667291e-01,3.214550253664321365e-03
5.500000000000000000e+00,8.983333333333333171e-01,2.081665999466134325e-03
6.500000000000000000e+00,8.930000000000001270e-01,1.000000000000000888e-03
7.500000000000000000e+00,8.873333333333333073e-01,2.081665999466134759e-03
8.500000000000000000e+00,8.823333333333334139e-01,2.081665999466134325e-03
9.500000000000000000e+00,8.780000000000000027e-01,2.645751311064592926e-03
1.050000000000000000e+01,8.730000000000001092e-01,1.732050807568878692e-03
1.150000000000000000e+01,8.679999999999999938e-01,2.645751311064592926e-03
1.250000000000000000e+01,8.633333333333332860e-01,2.886751345948131587e-03
1.450000000000000000e+01,8.533333333333333881e-01,2.081665999466134325e-03
1.650000000000000000e+01,8.436666666666666758e-01,2.516611478423585232e-03
1.850000000000000000e+01,8.346666666666666679e-01,2.309401076758505356e-03
2.050000000000000000e+01,8.250000000000000666e-01,1.732050807568878692e-03
2.250000000000000000e+01,8.156666666666666510e-01,2.516611478423585232e-03
2.450000000000000000e+01,8.066666666666666430e-01,2.309401076758505356e-03
2.650000000000000000e+01,7.976666666666667460e-01,2.309401076758505356e-03
2.850000000000000000e+01,7.890000000000000346e-01,2.645751311064592926e-03
3.250000000000000000e+01,7.713333333333333153e-01,3.055050463303896242e-03
3.650000000000000000e+01,7.540000000000000036e-01,2.645751311064592926e-03
4.050000000000000000e+01,7.376666666666666927e-01,2.516611478423585232e-03
4.450000000000000000e+01,7.219999999999999751e-01,2.645751311064592926e-03
4.850000000000000000e+01,7.050000000000000711e-01,3.000000000000002665e-03
5.250000000000000000e+01,6.903333333333333544e-01,3.055050463303835527e-03
5.650000000000000000e+01,6.746666666666666368e-01,2.516611478423585232e-03
6.050000000000000000e+01,6.603333333333333277e-01,3.055050463303896242e-03
6.850000000000000000e+01,6.323333333333333028e-01,3.055050463303896242e-03
7.650000000000000000e+01,6.053333333333332789e-01,3.055050463303896242e-03
8.450000000000000000e+01,5.793333333333333668e-01,3.055050463303895809e-03
9.250000000000000000e+01,5.550000000000000488e-01,2.645751311064592926e-03
1.010000000000000000e+02,5.316666666666666208e-01,2.516611478423585232e-03
1.090000000000000000e+02,5.093333333333333046e-01,3.055050463303896242e-03
1.170000000000000000e+02,4.883333333333332860e-01,2.081665999466134325e-03
1.250000000000000000e+02,4.679999999999999716e-01,1.999999999999974021e-03
1.410000000000000000e+02,4.309999999999999942e-01,2.000000000000001776e-03
1.570000000000000000e+02,3.970000000000000195e-01,2.000000000000001776e-03
1.730000000000000000e+02,3.653333333333333433e-01,2.516611478423585232e-03
1.890000000000000000e+02,3.366666666666666696e-01,2.081665999466134759e-03
2.050000000000000000e+02,3.106666666666666465e-01,2.081665999466134759e-03
2.210000000000000000e+02,2.869999999999999774e-01,2.645751311064592926e-03
2.370000000000000000e+02,2.653333333333333655e-01,2.309401076758505356e-03
2.530000000000000000e+02,2.453333333333333199e-01,2.309401076758505356e-03
2.850000000000000000e+02,2.099999999999999922e-01,1.732050807568878909e-03
3.170000000000000000e+02,1.803333333333333177e-01,2.309401076758505356e-03
3.490000000000000000e+02,1.553333333333333233e-01,2.309401076758505356e-03
3.810000000000000000e+02,1.340000000000000080e-01,1.732050807568878909e-03
4.130000000000000000e+02,1.159999999999999920e-01,1.732050807568870886e-03
4.450000000000000000e+02,9.993333333333333235e-02,1.101514109457224153e-03
4.770000000000000000e+02,8.673333333333332895e-02,1.250333288900735973e-03
5.090000000000000000e+02,7.599999999999999811e-02,1.389244398944983801e-03
5.730000000000000000e+02,5.826666666666666800e-02,1.703917055884273009e-03
6.370000000000000000e+02,4.489999999999999547e-02,1.652271164185831675e-03
7.010000000000000000e+02,3.439999999999999308e-02,1.734935157289746715e-03
7.650000000000000000e+02,2.676666666666667124e-02,1.709775813764288777e-03
8.290000000000000000e+02,2.100000000000000130e-02,1.389244398944980115e-03
8.930000000000000000e+02,1.673333333333333270e-02,1.484362938547487045e-03
9.570000000000000000e+02,1.336666666666666732e-02,1.250333288900737057e-03
1.020000000000000000e+03,1.086666666666666857e-02,1.331665623695878252e-03
1.150000000000000000e+03,7.433333333333333459e-03,1.769359582824625663e-03
1.280000000000000000e+03,5.860000000000000625e-03,1.746739820351044881e-03
1.400000000000000000e+03,4.543333333333334119e-03,1.880035460658477462e-03
1.530000000000000000e+03,3.463333333333333455e-03,1.268476776820661117e-03
1.660000000000000000e+03,3.806666666666666532e-03,1.443687408455630134e-03
1.790000000000000000e+03,3.650000000000000033e-03,7.692203845452875782e-04
1.920000000000000000e+03,3.020000000000000115e-03,5.642694391866353567e-04
2.040000000000000000e+03,2.643333333333333039e-03,3.214550253664326461e-05
2.300000000000000000e+03,2.820000000000000024e-03,7.277362159464101539e-04
2.560000000000000000e+03,3.419999999999999863e-03,8.118497397917916409e-04
2.810000000000000000e+03,3.186666666666667074e-03,4.158525379666851173e-04
3.070000000000000000e+03,2.969999999999999984e-03,6.773477688750438380e-04
3.320000000000000000e+03,2.496666666666666565e-03,1.094410038940310916e-03
3.580000000000000000e+03,2.025000000000000324e-03,1.151271036724193716e-03
3.840000000000000000e+03,1.833333333333333299e-03,5.877357682950165108e-04
4.090000000000000000e+03,1.889999999999999970e-03,8.576712656956626910e-04
4.600000000000000000e+03,1.830000000000000029e-03,2.688865931949749929e-04
5.120000000000000000e+03,2.593333333333333341e-03,9.402836451482783154e-04
5.630000000000000000e+03,3.170000000000000508e-03,1.473091986265622280e-04
6.140000000000000000e+03,1.610000000000000103e-03,5.026927491022722960e-04
6.650000000000000000e+03,2.162666666666666470e-03,1.569599099558015775e-03
7.160000000000000000e+03,2.756666666666666380e-03,4.354690957270485356e-04
7.680000000000000000e+03,2.623333333333333420e-03,8.078572481158619902e-04
8.190000000000000000e+03,1.669999999999999827e-03,2.594224354214569035e-04
9.210000000000000000e+03,8.700000000000001135e-04,2.516962455023911862e-04
1.020000000000000000e+04,1.342666666666666704e-03,6.169127436950330246e-04
1.130000000000000000e+04,1.459666666666666621e-03,7.079409109052345979e-04
1.230000000000000000e+04,1.592666666666666710e-03,8.625667123958201182e-04
1.330000000000000000e+04,1.666666666666666774e-03,2.375570107012911470e-04
1.430000000000000000e+04,1.703333333333333392e-03,5.632347053700911344e-04
1.540000000000000000e+04,1.743333333333333497e-03,2.318045153428495084e-04
1.640000000000000000e+04,4.524666666666666420e-04,3.709070683248478053e-04
1.840000000000000000e+04,7.593666666666666750e-04,6.531123971670829307e-04
2.050000000000000000e+04,1.178333333333333316e-03,2.544765870042533184e-04
2.250000000000000000e+04,1.903333333333333266e-03,8.512539769853255970e-04
2.460000000000000000e+04,1.883333333333333430e-03,1.157598087996578257e-03
2.660000000000000000e+04,1.293666666666666706e-03,7.499135505732199914e-04
2.870000000000000000e+04,1.480666666666666589e-03,1.536278078126916691e-03
3.070000000000000000e+04,1.933333333333333562e-03,3.873413653785680896e-04
3.280000000000000000e+04,1.766666666666666602e-03,3.194265695482035629e-04
3.690000000000000000e+04,1.776666666666666628e-03,4.550091574170056800e-04
4.100000000000000000e+04,1.061000000000000094e-03,2.408796379937499480e-04
4.510000000000000000e+04,1.100666666666666677e-03,6.928790178186471430e-04
4.910000000000000000e+04,1.265000000000000065e-03,1.547000000000000198e-03
5.320000000000000000e+04,1.006666666666666777e-03,5.848361593928109439e-04
5.730000000000000000e+04,1.081333333333333452e-03,1.796255364176634777e-04
6.140000000000000000e+04,1.516666666666666814e-03,5.359415391004258237e-04
6.550000000000000000e+04,1.304000000000000254e-03,5.123163085438525418e-04
7.370000000000000000e+04,9.406666666666665825e-04,2.767315185036452424e-04
8.190000000000000000e+04,9.420000000000000205e-04,2.650509385005079578e-04
9.010000000000000000e+04,1.105999999999999995e-03,5.189489377578492164e-04
9.830000000000000000e+04,8.973333333333334246e-04,6.218434958519172134e-04
1.060000000000000000e+05,7.739999999999999485e-04,5.342808250349248599e-04
1.150000000000000000e+05,9.250000000000000409e-04,3.997811901528134032e-04
1.230000000000000000e+05,1.082333333333333368e-03,5.293244121834297109e-04
1.310000000000000000e+05,9.310000000000000784e-04,2.205969174761968630e-04
1.470000000000000000e+05,5.763333333333333199e-04,8.109459496990738671e-05
1.640000000000000000e+05,1.290000000000000131e-03,1.799999999999999300e-04
1.800000000000000000e+05,9.616666666666666592e-04,3.866449706556821398e-04
1.970000000000000000e+05,8.316666666666666435e-04,2.041429237895189862e-04
2.130000000000000000e+05,7.770000000000000214e-04,4.367482112155698687e-04
2.290000000000000000e+05,6.336666666666666012e-04,4.916567230632907029e-04
2.460000000000000000e+05,6.176666666666666460e-04,1.989731975250268192e-04
2.620000000000000000e+05,5.236666666666666380e-04,1.094729799235104979e-04
2.950000000000000000e+05,5.429999999999999714e-04,1.931398457077150891e-04
3.280000000000000000e+05,6.140000000000000709e-04,4.185164273956280736e-04
3.600000000000000000e+05,5.966666666666666776e-04,3.961569554271807776e-04
3.930000000000000000e+05,4.406666666666666263e-04,2.924762098587393370e-04
4.260000000000000000e+05,7.253333333333333638e-04,2.529374099126765097e-04
4.590000000000000000e+05,5.536666666666667166e-04,3.002221399786051363e-05
4.920000000000000000e+05,4.440000000000000045e-04,1.123031611309316619e-04
5.240000000000000000e+05,6.393333333333333333e-04,2.209849165290095579e-04
5.900000000000000000e+05,6.916666666666667100e-04,1.395002986854627859e-04
6.550000000000000000e+05,4.116666666666666803e-04,1.348789580821757746e-04
7.210000000000000000e+05,6.543333333333334811e-04,2.297440604963125912e-04
7.860000000000000000e+05,2.006333333333333493e-04,1.609198661860409792e-04
8.520000000000000000e+05,3.956666666666667251e-04,9.830734119755927983e-05
9.180000000000000000e+05,4.919999999999999244e-04,2.496577657514382500e-04
9.830000000000000000e+05,5.039999999999999992e-04,3.206134744517142188e-04
1.050000000000000000e+06,3.983333333333333843e-04,2.368572002986891057e-04
1.180000000000000000e+06,4.416666666666666506e-04,3.906690841790956699e-04
1.310000000000000000e+06,3.577999999999999692e-04,2.908864383225866343e-04
1.440000000000000000e+06,5.150000000000000498e-04,2.613120739652112154e-04
1.570000000000000000e+06,3.899999999999999929e-04,7.999374975584031650e-05
1.700000000000000000e+06,5.246666666666666623e-04,3.943023374687668731e-04
1.840000000000000000e+06,7.726666666666666189e-04,1.350715859584588458e-04
1.970000000000000000e+06,5.166666666666666846e-04,4.137176976312873975e-04
2.100000000000000000e+06,4.983333333333333755e-04,3.336125497239774969e-04
2.360000000000000000e+06,3.459333333333334116e-04,2.446810440825634568e-04
2.620000000000000000e+06,4.689999999999999616e-04,4.545415272557612788e-04
2.880000000000000000e+06,5.793333333333332844e-04,2.508711488659732636e-04
3.150000000000000000e+06,3.683333333333333056e-04,4.705670338361298303e-05
3.410000000000000000e+06,4.976666666666666565e-04,1.103464241982191979e-04
3.670000000000000000e+06,3.950166666666666822e-04,5.707726787726732573e-04
3.930000000000000000e+06,4.136666666666666205e-04,2.820005910159291461e-04
4.190000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
4.720000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.240000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
5.770000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.290000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
6.820000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
7.340000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
7.860000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
8.390000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
9.440000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.260000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.470000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.570000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.680000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.890000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00
