Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.439999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.270000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.779999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.379999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,1.224999999999999874e-02,2.739183272437242453e-02
6.809999999999999432e+01,3.138333333333333530e-01,3.616975793240658210e-01
7.879999999999999716e+01,1.362666666666666693e+00,9.110921407239165326e-01
9.129999999999999716e+01,3.181666666666666643e+00,1.233334459458945487e+00
1.060000000000000000e+02,4.691666666666667318e+00,8.099674204696274415e-01
1.220000000000000000e+02,5.098333333333332718e+00,1.579635154781705353e+00
1.420000000000000000e+02,4.623333333333333961e+00,2.307218142169386699e+00
1.640000000000000000e+02,3.925000000000000266e+00,1.902811516327002739e+00
1.900000000000000000e+02,3.101666666666666572e+00,1.962586869981102877e+00
2.200000000000000000e+02,2.668333333333333446e+00,2.260135812045128034e+00
2.550000000000000000e+02,2.697833333333333528e+00,2.585842249420658323e+00
2.950000000000000000e+02,3.005616666666666603e+00,3.028563972367468882e+00
3.420000000000000000e+02,4.809999999999999609e+00,2.612916633444958059e+00
3.960000000000000000e+02,7.676666666666666750e+00,3.764760579668011697e+00
4.590000000000000000e+02,1.028833333333333400e+01,5.647245395372469723e+00
5.310000000000000000e+02,1.131333333333333258e+01,5.761298079040482634e+00
6.150000000000000000e+02,1.022833333333333350e+01,3.815492177367889148e+00
7.120000000000000000e+02,7.616666666666666252e+00,2.421120034657972653e+00
8.250000000000000000e+02,4.878333333333332966e+00,3.572475410070103496e+00
9.550000000000000000e+02,3.207500000000000018e+00,3.614221619749772518e+00
1.110000000000000000e+03,2.041833333333333389e+00,2.901646108485473441e+00
1.280000000000000000e+03,1.058333333333333348e+00,1.832135790697718702e+00
1.480000000000000000e+03,3.870000000000000107e-01,7.867771815027005955e-01
1.720000000000000000e+03,5.983333333333332865e-02,1.337914006537374023e-01
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000000000e+03,2.816666666666666971e-02,6.298258136624408643e-02
4.150000000000000000e+03,1.608333333333333282e-01,2.680015028979418901e-01
4.800000000000000000e+03,5.176666666666666083e-01,6.203283180882702696e-01
5.560000000000000000e+03,1.031666666666666732e+00,1.100248709257239721e+00
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
