Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569999999999999929e+01,2.279999999999999909e-03,9.866792791986664715e-03
1.819999999999999929e+01,1.282133333333333215e-02,4.034337613812485207e-02
2.100000000000000000e+01,4.362999999999999517e-02,8.940958617508527884e-02
2.439999999999999858e+01,1.062533333333333246e-01,1.625251134098631978e-01
2.819999999999999929e+01,1.680199999999999749e-01,2.391309437665202486e-01
3.270000000000000284e+01,2.262899999999999634e-01,2.743292563690573616e-01
3.779999999999999716e+01,3.162266666666667114e-01,3.399392327395523994e-01
4.379999999999999716e+01,5.016300000000001313e-01,5.047589438864192868e-01
5.070000000000000284e+01,9.069733333333335201e-01,6.919291538557653665e-01
5.879999999999999716e+01,1.749933333333333785e+00,7.440000418160085394e-01
6.809999999999999432e+01,3.129999999999999449e+00,6.232976816898968542e-01
7.879999999999999716e+01,4.955333333333332035e+00,7.505541656373346804e-01
9.129999999999999716e+01,6.990666666666665030e+00,1.322308419225845855e+00
1.060000000000000000e+02,8.918333333333333002e+00,1.913116276886715816e+00
1.220000000000000000e+02,1.042099999999999937e+01,2.252880156599547323e+00
1.420000000000000000e+02,1.124333333333333584e+01,2.187092946254354686e+00
1.640000000000000000e+02,1.125066666666666748e+01,1.732693343388327811e+00
1.900000000000000000e+02,1.043100000000000094e+01,1.029790755445007866e+00
2.200000000000000000e+02,8.954333333333334366e+00,6.526187418563936804e-01
2.550000000000000000e+02,7.058999999999998387e+00,1.140144289114320753e+00
2.950000000000000000e+02,5.061433333333332563e+00,1.597717615503092770e+00
3.420000000000000000e+02,3.259699999999999598e+00,1.738901859412044670e+00
3.960000000000000000e+02,1.857133333333333747e+00,1.612934897081163221e+00
4.590000000000000000e+02,9.217800000000000438e-01,1.331464439980780234e+00
5.310000000000000000e+02,4.249666666666667703e-01,9.547291969744905460e-01
6.150000000000000000e+02,2.068433333333333790e-01,5.755465817715271770e-01
7.120000000000000000e+02,9.020000000000000240e-02,2.777636165279152580e-01
8.250000000000000000e+02,2.763333333333333267e-02,9.046564111430499544e-02
9.550000000000000000e+02,2.393333333333333250e-03,1.288849443840858928e-02
1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,1.616666666666666751e-04,8.706016438200779063e-04
2.670000000000000000e+03,3.450000000000000375e-03,1.375966932742208118e-02
3.090000000000000000e+03,1.319666666666666731e-02,4.597037077171432784e-02
3.580000000000000000e+03,3.896666666666667722e-02,9.941437633573037280e-02
4.150000000000000000e+03,1.016666666666666552e-01,1.794982513068643093e-01
4.800000000000000000e+03,2.187666666666666926e-01,3.016600386012189272e-01
5.560000000000000000e+03,3.882333333333333192e-01,5.060416111568515340e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
