Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,3.199999999999999720e-03,7.155417527999327273e-03
1.569999999999999929e+01,1.683333333333333556e-02,3.764047762124646257e-02
1.819999999999999929e+01,3.416666666666666463e-02,7.639898923124281704e-02
2.100000000000000000e+01,6.078333333333333505e-02,1.021707788731962135e-01
2.439999999999999858e+01,8.233333333333332782e-02,1.202451200211006044e-01
2.819999999999999929e+01,8.949999999999998235e-02,1.268118685297239812e-01
3.270000000000000284e+01,1.139999999999999902e-01,1.282276621222321611e-01
3.779999999999999716e+01,2.236666666666666803e-01,1.788944443581807486e-01
4.379999999999999716e+01,4.623333333333333184e-01,3.592523099747894078e-01
5.070000000000000284e+01,8.630000000000001004e-01,6.451537284503077174e-01
5.879999999999999716e+01,1.463000000000000078e+00,9.768171101422550295e-01
6.809999999999999432e+01,2.270000000000000018e+00,1.348134513565566461e+00
7.879999999999999716e+01,3.349666666666666348e+00,1.566003583080901596e+00
9.129999999999999716e+01,4.706666666666666110e+00,1.506725662561775758e+00
1.060000000000000000e+02,6.214999999999999858e+00,1.244343869943781433e+00
1.220000000000000000e+02,7.676666666666666750e+00,1.021888230461411862e+00
1.420000000000000000e+02,8.884999999999999787e+00,1.053134211136770082e+00
1.640000000000000000e+02,9.660000000000000142e+00,1.231015840677933904e+00
1.900000000000000000e+02,9.876666666666666927e+00,1.291235411878441486e+00
2.200000000000000000e+02,9.531666666666668064e+00,1.246854932308575581e+00
2.550000000000000000e+02,8.630000000000000782e+00,1.101937687288471857e+00
2.950000000000000000e+02,7.316666666666665542e+00,1.056403752780578298e+00
3.420000000000000000e+02,5.765000000000000568e+00,1.159608410915800025e+00
3.960000000000000000e+02,4.174999999999999822e+00,1.290022609620983918e+00
4.590000000000000000e+02,2.733333333333332948e+00,1.305330949946751584e+00
5.310000000000000000e+02,1.592500000000000249e+00,1.138462083982890949e+00
6.150000000000000000e+02,8.246500000000001052e-01,8.168292023632194310e-01
7.120000000000000000e+02,3.971666666666666679e-01,4.434051633538889092e-01
8.250000000000000000e+02,1.508333333333333193e-01,2.090792646076814754e-01
9.550000000000000000e+02,4.033333333333333215e-02,9.018807509249150700e-02
1.110000000000000000e+03,1.028333333333333356e-02,2.299423236862283698e-02
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,8.133333333333334428e-03,1.818668621699829138e-02
1.990000000000000000e+03,2.333333333333333440e-02,5.217491947499509897e-02
2.300000000000000000e+03,5.628333333333333105e-02,9.542048027313400349e-02
2.670000000000000000e+03,1.126666666666666788e-01,1.626977429331936120e-01
3.090000000000000000e+03,1.930500000000000271e-01,2.624004811352296240e-01
3.580000000000000000e+03,3.032166666666666344e-01,3.752933093668944231e-01
4.150000000000000000e+03,4.754833333333333134e-01,4.441594323988728443e-01
4.800000000000000000e+03,6.994999999999998996e-01,4.481542703132482264e-01
5.560000000000000000e+03,9.108333333333332726e-01,4.233526570392847077e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
