Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,1.344444444444444463e-02,3.802663134380989546e-02
1.350000000000000000e+01,2.933333333333333626e-02,8.296719565922157369e-02
1.569999999999999929e+01,3.444444444444444420e-02,9.742360096347987830e-02
1.819999999999999929e+01,2.722222222222222057e-02,7.699607172920183706e-02
2.100000000000000000e+01,1.488888888888888901e-02,4.211213719066549815e-02
2.439999999999999858e+01,5.811111111111110644e-03,1.643630429158063691e-02
2.819999999999999929e+01,4.844444444444444622e-03,1.370215807099265520e-02
3.270000000000000284e+01,1.111111111111111154e-02,3.142696805273544752e-02
3.779999999999999716e+01,2.000000000000000042e-02,5.656854249492380277e-02
4.379999999999999716e+01,2.622222222222221968e-02,7.416764460445565699e-02
5.070000000000000284e+01,2.677777777777777535e-02,7.573899300709242832e-02
5.879999999999999716e+01,2.277777777777777526e-02,6.442528450810765250e-02
6.809999999999999432e+01,1.933333333333333084e-02,5.468292441175966884e-02
7.879999999999999716e+01,8.522222222222221311e-02,1.411223092669600110e-01
9.129999999999999716e+01,4.796666666666666856e-01,6.582515561023087880e-01
1.060000000000000000e+02,1.398666666666666725e+00,1.753530343811211756e+00
1.220000000000000000e+02,2.745888888888889046e+00,3.273054246230183040e+00
1.420000000000000000e+02,4.368766666666665799e+00,4.712746122308449692e+00
1.640000000000000000e+02,6.155555555555555891e+00,5.438878787869407816e+00
1.900000000000000000e+02,7.866666666666668029e+00,5.160986124548077036e+00
2.200000000000000000e+02,9.243333333333332291e+00,3.937260751108849099e+00
2.550000000000000000e+02,1.006000000000000050e+01,2.170596436210307623e+00
2.950000000000000000e+02,1.023666666666666636e+01,1.567163041932778889e+00
3.420000000000000000e+02,9.793333333333333002e+00,3.089185437403632051e+00
3.960000000000000000e+02,8.904444444444443718e+00,4.421370102156900295e+00
4.590000000000000000e+02,7.709999999999999964e+00,4.901210734774283040e+00
5.310000000000000000e+02,6.431244444444444319e+00,4.546133154209461402e+00
6.150000000000000000e+02,5.065555555555555145e+00,3.664526985122548819e+00
7.120000000000000000e+02,3.634444444444444589e+00,2.790086064427687251e+00
8.250000000000000000e+02,2.324444444444444535e+00,2.074426887981412282e+00
9.550000000000000000e+02,1.313933333333333398e+00,1.483609065009303007e+00
1.110000000000000000e+03,6.727666666666666240e-01,9.663084807658475217e-01
1.280000000000000000e+03,3.067777777777778159e-01,5.504652129038527519e-01
1.480000000000000000e+03,1.200000000000000094e-01,2.415326064944441353e-01
1.720000000000000000e+03,2.777777777777777624e-02,6.420934126879701553e-02
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,9.666666666666665422e-03,2.734146220587983442e-02
3.580000000000000000e+03,3.907444444444444637e-02,1.071427910273752560e-01
4.150000000000000000e+03,1.106666666666666632e-01,2.276669106880097604e-01
4.800000000000000000e+03,2.353333333333333111e-01,3.870997574556489518e-01
5.560000000000000000e+03,3.788888888888888862e-01,5.788579646250680000e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
