Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,2.789999999999999702e-01,2.109549714986589386e-01
5.610000000000000320e+00,1.956666666666666332e+00,3.477866523539330790e-01
6.500000000000000000e+00,4.636666666666666714e+00,2.169997439834639164e-01
7.530000000000000249e+00,7.373333333333332185e+00,1.249888883950177609e-01
8.720000000000000639e+00,9.326666666666667993e+00,4.239758902998565504e-01
1.009999999999999964e+01,1.004000000000000092e+01,5.593448548674304632e-01
1.169999999999999929e+01,9.516666666666667496e+00,4.870546398734150184e-01
1.350000000000000000e+01,8.043333333333333002e+00,2.718251071716683009e-01
1.569999999999999929e+01,6.030000000000000249e+00,2.471167065713419098e-01
1.819999999999999929e+01,3.959999999999999520e+00,5.061620293937506565e-01
2.100000000000000000e+01,2.209999999999999520e+00,6.364484791926732221e-01
2.439999999999999858e+01,9.969999999999998863e-01,5.735904462244816315e-01
2.819999999999999929e+01,3.553333333333333344e-01,3.654415898000055729e-01
3.270000000000000284e+01,1.530666666666666564e-01,1.570656196909078206e-01
3.779999999999999716e+01,2.217999999999999972e-01,1.466340569808619321e-01
4.379999999999999716e+01,5.583333333333333481e-01,2.769745275090994552e-01
5.070000000000000284e+01,1.094666666666666677e+00,3.717905623092419010e-01
5.879999999999999716e+01,1.726666666666666572e+00,4.020226638166338740e-01
6.809999999999999432e+01,2.350000000000000089e+00,4.104469108991644077e-01
7.879999999999999716e+01,2.883333333333333304e+00,4.126607430915726904e-01
9.129999999999999716e+01,3.253333333333333410e+00,4.365266951236266291e-01
1.060000000000000000e+02,3.433333333333333570e+00,4.569707017109765901e-01
1.220000000000000000e+02,3.413333333333332664e+00,4.543371239753825619e-01
1.420000000000000000e+02,3.216666666666666341e+00,4.158792559812949929e-01
1.640000000000000000e+02,2.880000000000000338e+00,3.603701800463887661e-01
1.900000000000000000e+02,2.446666666666666767e+00,3.070649587447074058e-01
2.200000000000000000e+02,1.963333333333333153e+00,2.922708028904396071e-01
2.550000000000000000e+02,1.483333333333333171e+00,3.118047822311617590e-01
2.950000000000000000e+02,1.046999999999999931e+00,3.351606579935459407e-01
3.420000000000000000e+02,6.856666666666666465e-01,3.367989838992325735e-01
3.960000000000000000e+02,4.113333333333333286e-01,2.986729910044688685e-01
4.590000000000000000e+02,2.272333333333333705e-01,2.292949531837880639e-01
5.310000000000000000e+02,1.190999999999999975e-01,1.468573684452594008e-01
6.150000000000000000e+02,5.533333333333333853e-02,7.825315045131125968e-02
7.120000000000000000e+02,2.189999999999999933e-02,3.097127701597077870e-02
8.250000000000000000e+02,7.956666666666665708e-03,6.261237009480545915e-03
9.550000000000000000e+02,9.799999999999999684e-03,1.385929291125633130e-02
1.110000000000000000e+03,2.113333333333333383e-02,2.988704661815140551e-02
1.280000000000000000e+03,3.633333333333333554e-02,5.138309276622245181e-02
1.480000000000000000e+03,5.466666666666666896e-02,7.731034140972919966e-02
1.720000000000000000e+03,7.433333333333333459e-02,1.051232081364000676e-01
1.990000000000000000e+03,9.470666666666666123e-02,1.324392140652541627e-01
2.300000000000000000e+03,1.191666666666666846e-01,1.542586212249487942e-01
2.670000000000000000e+03,1.473666666666666736e-01,1.683557806815343116e-01
3.090000000000000000e+03,1.766666666666666663e-01,1.755170140534022816e-01
3.580000000000000000e+03,2.023333333333333373e-01,1.769375282095036195e-01
4.150000000000000000e+03,2.210000000000000020e-01,1.750104758769218949e-01
4.800000000000000000e+03,2.266666666666666829e-01,1.683297029311490722e-01
5.560000000000000000e+03,2.173333333333332951e-01,1.558831471184603523e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
