Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,5.056666666666666948e-02,3.661387108126584744e-02
5.610000000000000320e+00,3.930000000000000160e-01,1.314939795833507674e-01
6.500000000000000000e+00,8.820000000000000062e-01,1.302484804773808846e-01
7.530000000000000249e+00,1.226666666666666794e+00,3.858612300930078232e-02
8.720000000000000639e+00,1.283333333333333215e+00,1.265789169736501740e-01
1.009999999999999964e+01,1.085333333333333483e+00,2.567558286690986291e-01
1.169999999999999929e+01,7.873333333333333295e-01,3.192588639681319673e-01
1.350000000000000000e+01,5.603333333333333499e-01,2.800968086612595220e-01
1.569999999999999929e+01,5.050000000000000044e-01,1.557176932785738488e-01
1.819999999999999929e+01,6.243333333333332957e-01,1.793122664205906436e-01
2.100000000000000000e+01,8.349999999999999645e-01,3.829055584170418802e-01
2.439999999999999858e+01,1.013333333333333419e+00,5.289192334899115444e-01
2.819999999999999929e+01,1.064000000000000057e+00,5.463869202924486190e-01
3.270000000000000284e+01,9.420000000000000595e-01,4.189733483966094352e-01
3.779999999999999716e+01,7.036666666666665515e-01,2.264837497236587283e-01
4.379999999999999716e+01,4.639999999999999680e-01,2.357640063000852881e-01
5.070000000000000284e+01,3.416666666666667296e-01,4.032966925505616640e-01
5.879999999999999716e+01,3.766666666666666496e-01,5.326871084938656908e-01
6.809999999999999432e+01,4.799999999999999822e-01,6.788225099390855499e-01
7.879999999999999716e+01,7.093333333333333712e-01,8.404924482442156508e-01
9.129999999999999716e+01,1.363666666666666361e+00,8.707354490442099637e-01
1.060000000000000000e+02,2.616666666666666696e+00,7.147182817182040626e-01
1.220000000000000000e+02,4.379999999999999893e+00,6.445153217728809558e-01
1.420000000000000000e+02,6.393333333333333535e+00,9.987436552433709425e-01
1.640000000000000000e+02,8.296666666666666856e+00,1.494642283476403044e+00
1.900000000000000000e+02,9.723333333333332718e+00,1.812849200077663037e+00
2.200000000000000000e+02,1.047333333333333449e+01,1.883283185173051821e+00
2.550000000000000000e+02,1.032000000000000028e+01,1.580970166279764832e+00
2.950000000000000000e+02,9.333333333333332149e+00,1.065624490876385222e+00
3.420000000000000000e+02,7.730000000000000426e+00,6.800490178411158215e-01
3.960000000000000000e+02,5.790000000000000036e+00,9.541837698612710694e-01
4.590000000000000000e+02,3.860000000000000764e+00,1.387107301785506008e+00
5.310000000000000000e+02,2.259999999999999787e+00,1.557198338897992196e+00
6.150000000000000000e+02,1.189000000000000057e+00,1.368564454699400246e+00
7.120000000000000000e+02,6.433333333333333126e-01,9.098107251266911444e-01
8.250000000000000000e+02,3.263333333333333086e-01,4.615050258544200479e-01
9.550000000000000000e+02,1.163333333333333303e-01,1.645201777560700296e-01
1.110000000000000000e+03,1.676666666666666583e-02,2.371164739578889361e-02
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000000000e+03,4.466666666666666702e-02,6.316820578599824376e-02
4.150000000000000000e+03,1.449999999999999900e-01,2.050609665440988050e-01
4.800000000000000000e+03,2.766666666666666718e-01,3.912657522565562429e-01
5.560000000000000000e+03,3.966666666666666674e-01,5.609713797413277137e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
