Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,1.100000000000000110e-02,3.648287269390939475e-02
6.500000000000000000e+00,6.660833333333332495e-02,1.355212926587142930e-01
7.530000000000000249e+00,1.278333333333333266e-01,2.284640136992159565e-01
8.720000000000000639e+00,1.466666666666666674e-01,2.614626593267616594e-01
1.009999999999999964e+01,1.206666666666666582e-01,2.300091785608179284e-01
1.169999999999999929e+01,8.141666666666666496e-02,1.664984776373512609e-01
1.350000000000000000e+01,6.466666666666666397e-02,1.270876950071179179e-01
1.569999999999999929e+01,9.607500000000000762e-02,1.669796750356162263e-01
1.819999999999999929e+01,1.594166666666666787e-01,2.531805871748903369e-01
2.100000000000000000e+01,2.161666666666667014e-01,3.237475439632279683e-01
2.439999999999999858e+01,2.397666666666666835e-01,3.378389836725313455e-01
2.819999999999999929e+01,2.365583333333333427e-01,2.848400646512978529e-01
3.270000000000000284e+01,2.115916666666667056e-01,2.356810360718250008e-01
3.779999999999999716e+01,2.041666666666666352e-01,2.642122988978539144e-01
4.379999999999999716e+01,2.752416666666666623e-01,3.712337661059701976e-01
5.070000000000000284e+01,6.266666666666665941e-01,4.955083809135376605e-01
5.879999999999999716e+01,1.452333333333333032e+00,6.723668806702352008e-01
6.809999999999999432e+01,2.808333333333333126e+00,8.764210682593663870e-01
7.879999999999999716e+01,4.596666666666666679e+00,1.024779108989943399e+00
9.129999999999999716e+01,6.601666666666667460e+00,1.052321507694086611e+00
1.060000000000000000e+02,8.548333333333333783e+00,9.652360102874090186e-01
1.220000000000000000e+02,1.014249999999999829e+01,8.436737619878117433e-01
1.420000000000000000e+02,1.115333333333333421e+01,7.820734549189665152e-01
1.640000000000000000e+02,1.140250000000000163e+01,8.279907910115908987e-01
1.900000000000000000e+02,1.085916666666666686e+01,8.755042198007321197e-01
2.200000000000000000e+02,9.549166666666666359e+00,8.499358635933786932e-01
2.550000000000000000e+02,7.721666666666666679e+00,7.892594982358814848e-01
2.950000000000000000e+02,5.622499999999999609e+00,7.255357216108201390e-01
3.420000000000000000e+02,3.570833333333333304e+00,6.858505465640616361e-01
3.960000000000000000e+02,1.868333333333333179e+00,6.188138294798811723e-01
4.590000000000000000e+02,7.217499999999997806e-01,4.657460189488114577e-01
5.310000000000000000e+02,1.749249999999999972e-01,2.547062593295787991e-01
6.150000000000000000e+02,3.163333333333333969e-02,9.255131309471280321e-02
7.120000000000000000e+02,4.233333333333332872e-03,1.404037827917119230e-02
8.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,1.058333333333333218e-03,3.510094569792798075e-03
2.300000000000000000e+03,4.125000000000000194e-03,1.368107726021602563e-02
2.670000000000000000e+03,9.166666666666666713e-03,3.040239391159116344e-02
3.090000000000000000e+03,1.905000000000000096e-02,5.215164586728463642e-02
3.580000000000000000e+03,3.591666666666667312e-02,8.333712491374352382e-02
4.150000000000000000e+03,5.725000000000000228e-02,1.280189601842893488e-01
4.800000000000000000e+03,7.825000000000000011e-02,1.781077038386230660e-01
5.560000000000000000e+03,9.274999999999999911e-02,2.171340311881120311e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
