Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.439999999999999858e+01,2.477777777777777704e-02,7.008213875760004041e-02
2.819999999999999929e+01,8.722222222222222876e-02,1.762849825190120900e-01
3.270000000000000284e+01,1.527777777777777901e-01,2.860177841315224012e-01
3.779999999999999716e+01,2.029888888888889131e-01,3.654875296381364658e-01
4.379999999999999716e+01,3.096066666666666412e-01,4.255067435423321442e-01
5.070000000000000284e+01,8.172222222222221832e-01,4.426633478233462093e-01
5.879999999999999716e+01,2.055555555555555358e+00,3.783622929037168126e-01
6.809999999999999432e+01,3.913333333333333108e+00,6.074354103752742651e-01
7.879999999999999716e+01,6.082222222222221752e+00,9.370020488270944803e-01
9.129999999999999716e+01,8.211111111111112137e+00,1.112888578274716878e+00
1.060000000000000000e+02,9.974444444444445779e+00,1.094766450091942289e+00
1.220000000000000000e+02,1.113888888888888928e+01,9.982701086762758580e-01
1.420000000000000000e+02,1.153333333333333321e+01,9.140872800534725062e-01
1.640000000000000000e+02,1.111444444444444457e+01,9.276387121325375684e-01
1.900000000000000000e+02,9.977777777777777857e+00,9.442784167792157568e-01
2.200000000000000000e+02,8.303333333333334565e+00,9.258389588787986346e-01
2.550000000000000000e+02,6.315555555555556033e+00,8.764842790136195827e-01
2.950000000000000000e+02,4.318888888888888999e+00,8.829677790074970112e-01
3.420000000000000000e+02,2.578888888888888786e+00,9.106096180818702424e-01
3.960000000000000000e+02,1.301333333333333231e+00,8.739132934361648619e-01
4.590000000000000000e+02,5.718888888888888911e-01,7.261341235833079777e-01
5.310000000000000000e+02,2.911555555555555563e-01,5.163445708075850016e-01
6.150000000000000000e+02,1.861111111111110883e-01,3.551495598709693002e-01
7.120000000000000000e+02,1.254444444444444418e-01,2.693725677327102330e-01
8.250000000000000000e+02,8.928888888888888986e-02,2.286483979312849135e-01
9.550000000000000000e+02,6.922222222222222665e-02,1.957900109685418444e-01
1.110000000000000000e+03,5.611111111111111160e-02,1.587061886663140020e-01
1.280000000000000000e+03,4.200000000000000261e-02,1.187939392393399934e-01
1.480000000000000000e+03,2.788888888888889014e-02,7.888168981236597099e-02
1.720000000000000000e+03,1.544444444444444640e-02,4.368348559330227643e-02
1.990000000000000000e+03,6.355555555555555264e-03,1.797622572616467546e-02
2.300000000000000000e+03,1.333333333333333289e-03,3.771236166328253547e-03
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000000000e+03,6.466666666666666570e-03,1.829049540669203111e-02
4.150000000000000000e+03,2.077777777777777696e-02,5.876843025861527847e-02
4.800000000000000000e+03,3.933333333333333126e-02,1.112514669066834716e-01
5.560000000000000000e+03,5.622222222222222204e-02,1.590204583468413368e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
