Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,2.566666666666666874e+00,4.822631831041819694e+00
7.189999999999999725e-01,2.014444444444444926e+00,3.794367495559441306e+00
8.329999999999999627e-01,1.295555555555555571e+00,2.655217551710891577e+00
9.649999999999999689e-01,6.951888888888889673e-01,1.751962359086039589e+00
1.120000000000000107e+00,4.136111111111111516e-01,9.839783697311467181e-01
1.290000000000000036e+00,4.556666666666666643e-01,6.685576514657007863e-01
1.500000000000000000e+00,7.508333333333333526e-01,1.376279364405674999e+00
1.739999999999999991e+00,1.207222222222222197e+00,2.180900821922383770e+00
2.009999999999999787e+00,1.685777777777777819e+00,2.719516492065691349e+00
2.330000000000000071e+00,2.112988888888888805e+00,2.865643546277342857e+00
2.700000000000000178e+00,2.502777777777777768e+00,2.654283488911117317e+00
3.120000000000000107e+00,2.942222222222222072e+00,2.266175328010600065e+00
3.620000000000000107e+00,3.452222222222222303e+00,2.110770147904302174e+00
4.190000000000000391e+00,4.004666666666666153e+00,2.429996067669429216e+00
4.849999999999999645e+00,4.567888888888889554e+00,2.893208923763233908e+00
5.610000000000000320e+00,5.109999999999999432e+00,3.110751963396917397e+00
6.500000000000000000e+00,5.517777777777777892e+00,3.069523226741601274e+00
7.530000000000000249e+00,5.661111111111111427e+00,2.906595734778418816e+00
8.720000000000000639e+00,5.524444444444444713e+00,2.734240138649579155e+00
1.009999999999999964e+01,5.098888888888890136e+00,2.570017053313263133e+00
1.169999999999999929e+01,4.434444444444444855e+00,2.387463140430356567e+00
1.350000000000000000e+01,3.614444444444444571e+00,2.136555437100210231e+00
1.569999999999999929e+01,2.758555555555555650e+00,1.757426471426083880e+00
1.819999999999999929e+01,1.971666666666666679e+00,1.290230814837235229e+00
2.100000000000000000e+01,1.331666666666666554e+00,8.564864920774355461e-01
2.439999999999999858e+01,8.811111111111110672e-01,6.768384748133444706e-01
2.819999999999999929e+01,6.143888888888888733e-01,7.912813019182445284e-01
3.270000000000000284e+01,4.948444444444444201e-01,9.259574481597246942e-01
3.779999999999999716e+01,4.693333333333333801e-01,9.797500815117201611e-01
4.379999999999999716e+01,4.482222222222222996e-01,9.611643145197250604e-01
5.070000000000000284e+01,4.193444444444444641e-01,8.877180697485124172e-01
5.879999999999999716e+01,3.811111111111111227e-01,7.696816722146955225e-01
6.809999999999999432e+01,3.344444444444444331e-01,6.399498437136583728e-01
7.879999999999999716e+01,2.844444444444444442e-01,5.323347132336760934e-01
9.129999999999999716e+01,2.364444444444444571e-01,4.638330904565446944e-01
1.060000000000000000e+02,1.957777777777777728e-01,4.327693195579110363e-01
1.220000000000000000e+02,1.652222222222222425e-01,4.178680753480238930e-01
1.420000000000000000e+02,1.457888888888888845e-01,3.975742738280189092e-01
1.640000000000000000e+02,1.396811111111110892e-01,3.718118009138029478e-01
1.900000000000000000e+02,1.406888888888888911e-01,3.386554737141321270e-01
2.200000000000000000e+02,1.490688888888888897e-01,3.059994004512806010e-01
2.550000000000000000e+02,1.694111111111110957e-01,2.833848676444749026e-01
2.950000000000000000e+02,2.029333333333333267e-01,2.798399383774787808e-01
3.420000000000000000e+02,2.493333333333332957e-01,3.016303845584673571e-01
3.960000000000000000e+02,3.064444444444444637e-01,3.453591081472253688e-01
4.590000000000000000e+02,3.759444444444444144e-01,4.045479263219106669e-01
5.310000000000000000e+02,4.574666666666666326e-01,4.629546486068226718e-01
6.150000000000000000e+02,5.503655555555555523e-01,5.121637326548157398e-01
7.120000000000000000e+02,6.585444444444444878e-01,5.486351086734568838e-01
8.250000000000000000e+02,7.782222222222222596e-01,5.654101319254463132e-01
9.550000000000000000e+02,9.107111111111110269e-01,5.599425773028365860e-01
1.110000000000000000e+03,1.053777777777777702e+00,5.237125542758860330e-01
1.280000000000000000e+03,1.205222222222221973e+00,4.615873043164995804e-01
1.480000000000000000e+03,1.356555555555555515e+00,3.776280095282219529e-01
1.720000000000000000e+03,1.497777777777777874e+00,2.934385333242827132e-01
1.990000000000000000e+03,1.621111111111111169e+00,2.476756142145270234e-01
2.300000000000000000e+03,1.713333333333333153e+00,2.774486939557974652e-01
2.670000000000000000e+03,1.770000000000000018e+00,3.629508690350986000e-01
3.090000000000000000e+03,1.781111111111111311e+00,4.600831916185120773e-01
3.580000000000000000e+03,1.739999999999999769e+00,5.380417166808619811e-01
4.150000000000000000e+03,1.643222222222222362e+00,5.840193637919469660e-01
4.800000000000000000e+03,1.488111111111111162e+00,5.886252239931513142e-01
5.560000000000000000e+03,1.279888888888889076e+00,5.510919351502562291e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
