Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,2.577777777777777724e-01,7.291056588234622327e-01
7.189999999999999725e-01,2.955555555555555713e-01,8.359573502027628500e-01
8.329999999999999627e-01,3.542688888888888554e-01,8.792378647751249998e-01
9.649999999999999689e-01,5.308888888888889657e-01,9.339412834796705365e-01
1.120000000000000107e+00,8.233333333333333615e-01,1.206058778740811466e+00
1.290000000000000036e+00,1.229222222222221994e+00,1.664183602169062137e+00
1.500000000000000000e+00,1.812888888888888772e+00,2.087884652222831594e+00
1.739999999999999991e+00,2.422111111111111104e+00,2.392588576994680860e+00
2.009999999999999787e+00,2.881333333333333524e+00,2.469735208478835986e+00
2.330000000000000071e+00,3.169777777777777583e+00,2.245025205390688949e+00
2.700000000000000178e+00,3.297777777777777697e+00,1.992083096090219607e+00
3.120000000000000107e+00,3.411111111111111427e+00,1.931956086713063625e+00
3.620000000000000107e+00,3.433444444444444965e+00,2.221905544102534602e+00
4.190000000000000391e+00,3.216111111111111587e+00,2.479506870526406725e+00
4.849999999999999645e+00,2.701444444444444315e+00,2.473201034696672185e+00
5.610000000000000320e+00,2.084111111111111470e+00,2.276204074254836840e+00
6.500000000000000000e+00,1.599111111111111150e+00,1.965561748624123251e+00
7.530000000000000249e+00,1.282555555555555671e+00,1.587789176539442959e+00
8.720000000000000639e+00,1.020233333333333325e+00,1.281375039210266076e+00
1.009999999999999964e+01,7.911111111111110983e-01,1.044912909124162903e+00
1.169999999999999929e+01,6.384900000000000020e-01,8.073122917158859213e-01
1.350000000000000000e+01,5.871111111111111391e-01,6.251265550882822986e-01
1.569999999999999929e+01,6.111111111111111605e-01,6.663835139424751919e-01
1.819999999999999929e+01,6.949999999999999512e-01,8.238737767401024259e-01
2.100000000000000000e+01,7.955555555555556824e-01,9.318334509164788448e-01
2.439999999999999858e+01,8.553644444444443717e-01,9.742993814943365916e-01
2.819999999999999929e+01,8.629999999999999893e-01,9.612635203499378944e-01
3.270000000000000284e+01,8.304444444444444295e-01,9.211330114002853620e-01
3.779999999999999716e+01,7.742222222222222561e-01,8.883154817190390684e-01
4.379999999999999716e+01,7.088888888888890127e-01,8.759106302008016209e-01
5.070000000000000284e+01,6.693000000000000060e-01,8.597201663590570142e-01
5.879999999999999716e+01,6.883222222222222797e-01,8.235502599218119668e-01
6.809999999999999432e+01,8.463111111111110141e-01,7.690804775754318534e-01
7.879999999999999716e+01,1.157999999999999918e+00,8.807853818546768077e-01
9.129999999999999716e+01,1.615888888888888708e+00,1.210620818188791414e+00
1.060000000000000000e+02,2.187333333333333574e+00,1.616904930895925130e+00
1.220000000000000000e+02,2.808111111111110780e+00,2.027721679589322257e+00
1.420000000000000000e+02,3.400000000000000355e+00,2.431672446874555860e+00
1.640000000000000000e+02,3.898555555555555330e+00,2.806361864332582279e+00
1.900000000000000000e+02,4.246111111111111391e+00,3.113765010916828224e+00
2.200000000000000000e+02,4.411111111111109651e+00,3.305155449174800086e+00
2.550000000000000000e+02,4.380933333333333124e+00,3.341335617184641116e+00
2.950000000000000000e+02,4.166722222222221994e+00,3.207626926137755685e+00
3.420000000000000000e+02,3.794222222222222385e+00,2.914350004823937024e+00
3.960000000000000000e+02,3.296888888888889202e+00,2.506014473862805847e+00
4.590000000000000000e+02,2.729666666666666686e+00,2.046683170400342977e+00
5.310000000000000000e+02,2.139888888888888729e+00,1.593913453975915440e+00
6.150000000000000000e+02,1.586111111111111249e+00,1.207248335351876367e+00
7.120000000000000000e+02,1.109380000000000033e+00,9.122838761896187032e-01
8.250000000000000000e+02,7.438555555555557142e-01,6.976875822810205685e-01
9.550000000000000000e+02,4.943577777777778404e-01,5.338231967354355456e-01
1.110000000000000000e+03,3.441333333333332911e-01,4.286190849693932714e-01
1.280000000000000000e+03,2.574333333333334028e-01,3.904598883937304143e-01
1.480000000000000000e+03,2.299311111111110861e-01,3.815662822409887078e-01
1.720000000000000000e+03,2.528333333333333544e-01,3.860380637536494075e-01
1.990000000000000000e+03,3.112333333333333063e-01,4.064119858250027639e-01
2.300000000000000000e+03,3.944444444444444864e-01,4.562577514985023397e-01
2.670000000000000000e+03,4.918888888888888200e-01,5.488870445313142055e-01
3.090000000000000000e+03,5.866666666666665586e-01,6.739014105276165401e-01
3.580000000000000000e+03,6.656666666666667398e-01,8.035941485324266109e-01
4.150000000000000000e+03,7.153333333333333766e-01,9.099652007998253467e-01
4.800000000000000000e+03,7.236666666666666803e-01,9.609476803887110341e-01
5.560000000000000000e+03,6.841111111111110032e-01,9.431394906191936656e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
