Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,4.858888888888889257e-01,1.209805167458742670e+00
7.189999999999999725e-01,4.159999999999999809e-01,1.035195741018200888e+00
8.329999999999999627e-01,3.211111111111111249e-01,7.368166430205677075e-01
9.649999999999999689e-01,2.362222222222222223e-01,4.570129533242716091e-01
1.120000000000000107e+00,1.825555555555555265e-01,3.730758371255280537e-01
1.290000000000000036e+00,1.781777777777777960e-01,4.212120969503179158e-01
1.500000000000000000e+00,2.888888888888889173e-01,5.414680547557608747e-01
1.739999999999999991e+00,5.895666666666666833e-01,9.299119265345029417e-01
2.009999999999999787e+00,1.114777777777777645e+00,1.449169476921007504e+00
2.330000000000000071e+00,1.711111111111111249e+00,1.915985585914492084e+00
2.700000000000000178e+00,2.196999999999999620e+00,2.217464217423937622e+00
3.120000000000000107e+00,2.457111111111111246e+00,2.336918219671389796e+00
3.620000000000000107e+00,2.489066666666666983e+00,2.292713926041944461e+00
4.190000000000000391e+00,2.521233333333332993e+00,1.926058932985523553e+00
4.849999999999999645e+00,2.528111111111110532e+00,1.534879542464666180e+00
5.610000000000000320e+00,2.343999999999999417e+00,1.578098433769790976e+00
6.500000000000000000e+00,1.916666666666666963e+00,1.716181743807391191e+00
7.530000000000000249e+00,1.325055555555555431e+00,1.526773330415859942e+00
8.720000000000000639e+00,7.424444444444443514e-01,1.008309268154822469e+00
1.009999999999999964e+01,3.106666666666667020e-01,4.450687836977810785e-01
1.169999999999999929e+01,6.478888888888889586e-02,1.675694910208527788e-01
1.350000000000000000e+01,3.000000000000000236e-02,5.656854249492380277e-02
1.569999999999999929e+01,4.366666666666666613e-02,1.235079844472503074e-01
1.819999999999999929e+01,8.811111111111111227e-02,2.492158566581920698e-01
2.100000000000000000e+01,1.411111111111111038e-01,3.991224942697400579e-01
2.439999999999999858e+01,1.955555555555555658e-01,5.531146377281439541e-01
2.819999999999999929e+01,2.455555555555555547e-01,6.945359939654531800e-01
3.270000000000000284e+01,2.877777777777777435e-01,8.139584725658478570e-01
3.779999999999999716e+01,3.177777777777777701e-01,8.988112863082335924e-01
4.379999999999999716e+01,3.349599999999999800e-01,9.457705685606606627e-01
5.070000000000000284e+01,3.532222222222222152e-01,9.543029774864512094e-01
5.879999999999999716e+01,3.789333333333333442e-01,9.257283450823405868e-01
6.809999999999999432e+01,4.288888888888888751e-01,8.877516475086492109e-01
7.879999999999999716e+01,5.044444444444444731e-01,8.751902791344050581e-01
9.129999999999999716e+01,6.887777777777777111e-01,9.033857030056771098e-01
1.060000000000000000e+02,1.108999999999999986e+00,1.063973266163728004e+00
1.220000000000000000e+02,2.095777777777778184e+00,1.290022978070785031e+00
1.420000000000000000e+02,3.656666666666666288e+00,1.661659144081935713e+00
1.640000000000000000e+02,5.489999999999999325e+00,2.357493961344922617e+00
1.900000000000000000e+02,7.180777777777779036e+00,3.204838417760030644e+00
2.200000000000000000e+02,8.353111111111111597e+00,3.895272589076389291e+00
2.550000000000000000e+02,8.770888888888888957e+00,4.224325546284004140e+00
2.950000000000000000e+02,8.379666666666667041e+00,4.125908492549112516e+00
3.420000000000000000e+02,7.262777777777778887e+00,3.632122972030355168e+00
3.960000000000000000e+02,5.662111111111112649e+00,2.893960010644562431e+00
4.590000000000000000e+02,3.936888888888889326e+00,2.176404192671145932e+00
5.310000000000000000e+02,2.402222222222222481e+00,1.604022636150734371e+00
6.150000000000000000e+02,1.311444444444444413e+00,1.203289944842066861e+00
7.120000000000000000e+02,7.366666666666666918e-01,9.155541127280971692e-01
8.250000000000000000e+02,4.684888888888888991e-01,7.329255539646035711e-01
9.550000000000000000e+02,3.593333333333333379e-01,5.482999989867671786e-01
1.110000000000000000e+03,2.781111111111111422e-01,4.118868357110952449e-01
1.280000000000000000e+03,2.162222222222222323e-01,3.446991531362378347e-01
1.480000000000000000e+03,1.754444444444444584e-01,3.395837684614345098e-01
1.720000000000000000e+03,1.537444444444444336e-01,3.591579816772405565e-01
1.990000000000000000e+03,1.490444444444444239e-01,3.795982177428922077e-01
2.300000000000000000e+03,1.558888888888888824e-01,3.897573160725771313e-01
2.670000000000000000e+03,1.678888888888888931e-01,3.911437486382281503e-01
3.090000000000000000e+03,1.794444444444444342e-01,3.903448933987341829e-01
3.580000000000000000e+03,2.419999999999999929e-01,3.872788257688366542e-01
4.150000000000000000e+03,4.544444444444444287e-01,7.378520042982288363e-01
4.800000000000000000e+03,8.567777777777778603e-01,1.572537777520271574e+00
5.560000000000000000e+03,1.336777777777777620e+00,2.558143240615382563e+00
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
