Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,7.519999999999998908e-01,6.970566691453428110e-01
4.190000000000000391e+00,3.266666666666667052e+00,9.171089841937482001e-01
4.849999999999999645e+00,6.283333333333334103e+00,4.451466674654045996e-01
5.610000000000000320e+00,8.009999999999999787e+00,3.753220839048332369e-01
6.500000000000000000e+00,7.450000000000000178e+00,9.531351775412905125e-01
7.530000000000000249e+00,4.920000000000000817e+00,1.006611477515862108e+00
8.720000000000000639e+00,1.876666666666666261e+00,5.817406829698453796e-01
1.009999999999999964e+01,5.399999999999999939e-02,7.636753236814713963e-02
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.439999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.270000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.779999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.379999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,2.569999999999999507e-01,2.392028427924718370e-01
1.420000000000000000e+02,1.713333333333333153e+00,4.776563153100307768e-01
1.640000000000000000e+02,4.270000000000000462e+00,5.223664103545201387e-01
1.900000000000000000e+02,7.203333333333333144e+00,3.720513704076656714e-01
2.200000000000000000e+02,9.656666666666668064e+00,1.461354014452195260e-01
2.550000000000000000e+02,1.096666666666666856e+01,1.247219128924642734e-01
2.950000000000000000e+02,1.083333333333333393e+01,2.867441755680872340e-01
3.420000000000000000e+02,9.296666666666666856e+00,3.026916289265734750e-01
3.960000000000000000e+02,6.850000000000000533e+00,2.549509756796394244e-01
4.590000000000000000e+02,4.133333333333332860e+00,1.993879523831758038e-01
5.310000000000000000e+02,1.820000000000000062e+00,1.630950643030008584e-01
6.150000000000000000e+02,4.139999999999999791e-01,9.737898472805450734e-02
7.120000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.150000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.560000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
