Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,1.110000000000000049e-02,1.569777054234135563e-02
2.330000000000000071e+00,5.399999999999999939e-02,7.636753236814713963e-02
2.700000000000000178e+00,7.366666666666667196e-02,1.041803990948180075e-01
3.120000000000000107e+00,4.999999999999999584e-02,7.071067811865475172e-02
3.620000000000000107e+00,2.159999999999999767e-02,3.054701294725885308e-02
4.190000000000000391e+00,1.036666666666666708e-01,7.795867851339936816e-02
4.849999999999999645e+00,7.683333333333332016e-01,3.881875262750666411e-01
5.610000000000000320e+00,2.140000000000000124e+00,9.262109191035629019e-01
6.500000000000000000e+00,4.053333333333333677e+00,1.439683607216838634e+00
7.530000000000000249e+00,6.239999999999999325e+00,1.736221952017272141e+00
8.720000000000000639e+00,8.323333333333332362e+00,1.687331884629958312e+00
1.009999999999999964e+01,1.004999999999999893e+01,1.379009306229173504e+00
1.169999999999999929e+01,1.109999999999999964e+01,7.874007874011808017e-01
1.350000000000000000e+01,1.136666666666666714e+01,2.624669291337268784e-01
1.569999999999999929e+01,1.086666666666666714e+01,6.944222218666550317e-01
1.819999999999999929e+01,9.646666666666666501e+00,1.194022147570508841e+00
2.100000000000000000e+01,7.963333333333333819e+00,1.491874287226939488e+00
2.439999999999999858e+01,6.019999999999999574e+00,1.543264937289338556e+00
2.819999999999999929e+01,4.096666666666666679e+00,1.372111106612321274e+00
3.270000000000000284e+01,2.411999999999999922e+00,1.038425731576408939e+00
3.779999999999999716e+01,1.152666666666666728e+00,6.398131671737374848e-01
4.379999999999999716e+01,3.859999999999999543e-01,2.766128461707204611e-01
5.070000000000000284e+01,5.906666666666666315e-02,5.322163302851785210e-02
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.960000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.590000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.310000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.120000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000000e+03,6.966666666666666147e-04,9.852354484532561876e-04
1.280000000000000000e+03,6.700000000000000226e-03,7.645913941446110147e-03
1.480000000000000000e+03,2.549999999999999836e-02,2.065929976225396383e-02
1.720000000000000000e+03,6.269999999999999185e-02,3.817390033343025929e-02
1.990000000000000000e+03,1.224666666666666681e-01,5.264125969448511105e-02
2.300000000000000000e+03,2.013333333333333364e-01,5.980152357776698929e-02
2.670000000000000000e+03,2.906666666666666288e-01,6.035634920113117780e-02
3.090000000000000000e+03,3.793333333333333002e-01,5.727904406402824222e-02
3.580000000000000000e+03,4.559999999999999609e-01,5.530521373854972722e-02
4.150000000000000000e+03,5.083333333333333037e-01,5.845416057808790894e-02
4.800000000000000000e+03,5.270000000000000240e-01,6.393746945258310665e-02
5.560000000000000000e+03,5.050000000000000044e-01,6.687799837515075174e-02
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
