Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,1.077499999999999986e-01,1.984481985304981377e-01
1.009999999999999964e+01,5.829166666666666385e-01,6.875506597496815475e-01
1.169999999999999929e+01,1.110833333333333561e+00,1.271956880383747546e+00
1.350000000000000000e+01,1.214166666666666616e+00,1.307602502886697327e+00
1.569999999999999929e+01,8.207499999999999796e-01,8.645709075412303379e-01
1.819999999999999929e+01,3.042500000000000204e-01,4.091605481552035850e-01
2.100000000000000000e+01,2.340833333333333308e-02,6.096228968705889872e-02
2.439999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.270000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.779999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.379999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,2.366666666666666571e-02,7.849345337174444548e-02
1.420000000000000000e+02,7.408333333333333437e-02,2.457066198854958861e-01
1.640000000000000000e+02,1.174999999999999933e-01,3.897034128667594688e-01
1.900000000000000000e+02,1.291666666666666796e-01,4.283973687542392272e-01
2.200000000000000000e+02,1.083333333333333370e-01,3.593010189551683053e-01
2.550000000000000000e+02,2.018333333333333368e-01,3.655365538796663816e-01
2.950000000000000000e+02,5.258333333333333748e-01,1.039995659713165432e+00
3.420000000000000000e+02,1.011666666666666714e+00,2.070124124029496304e+00
3.960000000000000000e+02,1.535833333333333606e+00,3.090381471418842008e+00
4.590000000000000000e+02,2.398416666666666863e+00,3.728302237800590557e+00
5.310000000000000000e+02,3.649166666666666448e+00,4.247657115660611105e+00
6.150000000000000000e+02,4.704166666666666607e+00,4.808935187636540043e+00
7.120000000000000000e+02,5.459999999999999964e+00,4.590838703330797799e+00
8.250000000000000000e+02,6.181666666666665755e+00,3.950799145601922913e+00
9.550000000000000000e+02,6.600833333333333108e+00,5.277130625528317687e+00
1.110000000000000000e+03,6.932666666666666089e+00,6.713048355421121549e+00
1.280000000000000000e+03,7.717641666666665401e+00,6.856880654673126685e+00
1.480000000000000000e+03,8.719416666666665705e+00,7.279609610163781497e+00
1.720000000000000000e+03,8.968333333333333712e+00,8.682391023726635737e+00
1.990000000000000000e+03,8.108633333333333582e+00,8.783059004634370837e+00
2.300000000000000000e+03,6.485833333333332007e+00,6.717532357363246831e+00
2.670000000000000000e+03,4.483083333333332199e+00,4.337419691059292148e+00
3.090000000000000000e+03,3.021083333333333343e+00,3.743722645049383679e+00
3.580000000000000000e+03,2.528333333333333766e+00,3.840852408284158859e+00
4.150000000000000000e+03,2.292083333333332806e+00,3.539886685058655669e+00
4.800000000000000000e+03,2.055333333333333012e+00,2.825823695058761853e+00
5.560000000000000000e+03,1.805833333333333401e+00,2.131237740271027636e+00
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
