Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,1.244444444444444547e-01,3.519820421906370012e-01
8.329999999999999627e-01,2.710000000000000187e-01,6.405598245978971761e-01
9.649999999999999689e-01,3.288888888888888973e-01,6.283212986370808606e-01
1.120000000000000107e+00,2.548888888888888871e-01,5.325536894048951142e-01
1.290000000000000036e+00,1.433333333333333404e-01,4.054078878802873098e-01
1.500000000000000000e+00,5.533333333333333159e-02,1.565063009026224916e-01
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,2.188888888888888828e-02,6.191112706388883502e-02
5.610000000000000320e+00,1.377777777777777768e-01,3.308500089089643215e-01
6.500000000000000000e+00,6.432222222222221397e-01,8.446526936199908464e-01
7.530000000000000249e+00,2.374333333333333407e+00,1.274444192579651691e+00
8.720000000000000639e+00,5.352222222222222214e+00,1.327552282107335779e+00
1.009999999999999964e+01,8.774444444444442937e+00,1.102231182759276562e+00
1.169999999999999929e+01,1.163111111111111207e+01,8.303740046836249888e-01
1.350000000000000000e+01,1.312222222222222179e+01,6.303046490525702206e-01
1.569999999999999929e+01,1.286666666666666714e+01,4.472135954999577612e-01
1.819999999999999929e+01,1.104444444444444429e+01,6.431020501550124280e-01
2.100000000000000000e+01,8.214444444444444215e+00,1.107189746973150646e+00
2.439999999999999858e+01,5.114444444444444571e+00,1.463337973501459555e+00
2.819999999999999929e+01,2.513333333333333197e+00,1.461110688635342658e+00
3.270000000000000284e+01,9.021111111111110858e-01,1.065413059641339810e+00
3.779999999999999716e+01,2.724111111111111039e-01,4.917847958529205643e-01
4.379999999999999716e+01,6.288888888888889694e-02,1.204772403074488019e-01
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,2.088888888888888826e-03,5.908269993914264974e-03
1.420000000000000000e+02,5.344444444444444720e-02,1.163794093196053453e-01
1.640000000000000000e+02,2.071111111111111347e-01,3.498747218471982556e-01
1.900000000000000000e+02,4.635000000000000231e-01,6.721240361718958667e-01
2.200000000000000000e+02,8.015555555555555767e-01,1.005524640408745007e+00
2.550000000000000000e+02,1.160666666666666735e+00,1.276506082154635680e+00
2.950000000000000000e+02,1.469555555555555504e+00,1.438123940811709911e+00
3.420000000000000000e+02,1.673333333333333561e+00,1.475247625165197363e+00
3.960000000000000000e+02,1.736666666666666581e+00,1.396941102711365179e+00
4.590000000000000000e+02,1.659999999999999920e+00,1.239829737414689603e+00
5.310000000000000000e+02,1.464444444444444660e+00,1.053112963352102582e+00
6.150000000000000000e+02,1.192222222222222294e+00,8.845435455366893462e-01
7.120000000000000000e+02,8.942222222222222516e-01,7.536055227707777471e-01
8.250000000000000000e+02,6.182222222222223396e-01,6.397698853281853504e-01
9.550000000000000000e+02,4.017777777777777337e-01,5.132599033579982040e-01
1.110000000000000000e+03,2.499215555555555912e-01,3.625514570457891717e-01
1.280000000000000000e+03,1.454966666666666908e-01,2.183970239927478796e-01
1.480000000000000000e+03,7.361111111111111327e-02,1.090522651906409290e-01
1.720000000000000000e+03,4.080444444444444874e-02,5.628379263678174454e-02
1.990000000000000000e+03,4.704444444444444429e-02,9.043877132084829351e-02
2.300000000000000000e+03,8.077777777777778168e-02,1.502522159406034508e-01
2.670000000000000000e+03,1.268888888888888844e-01,2.168068492380792189e-01
3.090000000000000000e+03,1.760000000000000175e-01,2.850594479909214773e-01
3.580000000000000000e+03,2.212222222222222368e-01,3.464440880904731679e-01
4.150000000000000000e+03,2.538888888888888862e-01,3.881896570963003223e-01
4.800000000000000000e+03,2.705555555555554936e-01,4.078630246952770766e-01
5.560000000000000000e+03,2.643333333333333091e-01,3.943878519652675441e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
