Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,1.093333333333333379e-01,2.645784907693324861e-01
7.189999999999999725e-01,2.859999999999999765e-01,5.589545797488577605e-01
8.329999999999999627e-01,3.822222222222222410e-01,7.154606562329504094e-01
9.649999999999999689e-01,3.565555555555555145e-01,5.720114822295695456e-01
1.120000000000000107e+00,2.783333333333333215e-01,4.730830324113891594e-01
1.290000000000000036e+00,1.960888888888888681e-01,5.424280155917147184e-01
1.500000000000000000e+00,1.266666666666666496e-01,3.582674358011840865e-01
1.739999999999999991e+00,3.044444444444444758e-02,8.610989246449513024e-02
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,3.744444444444444686e-02,1.059088823377184740e-01
2.700000000000000178e+00,9.055555555555555580e-02,2.561297896297938248e-01
3.120000000000000107e+00,1.144444444444444459e-01,3.236977709431750894e-01
3.620000000000000107e+00,9.353777777777777525e-02,2.614539055944992696e-01
4.190000000000000391e+00,8.966666666666665841e-02,1.679100288183459633e-01
4.849999999999999645e+00,1.456666666666666665e-01,3.525607906604349417e-01
5.610000000000000320e+00,2.983333333333333393e-01,6.809388943053391596e-01
6.500000000000000000e+00,7.824444444444443869e-01,1.118099092320047339e+00
7.530000000000000249e+00,2.139333333333333531e+00,1.632578873371139050e+00
8.720000000000000639e+00,4.966666666666666785e+00,1.522636602155032381e+00
1.009999999999999964e+01,8.547777777777776365e+00,9.724514015595132621e-01
1.169999999999999929e+01,1.169777777777778027e+01,9.816287800020915277e-01
1.350000000000000000e+01,1.340000000000000036e+01,1.288409872672512391e+00
1.569999999999999929e+01,1.315555555555555500e+01,1.066782401128751889e+00
1.819999999999999929e+01,1.110000000000000142e+01,5.696002496878354027e-01
2.100000000000000000e+01,7.942222222222221184e+00,1.028534856296705158e+00
2.439999999999999858e+01,4.658888888888888857e+00,1.649305877192951186e+00
2.819999999999999929e+01,2.145222222222221919e+00,1.655170066977192489e+00
3.270000000000000284e+01,8.143333333333333535e-01,1.084569141282482940e+00
3.779999999999999716e+01,2.705555555555555491e-01,4.717902337812409086e-01
4.379999999999999716e+01,4.622222222222222010e-02,1.307361870993794528e-01
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000000e+02,6.155555555555555607e-03,1.741054030121543666e-02
1.900000000000000000e+02,8.444444444444444697e-02,2.052614111653241480e-01
2.200000000000000000e+02,2.707777777777777839e-01,5.325456219951233416e-01
2.550000000000000000e+02,5.455777777777777171e-01,9.086540006182255436e-01
2.950000000000000000e+02,8.514444444444443372e-01,1.237209504499820367e+00
3.420000000000000000e+02,1.135422222222222111e+00,1.433070628466315277e+00
3.960000000000000000e+02,1.351111111111111152e+00,1.478558715960651249e+00
4.590000000000000000e+02,1.461777777777777843e+00,1.409183276289085018e+00
5.310000000000000000e+02,1.469076666666666808e+00,1.299024023522617144e+00
6.150000000000000000e+02,1.388533333333333397e+00,1.169198133575124920e+00
7.120000000000000000e+02,1.258188888888888801e+00,1.020359880352073922e+00
8.250000000000000000e+02,1.101444444444444448e+00,8.567046828284802240e-01
9.550000000000000000e+02,9.135555555555554541e-01,7.455280173751741568e-01
1.110000000000000000e+03,7.242222222222223227e-01,6.636415996903043402e-01
1.280000000000000000e+03,5.639999999999999458e-01,5.669934351961718466e-01
1.480000000000000000e+03,4.369999999999999996e-01,4.461521912730876394e-01
1.720000000000000000e+03,3.309999999999999609e-01,3.442098842921923474e-01
1.990000000000000000e+03,2.461555555555555441e-01,2.855788939879101429e-01
2.300000000000000000e+03,1.951333333333332976e-01,2.570100862698669331e-01
2.670000000000000000e+03,1.782222222222221986e-01,2.435180932259347897e-01
3.090000000000000000e+03,1.814444444444444360e-01,2.467162612805384181e-01
3.580000000000000000e+03,1.911888888888889082e-01,2.654354009900816158e-01
4.150000000000000000e+03,2.100999999999999812e-01,2.823592904242551715e-01
4.800000000000000000e+03,2.643333333333333091e-01,3.033970629023586829e-01
5.560000000000000000e+03,3.363333333333333730e-01,4.272995306443582719e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
