Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,1.579999999999999807e-02,2.234457428549490102e-02
8.329999999999999627e-01,2.329999999999999849e-01,3.295117600329311447e-01
9.649999999999999689e-01,4.699999999999999734e-01,6.646803743153546495e-01
1.120000000000000107e+00,5.200000000000000178e-01,7.353910524340094845e-01
1.290000000000000036e+00,3.533333333333333326e-01,4.996887920384936455e-01
1.500000000000000000e+00,1.156666666666666538e-01,1.635773687144879696e-01
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,2.959999999999999853e-01,2.912227097371814510e-01
6.500000000000000000e+00,1.594000000000000083e+00,5.603141975713269440e-01
7.530000000000000249e+00,4.053333333333333677e+00,5.147383369786588947e-01
8.720000000000000639e+00,7.206666666666666998e+00,1.815366507225345816e-01
1.009999999999999964e+01,1.033333333333333393e+01,3.771236166328248429e-01
1.169999999999999929e+01,1.273333333333333428e+01,8.178562764256865902e-01
1.350000000000000000e+01,1.396666666666666679e+01,9.877021593352705020e-01
1.569999999999999929e+01,1.370000000000000107e+01,8.524474568362947480e-01
1.819999999999999929e+01,1.206666666666666821e+01,4.784233364802440436e-01
2.100000000000000000e+01,9.529999999999999361e+00,3.295451410656814462e-01
2.439999999999999858e+01,6.553333333333333677e+00,7.825741001478530023e-01
2.819999999999999929e+01,3.776666666666666838e+00,1.066281180343888302e+00
3.270000000000000284e+01,1.701333333333333364e+00,1.000981296306557189e+00
3.779999999999999716e+01,5.583333333333332371e-01,6.181199092588930410e-01
4.379999999999999716e+01,1.389999999999999847e-01,1.965756851698602092e-01
5.070000000000000284e+01,3.293333333333333442e-03,4.657476665415392729e-03
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.960000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.590000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.310000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.120000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.150000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.560000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
