Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,1.255555555555555591e-02,3.551247389959105022e-02
7.530000000000000249e+00,4.671111111111110881e-01,6.290734711452752315e-01
8.720000000000000639e+00,2.507777777777777661e+00,1.362650829798528251e+00
1.009999999999999964e+01,6.097777777777777075e+00,1.342119201344382784e+00
1.169999999999999929e+01,9.423333333333333783e+00,8.161699169494872619e-01
1.350000000000000000e+01,1.060000000000000142e+01,9.436454136309181395e-01
1.569999999999999929e+01,8.988888888888887152e+00,1.513564185361782499e+00
1.819999999999999929e+01,5.547777777777778141e+00,1.992919565627707223e+00
2.100000000000000000e+01,2.267333333333333645e+00,1.772470717513957794e+00
2.439999999999999858e+01,5.908888888888887969e-01,8.213835813152835508e-01
2.819999999999999929e+01,7.444444444444445197e-02,1.512254469408807478e-01
3.270000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.779999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.379999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,2.188888888888888828e-02,6.191112706388883502e-02
1.420000000000000000e+02,1.052222222222222170e-01,2.976133874594046880e-01
1.640000000000000000e+02,3.651111111111110530e-01,7.241815985333517336e-01
1.900000000000000000e+02,9.855555555555556291e-01,1.333366675509038313e+00
2.200000000000000000e+02,2.348688888888888826e+00,1.917237241706840400e+00
2.550000000000000000e+02,4.923333333333333783e+00,2.742634580917488130e+00
2.950000000000000000e+02,7.904444444444444606e+00,3.614016267291407125e+00
3.420000000000000000e+02,9.722222222222221433e+00,3.871814899667073817e+00
3.960000000000000000e+02,9.478888888888889142e+00,3.607345729186008931e+00
4.590000000000000000e+02,7.485555555555555962e+00,3.301841611084844086e+00
5.310000000000000000e+02,4.879999999999999893e+00,2.264695221093656397e+00
6.150000000000000000e+02,2.555555555555555802e+00,1.409500393055884038e+00
7.120000000000000000e+02,1.091888888888888909e+00,1.243796825534571049e+00
8.250000000000000000e+02,5.177777777777777812e-01,7.507296861909719121e-01
9.550000000000000000e+02,2.074444444444444313e-01,3.211026527144347775e-01
1.110000000000000000e+03,4.158888888888888358e-02,9.243133721182134055e-02
1.280000000000000000e+03,1.233333333333333460e-03,3.488393453853635019e-03
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000000000e+03,1.255555555555555591e-02,3.551247389959105022e-02
4.150000000000000000e+03,6.033333333333332216e-02,1.215200029259015102e-01
4.800000000000000000e+03,1.997111111111110893e-01,2.813987303313552069e-01
5.560000000000000000e+03,5.188888888888888440e-01,5.866561446867879503e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
