Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,5.621111111111111169e-01,5.967237299425448560e-01
1.009999999999999964e+01,3.727777777777777413e+00,1.075027418542096491e+00
1.169999999999999929e+01,8.074444444444443647e+00,1.331215911289050036e+00
1.350000000000000000e+01,1.080444444444444407e+01,1.641294280005949124e+00
1.569999999999999929e+01,1.025666666666666771e+01,1.910107617677891723e+00
1.819999999999999929e+01,6.810000000000000497e+00,1.872312889331149144e+00
2.100000000000000000e+01,2.659444444444444500e+00,1.286763995551209572e+00
2.439999999999999858e+01,2.772555555555555329e-01,3.103834012998587522e-01
2.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.270000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.779999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.379999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000000e+02,4.010000000000000231e-01,3.730713366398203945e-01
2.950000000000000000e+02,1.755888888888888832e+00,7.890537855832198133e-01
3.420000000000000000e+02,3.982222222222221664e+00,1.024790252553367642e+00
3.960000000000000000e+02,6.379999999999999005e+00,1.364958281820770836e+00
4.590000000000000000e+02,8.191111111111110787e+00,1.782510367396650919e+00
5.310000000000000000e+02,8.913333333333333997e+00,2.004023730176644147e+00
6.150000000000000000e+02,8.391111111111111853e+00,1.858084105526409235e+00
7.120000000000000000e+02,6.863333333333333286e+00,1.451175768510179820e+00
8.250000000000000000e+02,4.782222222222221930e+00,9.964133209531271795e-01
9.550000000000000000e+02,2.706666666666666998e+00,7.357837846662411696e-01
1.110000000000000000e+03,1.128222222222222459e+00,5.800263936097654893e-01
1.280000000000000000e+03,2.827333333333333365e-01,3.241317838986688127e-01
1.480000000000000000e+03,3.195555555555555649e-02,8.635851770524384519e-02
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,1.188888888888888808e-02,3.362685581642692323e-02
3.580000000000000000e+03,7.922222222222222165e-02,1.137382743922572270e-01
4.150000000000000000e+03,3.584444444444444544e-01,2.665175045788054087e-01
4.800000000000000000e+03,9.223333333333333384e-01,5.122167509951230935e-01
5.560000000000000000e+03,1.631111111111111178e+00,8.501430525955872008e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
