Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,2.177777777777777785e-02,6.159685738336147243e-02
7.530000000000000249e+00,9.393333333333332424e-01,5.973147318532240346e-01
8.720000000000000639e+00,3.884444444444444589e+00,7.970377254575025106e-01
1.009999999999999964e+01,8.155555555555555003e+00,4.786581037096452329e-01
1.169999999999999929e+01,1.224444444444444358e+01,4.524282904778293979e-01
1.350000000000000000e+01,1.474444444444444358e+01,7.973722274670735910e-01
1.569999999999999929e+01,1.497777777777777963e+01,7.641666161799736123e-01
1.819999999999999929e+01,1.295555555555555571e+01,5.438772555786853813e-01
2.100000000000000000e+01,9.421111111111109437e+00,7.595824063910152635e-01
2.439999999999999858e+01,5.478888888888888253e+00,1.076800243978472960e+00
2.819999999999999929e+01,2.294888888888888978e+00,1.005303762213684227e+00
3.270000000000000284e+01,5.416666666666666297e-01,5.313916739196343775e-01
3.779999999999999716e+01,4.077777777777777390e-02,1.153369727535390882e-01
4.379999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000000e+02,6.122222222222222475e-03,1.731625939705723136e-02
2.950000000000000000e+02,2.721166666666666525e-02,7.664676973696354922e-02
3.420000000000000000e+02,8.476666666666668459e-02,1.712641105297766919e-01
3.960000000000000000e+02,2.094322222222222141e-01,2.989895187229358875e-01
4.590000000000000000e+02,4.304444444444444628e-01,4.376285388599461812e-01
5.310000000000000000e+02,7.328888888888888120e-01,5.467261033632521139e-01
6.150000000000000000e+02,1.066444444444444528e+00,6.122559579331926516e-01
7.120000000000000000e+02,1.367666666666666808e+00,6.275001549357931419e-01
8.250000000000000000e+02,1.581111111111111134e+00,5.997867110610505259e-01
9.550000000000000000e+02,1.678222222222222282e+00,5.404717646603397485e-01
1.110000000000000000e+03,1.645555555555555660e+00,4.651191271804845928e-01
1.280000000000000000e+03,1.495777777777777873e+00,4.058685550158046551e-01
1.480000000000000000e+03,1.262333333333333307e+00,3.717732283709160868e-01
1.720000000000000000e+03,9.826666666666663552e-01,3.550533606218772564e-01
1.990000000000000000e+03,7.007777777777778327e-01,3.264178568705312644e-01
2.300000000000000000e+03,4.580888888888888788e-01,2.771374967390111688e-01
2.670000000000000000e+03,2.732222222222222552e-01,2.103355931087153574e-01
3.090000000000000000e+03,1.448777777777777720e-01,1.517410350841032762e-01
3.580000000000000000e+03,6.978555555555555900e-02,1.016142373129442639e-01
4.150000000000000000e+03,3.171111111111111353e-02,6.215581575443093754e-02
4.800000000000000000e+03,1.325111111111111108e-02,3.432754010814848683e-02
5.560000000000000000e+03,5.199999999999999761e-03,1.470782104868019122e-02
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
