Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,2.783333333333333492e-02,3.936227748605114485e-02
3.620000000000000107e+00,8.833333333333333315e-02,1.249221980096234114e-01
4.190000000000000391e+00,1.336666666666666836e-01,1.890332128372037013e-01
4.849999999999999645e+00,1.469999999999999918e-01,2.078893936688449851e-01
5.610000000000000320e+00,1.576666666666666494e-01,2.229743383341579732e-01
6.500000000000000000e+00,2.522666666666666946e-01,3.014350270880203353e-01
7.530000000000000249e+00,7.096666666666666679e-01,4.030403894841750878e-01
8.720000000000000639e+00,1.919999999999999929e+00,2.122891110412088445e-01
1.009999999999999964e+01,3.683333333333333570e+00,3.856019824753093017e-01
1.169999999999999929e+01,5.596666666666666679e+00,7.602777270328404668e-01
1.350000000000000000e+01,7.280000000000000249e+00,8.982575725629408092e-01
1.569999999999999929e+01,8.456666666666666998e+00,7.554395335755792473e-01
1.819999999999999929e+01,9.006666666666667709e+00,5.355578607603685981e-01
2.100000000000000000e+01,8.923333333333333783e+00,6.785441932713170976e-01
2.439999999999999858e+01,8.306666666666666643e+00,1.041099845782760935e+00
2.819999999999999929e+01,7.299999999999999822e+00,1.304326135085342342e+00
3.270000000000000284e+01,6.076666666666667105e+00,1.359812078520002299e+00
3.779999999999999716e+01,4.809999999999999609e+00,1.202081528017130863e+00
4.379999999999999716e+01,3.623333333333333517e+00,8.995307418624198803e-01
5.070000000000000284e+01,2.620000000000000107e+00,5.800574684172824513e-01
5.879999999999999716e+01,1.856666666666666687e+00,4.750672467018631773e-01
6.809999999999999432e+01,1.349999999999999867e+00,6.413007614736370154e-01
7.879999999999999716e+01,1.069999999999999840e+00,8.213419912963579872e-01
9.129999999999999716e+01,9.725000000000000311e-01,9.140351014412229080e-01
1.060000000000000000e+02,9.863333333333333952e-01,9.014530245972639522e-01
1.220000000000000000e+02,1.039666666666666739e+00,7.995483447269187138e-01
1.420000000000000000e+02,1.071999999999999842e+00,6.365631678527015058e-01
1.640000000000000000e+02,1.045333333333333448e+00,4.391699240865912235e-01
1.900000000000000000e+02,9.350000000000000533e-01,2.214332103968748855e-01
2.200000000000000000e+02,7.583333333333333037e-01,2.584999462712175150e-02
2.550000000000000000e+02,5.533333333333333437e-01,1.815366507225347203e-01
2.950000000000000000e+02,3.686666666666666980e-01,2.980887265377355488e-01
3.420000000000000000e+02,2.446000000000000119e-01,3.236910873039292591e-01
3.960000000000000000e+02,1.879999999999999727e-01,2.658721497261418709e-01
4.590000000000000000e+02,1.330000000000000071e-01,1.880904037956216690e-01
5.310000000000000000e+02,7.933333333333332515e-02,1.121942759482655316e-01
6.150000000000000000e+02,3.599999999999999728e-02,5.091168824543142873e-02
7.120000000000000000e+02,9.533333333333332896e-03,1.348216929462350659e-02
8.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,2.799999999999999972e-03,3.959797974644665465e-03
1.990000000000000000e+03,3.366666666666667113e-02,4.761185659989420477e-02
2.300000000000000000e+03,1.344666666666666510e-01,1.326595978016249233e-01
2.670000000000000000e+03,3.270000000000000129e-01,2.649767285379353576e-01
3.090000000000000000e+03,5.996666666666666812e-01,4.462961149530905725e-01
3.580000000000000000e+03,9.133333333333334414e-01,6.573346855969863789e-01
4.150000000000000000e+03,1.393666666666666609e+00,6.300001763668183763e-01
4.800000000000000000e+03,2.056666666666666643e+00,1.851725921644153394e-01
5.560000000000000000e+03,2.733333333333332948e+00,5.563172556095028476e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
