Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569999999999999929e+01,2.863333333333333616e-03,4.049364833594961896e-03
1.819999999999999929e+01,5.899999999999999689e-02,8.343860018001260370e-02
2.100000000000000000e+01,1.429999999999999882e-01,2.022325394193525971e-01
2.439999999999999858e+01,2.099999999999999922e-01,2.969848480983499628e-01
2.819999999999999929e+01,4.166666666666666852e-01,3.001203462316778814e-01
3.270000000000000284e+01,9.443333333333333579e-01,9.247328743420388797e-01
3.779999999999999716e+01,1.539666666666666961e+00,1.803199070787496083e+00
4.379999999999999716e+01,1.925666666666666638e+00,2.307435276569107963e+00
5.070000000000000284e+01,2.369333333333333069e+00,1.826669343063732853e+00
5.879999999999999716e+01,3.166666666666666519e+00,9.990106216763774416e-01
6.809999999999999432e+01,4.406666666666666288e+00,2.882387127981866914e+00
7.879999999999999716e+01,5.995000000000000107e+00,5.201812184229646085e+00
9.129999999999999716e+01,7.696666666666666323e+00,6.625668938974305533e+00
1.060000000000000000e+02,9.173333333333333783e+00,6.509481972903492952e+00
1.220000000000000000e+02,1.012666666666666693e+01,4.756955141918224328e+00
1.420000000000000000e+02,1.027666666666666551e+01,1.717679312974986550e+00
1.640000000000000000e+02,9.636666666666668490e+00,1.754809264722396289e+00
1.900000000000000000e+02,8.423333333333332007e+00,4.364297066984428319e+00
2.200000000000000000e+02,6.985999999999999766e+00,5.360688264268559600e+00
2.550000000000000000e+02,5.463333333333333819e+00,4.491030567203429413e+00
2.950000000000000000e+02,3.486666666666666803e+00,3.003068800780665182e+00
3.420000000000000000e+02,1.590000000000000080e+00,1.431386274443997575e+00
3.960000000000000000e+02,3.450000000000000289e-01,3.268954980825931611e-01
4.590000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.310000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.120000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.580000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.150000000000000000e+03,3.026666666666666949e-01,4.280353048782567504e-01
4.800000000000000000e+03,1.263333333333333419e+00,1.786623133798010077e+00
5.560000000000000000e+03,4.049999999999999822e+00,2.871654575327610370e+00
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
