Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.439999999999999858e+01,1.650000000000000078e-02,3.689512162874653695e-02
2.819999999999999929e+01,8.133333333333332693e-02,1.818668621699828791e-01
3.270000000000000284e+01,2.261666666666666270e-01,3.252785558392820020e-01
3.779999999999999716e+01,6.139999999999999902e-01,3.716526155789390828e-01
4.379999999999999716e+01,1.362666666666666693e+00,4.240808361097628820e-01
5.070000000000000284e+01,2.446666666666666767e+00,7.260318327884958123e-01
5.879999999999999716e+01,3.756666666666666377e+00,1.138473637034350450e+00
6.809999999999999432e+01,5.161666666666666181e+00,1.451980448291995129e+00
7.879999999999999716e+01,6.525000000000001243e+00,1.565787874096190357e+00
9.129999999999999716e+01,7.708333333333333037e+00,1.451222664590869016e+00
1.060000000000000000e+02,8.596666666666667567e+00,1.163810790272866935e+00
1.220000000000000000e+02,9.121666666666666146e+00,8.724757239539041587e-01
1.420000000000000000e+02,9.221666666666665790e+00,7.579889327834690160e-01
1.640000000000000000e+02,8.886666666666666714e+00,8.753792828762221312e-01
1.900000000000000000e+02,8.166666666666666075e+00,1.037844989496130133e+00
2.200000000000000000e+02,7.131666666666666821e+00,1.144136015612751578e+00
2.550000000000000000e+02,5.891666666666666607e+00,1.169834983614735924e+00
2.950000000000000000e+02,4.571666666666666323e+00,1.142576279972394415e+00
3.420000000000000000e+02,3.301666666666666305e+00,1.107826951990045883e+00
3.960000000000000000e+02,2.195500000000000007e+00,1.054287081396713344e+00
4.590000000000000000e+02,1.339666666666666783e+00,9.632143525139608142e-01
5.310000000000000000e+02,7.622499999999998721e-01,8.233262693691567602e-01
6.150000000000000000e+02,4.333333333333333481e-01,6.626531688766170713e-01
7.120000000000000000e+02,2.679999999999999605e-01,5.158100425544270839e-01
8.250000000000000000e+02,1.789733333333333454e-01,3.984817062579186775e-01
9.550000000000000000e+02,1.323333333333333306e-01,2.959063290224722143e-01
1.110000000000000000e+03,9.649999999999998856e-02,2.157805598287297066e-01
1.280000000000000000e+03,6.949999999999999234e-02,1.554067244362354050e-01
1.480000000000000000e+03,5.016666666666666496e-02,1.121760768712394413e-01
1.720000000000000000e+03,3.766666666666666774e-02,8.422522715249207426e-02
1.990000000000000000e+03,3.033333333333333368e-02,6.782739531749362727e-02
2.300000000000000000e+03,2.716666666666666882e-02,6.074651338874428874e-02
2.670000000000000000e+03,3.141666666666666913e-02,5.881497588955460210e-02
3.090000000000000000e+03,6.611666666666667080e-02,7.085925996101161140e-02
3.580000000000000000e+03,1.571666666666666490e-01,1.281176759424275946e-01
4.150000000000000000e+03,2.966666666666666896e-01,2.449011138307777280e-01
4.800000000000000000e+03,4.508333333333333637e-01,3.933049777914787160e-01
5.560000000000000000e+03,5.743333333333333623e-01,5.263448383796395236e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
