Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.720000000000000639e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.569999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.819999999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,3.466666666666666508e-02,4.902607016226729481e-02
2.439999999999999858e+01,1.800000000000000211e-01,2.545584412271571506e-01
2.819999999999999929e+01,3.366666666666666696e-01,4.761185659989419783e-01
3.270000000000000284e+01,4.311333333333333129e-01,5.654767035185642721e-01
3.779999999999999716e+01,4.733333333333333837e-01,4.676418382575375787e-01
4.379999999999999716e+01,5.190000000000000169e-01,3.670885451767734176e-01
5.070000000000000284e+01,8.113333333333332398e-01,4.243978741176203662e-01
5.879999999999999716e+01,1.471333333333333160e+00,6.261338160134425346e-01
6.809999999999999432e+01,2.493333333333333623e+00,8.300334665274379242e-01
7.879999999999999716e+01,3.796666666666666856e+00,9.519220322881259966e-01
9.129999999999999716e+01,5.229999999999999538e+00,9.602430247945916708e-01
1.060000000000000000e+02,6.633333333333332860e+00,8.899937577808558764e-01
1.220000000000000000e+02,7.846666666666666679e+00,8.337199103349328677e-01
1.420000000000000000e+02,8.750000000000000000e+00,8.688306317497479503e-01
1.640000000000000000e+02,9.246666666666667922e+00,9.625429283356087273e-01
1.900000000000000000e+02,9.276666666666665506e+00,1.006854287151599303e+00
2.200000000000000000e+02,8.869999999999999218e+00,9.915980368408692236e-01
2.550000000000000000e+02,8.086666666666666003e+00,9.320348109855601804e-01
2.950000000000000000e+02,6.976666666666666572e+00,8.356368163795135917e-01
3.420000000000000000e+02,5.686666666666666536e+00,7.979278719839838496e-01
3.960000000000000000e+02,4.339999999999999858e+00,8.202845034905065225e-01
4.590000000000000000e+02,3.070000000000000284e+00,8.374166625203171010e-01
5.310000000000000000e+02,1.981666666666666687e+00,7.867690611326525474e-01
6.150000000000000000e+02,1.159666666666666623e+00,6.461219355164747880e-01
7.120000000000000000e+02,6.199999999999999956e-01,4.551922670696417206e-01
8.250000000000000000e+02,3.183333333333333015e-01,3.069009974278711916e-01
9.550000000000000000e+02,1.626666666666666539e-01,2.300454061460234512e-01
1.110000000000000000e+03,1.086666666666666753e-01,1.536778737778763115e-01
1.280000000000000000e+03,7.633333333333333637e-02,1.079516352611462615e-01
1.480000000000000000e+03,5.933333333333332821e-02,8.391000470080363371e-02
1.720000000000000000e+03,5.266666666666666718e-02,7.448191428498300570e-02
1.990000000000000000e+03,5.166666666666666630e-02,7.306770072260991566e-02
2.300000000000000000e+03,5.333333333333333676e-02,7.542472332656506573e-02
2.670000000000000000e+03,5.500000000000000028e-02,7.778174593052022967e-02
3.090000000000000000e+03,6.480000000000001037e-02,7.249239040524645128e-02
3.580000000000000000e+03,9.466666666666667673e-02,6.871357620991325188e-02
4.150000000000000000e+03,1.410000000000000142e-01,1.120029761509338945e-01
4.800000000000000000e+03,1.909999999999999754e-01,1.859265087787824455e-01
5.560000000000000000e+03,2.289999999999999813e-01,2.526354422219231344e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
