T[°C]	Ratio 350nm / 330nm	S.D.
20.00046	0.8760028	0.001537001
20.05441	0.8776238	0.002471415
20.10836	0.8778255	0.00169865
20.16231	0.8771371	0.0004596571
20.21625	0.8777941	0.0005890766
20.2702	0.8773752	0.001205515
20.32415	0.8790254	0.0006963853
20.3781	0.8772458	0.0003445317
20.43205	0.8774469	0.0006992695
20.486	0.8773153	0.001463087
20.53995	0.8781319	0.002185242
20.5939	0.8774852	0.001029332
20.64785	0.8779336	0.001291235
20.7018	0.8777061	0.001504351
20.75574	0.8774347	0.0028184
20.80969	0.8771917	0.001516735
20.86364	0.8767112	0.001812157
20.91759	0.8780038	0.0008625219
20.97154	0.8779996	0.0009794722
21.02549	0.8777194	0.0009826272
21.07944	0.8770111	0.001402383
21.13339	0.8775945	0.001272516
21.18734	0.8775597	0.002017686
21.24129	0.8768358	0.002707518
21.29524	0.8761125	0.001136406
21.34919	0.8777843	0.002392357
21.40314	0.8777212	0.002183085
21.45708	0.8775549	0.001252068
21.51103	0.8766155	0.000266453
21.56498	0.8765141	0.000352773
21.61893	0.8772759	0.001747616
21.67288	0.8764002	0.001198618
21.72683	0.8769403	0.001070709
21.78078	0.8768744	0.000664352
21.83473	0.8772357	0.001598629
21.88868	0.8771658	0.002048719
21.94263	0.87821	0.002426794
21.99657	0.8778812	0.001723914
22.05052	0.8772335	0.001722592
22.10447	0.8769777	0.0006630408
22.15842	0.8750801	0.002025048
22.21237	0.8765221	0.001543267
22.26632	0.8775166	0.001590223
22.32027	0.8767846	0.0009553438
22.37422	0.8763018	0.001546332
22.42817	0.8761119	0.001852412
22.48212	0.8766291	0.001505819
22.53607	0.8771218	0.002135937
22.59002	0.8752032	0.0007509251
22.64396	0.8762943	0.001286025
22.69791	0.8779612	0.0004321319
22.75186	0.8778841	0.001924795
22.80581	0.8765098	0.001462404
22.85976	0.8756295	0.0007782689
22.91371	0.8766109	0.0006736068
22.96766	0.8773646	0.000598665
23.02161	0.8770024	0.001010509
23.07556	0.8765616	0.0004926256
23.12951	0.877578	0.0002125882
23.18345	0.8775641	0.0004266721
23.2374	0.8771418	0.001900525
23.29135	0.8768309	0.0007419552
23.3453	0.8757077	0.0007289411
23.39925	0.8751387	0.0009806986
23.4532	0.8757567	0.001175839
23.50715	0.8767081	0.0005269123
