T[°C]	Scattering [mAU]	S.D.
20.00046	93.95052	6.002356
20.05441	94.18961	5.944476
20.10836	94.10867	5.896112
20.16231	94.24556	5.892084
20.21625	94.13459	5.988244
20.2702	94.10989	6.054881
20.32415	94.18587	6.215647
20.3781	94.16367	6.24722
20.43205	94.10214	6.324634
20.486	93.95554	6.498478
20.53995	93.95689	6.334108
20.5939	94.01012	6.249565
20.64785	94.0396	6.164305
20.7018	94.01175	5.971006
20.75574	94.05323	5.979223
20.80969	94.14137	5.938673
20.86364	94.00636	6.023079
20.91759	94.06269	5.90771
20.97154	93.83125	6.150785
21.02549	93.99061	5.982941
21.07944	94.12251	6.26297
21.13339	94.06031	6.312379
21.18734	94.16091	6.401855
21.24129	94.05371	6.289144
21.29524	94.10065	6.44416
21.34919	93.91053	6.379941
21.40314	93.92754	6.355261
21.45708	93.97005	6.245543
21.51103	94.05826	6.485797
21.56498	94.06024	6.241477
21.61893	94.2064	6.120406
21.67288	94.10992	6.097994
21.72683	94.14912	5.904342
21.78078	93.95234	6.081563
21.83473	94.06961	5.886074
21.88868	94.06255	5.936705
21.94263	94.19265	5.925156
21.99657	94.05519	6.013492
22.05052	94.08158	6.083962
22.10447	94.05497	6.058032
22.15842	93.69656	6.208917
22.21237	93.88779	6.177966
22.26632	93.9948	6.388186
22.32027	94.03453	6.254626
22.37422	93.95014	6.153444
22.42817	93.99962	6.240686
22.48212	93.95779	5.929148
22.53607	94.05944	6.052161
22.59002	94.14017	5.980044
22.64396	94.16315	5.907054
22.69791	94.31974	5.834353
22.75186	94.1281	5.911166
22.80581	94.1562	6.062076
22.85976	94.06618	6.08294
22.91371	94.01525	5.962699
22.96766	94.00433	5.98278
23.02161	93.90948	5.935978
23.07556	93.93541	5.974258
23.12951	93.95889	5.805629
23.18345	93.99297	5.83125
23.2374	94.02948	5.855011
23.29135	94.05432	5.914651
23.3453	94.11741	6.086066
23.39925	94.19056	6.104938
23.4532	94.12537	6.030199
23.50715	94.20065	6.053039
23.5611	94.32578	6.052807
23.61505	94.21891	5.939414
23.669	94.38891	6.048651
23.72295	94.24557	6.055889
23.7769	94.11783	6.189456
23.83084	94.16226	6.115675
23.88479	94.04301	6.073089
23.93874	94.0114	6.249619
23.99269	94.03697	6.253247
24.04664	93.9459	6.452349
24.10059	94.00785	6.430792
24.15454	93.8606	6.442171
24.20849	93.84766	6.392719
24.26244	94.11538	6.390373
24.31639	94.00194	6.191996
24.37033	94.20876	6.195686
24.42428	94.05034	6.108285
24.47823	94.12189	6.05155
24.53218	94.24495	6.231499
24.58613	93.98232	5.929359
24.64008	94.1464	6.032556
24.69403	94.29656	5.981518
24.74798	94.09904	6.062525
24.80193	94.08363	6.108576
24.85588	94.09481	6.092778
24.90983	93.76425	6.319909
24.96378	93.91196	6.10076
25.01772	93.96194	6.322556
25.07167	93.91348	6.318609
25.12562	94.02222	6.555826
25.17957	93.96401	6.405943
25.23352	94.05458	6.305442
25.28747	94.11877	6.242525
25.34142	94.20164	6.258671
25.39537	94.08339	6.47976
25.44932	94.32068	5.914501
25.50327	94.27972	6.25044
25.55721	93.99569	5.964044
25.61116	94.20241	6.109136
25.66511	94.12616	6.049414
25.71906	94.00005	6.177634
25.77301	94.18533	6.03413
25.82696	94.04056	6.044721
25.88091	94.03985	5.902272
25.93486	93.94112	6.082717
25.98881	93.94084	5.96921
26.04276	94.01079	6.053673
26.09671	94.04569	6.082289
26.15066	93.99379	5.841418
26.20461	94.07306	5.846508
26.25855	93.9772	5.871236
26.3125	93.97267	5.879983
26.36645	93.97981	6.073792
26.4204	94.24397	6.142148
26.47435	94.11103	5.962483
26.5283	94.08715	6.031841
26.58225	94.10667	5.954475
26.6362	93.93163	5.487379
26.69015	94.059	5.58296
26.74409	94.18399	5.597333
26.79804	94.144	5.615212
26.85199	94.17805	5.818648
26.90594	94.10915	6.007111
26.95989	94.08806	6.007303
27.01384	94.08413	5.931649
27.06779	93.95541	6.125747
27.12174	93.94347	6.19659
27.17569	94.02682	6.194956
27.22964	94.06576	6.336813
27.28359	94.10983	6.318937
27.33754	94.09196	6.246328
27.39149	94.06652	6.23949
27.44543	94.10001	6.025097
27.49938	94.0365	6.175321
27.55333	94.11782	6.221918
27.60728	94.21239	6.172135
27.66123	94.15826	6.09304
27.71518	94.10026	6.326248
27.76913	93.9224	6.212184
27.82308	93.76724	6.25091
27.87703	93.8689	6.095617
27.93098	93.89348	5.830846
27.98492	93.92142	6.188209
28.03887	93.89597	6.037724
28.09282	94.03846	6.107573
28.14677	93.97374	6.490532
28.20072	93.90848	6.373814
28.25467	93.90344	6.411342
28.30862	93.81083	6.699986
28.36257	93.90169	6.273034
28.41652	93.91633	6.520745
28.47047	93.97636	6.361184
28.52442	94.0151	6.568109
28.57837	94.00029	6.335283
28.63231	93.93441	6.335395
28.68626	93.8907	6.061173
28.74021	93.93156	5.906991
28.79416	93.9269	5.987459
28.84811	94.13958	5.991586
28.90206	94.02415	6.110562
28.95601	94.21277	6.135834
29.00996	93.91613	6.096859
29.06391	93.79659	6.003946
29.11786	93.87106	5.965769
29.1718	93.77988	6.058915
29.22575	93.96745	6.117355
29.2797	93.86716	6.256596
29.33365	93.86629	6.238419
29.3876	93.77211	6.354317
29.44155	93.81213	6.166714
29.4955	93.93797	6.14256
29.54945	93.88836	6.191357
29.6034	94.07242	6.178945
29.65735	93.94279	6.05438
29.7113	93.89319	5.838844
29.76525	94.04234	5.933496
29.81919	93.98518	5.873353
29.87314	93.98026	5.796119
29.92709	93.90277	5.636122
